"question","answer","explanation","difficulty"
"L'ictère est défini par une coloration jaune de la peau et des muqueuses avec augmentation de la bilirubinémie.","True","Document.","Easy"
"La bilirubinémie totale normale est de 18 µmol/l.","True","Document.","Easy"
"Un ictère devient visible lorsque la bilirubinémie totale dépasse 25 µmol/l.","False","Dépasse 50 µmol/l.","Easy"
"La bilirubine libre est transportée dans le sang associée à l'albumine.","True","Document.","Easy"
"La glucuronyl-transférase est l'enzyme de conjugaison de la bilirubine.","True","Document.","Easy"
"Les urines sont claires dans l'ictère cholestatique.","False","Elles sont foncées.","Easy"
"Les selles sont décolorées dans l'ictère cholestatique.","True","Document.","Easy"
"Le prurit est constant dans l'ictère cholestatique.","False","Inconstant.","Easy"
"La grosse vésicule palpable signe un obstacle sur le cholédoque.","True","Document.","Easy"
"L'échographie abdominale est l'examen clé systématique devant un ictère cholestatique.","True","Document.","Easy"
"Une dilatation des voies biliaires à l'échographie oriente vers une cholestase intra-hépatique.","False","Oriente vers une cholestase extra-hépatique.","Easy"
"La maladie de Gilbert est due à une diminution de l'activité de la glucuronyl-transférase.","True","Document.","Easy"
"La maladie de Gilbert touche généralement les enfants de moins de 10 ans.","False","15-20 ans.","Easy"
"Le syndrome de Crigler-Najjar est une maladie congénitale autosomale récessive.","True","Document.","Easy"
"La lithiase cholédocienne est une cause fréquente de cholestase extra-hépatique.","True","Document.","Easy"
"Le cancer de la tête du pancréas est une cause fréquente de cholestase extra-hépatique.","True","Document.","Easy"
"Les anticorps anti-mitochondrie de type M2 sont caractéristiques de la cholangite biliaire primitive.","True","Document.","Easy"
"La maladie de Dubin-Johnson est due à une anomalie du transporteur ABCC2.","True","Document.","Easy"
"Dans la maladie de Dubin-Johnson, le foie est normal à la laparoscopie.","False","Foie noirâtre.","Easy"
"Dans la maladie de Rotor, le foie est également noirâtre.","False","Absence de coloration noire.","Easy"
"La bilirubine conjuguée est hydrosoluble.","True","Document.","Easy"
"L'hémoglobine est dégradée en bilirubine par les macrophages spléniques.","True","Document.","Easy"
"Le subictère correspond à une bilirubinémie entre 25 et 50 µmol/l.","True","Document.","Easy"
"La stercobiline donne la couleur jaune des selles.","True","Document.","Easy"
"L'urobiline donne la couleur jaune des urines.","True","Document.","Medium"
"La phase pré-ictérique peut comporter un syndrome pseudo-grippal.","True","Document.","Medium"
"L'hépatomégalie de l'ictère cholestatique est ferme avec bord mousse.","True","Document.","Medium"
"La grosse vésicule palpable est une masse ronde sous le foie.","False","Piriforme.","Medium"
"Le bilan de cholestase comprend l'augmentation des transaminases.","False","Augmentation PAL, GGT, bilirubine conjuguée, cholestérol.","Medium"
"Le bilan de cytolyse comprend les transaminases.","True","Document.","Medium"
"Le bilan d'insuffisance hépatocellulaire comprend le TP et le facteur V.","True","Document.","Medium"
"Le scanner abdominal est indiqué en première intention devant un ictère cholestatique.","False","L'échographie est l'examen clé.","Medium"
"La CPRE permet une opacification rétrograde des voies biliaires.","True","Document.","Medium"
"La CPTH est une ponction hépatique transcutanée pour opacifier les voies biliaires.","True","Document.","Medium"
"L'écho-endoscopie pancréatique est très sensible pour explorer le pancréas.","True","Document.","Medium"
"La Bili-IRM est l'exploration des voies biliaires par excellence.","True","Document.","Medium"
"La ponction biopsie hépatique est indiquée dans la cholestase extra-hépatique.","False","Indiquée dans la cholestase intra-hépatique.","Medium"
"Le cancer de la tête du pancréas est une cause de cholestase extra-hépatique par obstacle extra-pariétal.","True","Document.","Medium"
"La lithiase cholédocienne est un obstacle intraluminal.","True","Document.","Medium"
"La tumeur de Klatskin est un cancer de la convergence des canaux hépatiques.","True","Document.","Medium"
"La cholangite sclérosante est une atteinte inflammatoire et fibrosante des voies biliaires.","True","Document.","Medium"
"L'ascaridiose peut être une cause d'obstacle intraluminal du cholédoque.","True","Document.","Medium"
"L'hémobilie peut être due à une contusion du foie ou une PBH.","True","Document.","Medium"
"La stéatose hépatique est une cause de cholestase intra-hépatique avec foie hyperéchogène.","True","Document.","Medium"
"Le kyste hydatique donne une échostructure liquidienne.","True","Document.","Medium"
"L'abcès amibien donne une échostructure mixte.","True","Document.","Medium"
"La maladie de Horton peut donner une granulomatose hépatique.","True","Document.","Medium"
"La maladie de Hodgkin peut donner une cholestase intra-hépatique.","True","Document.","Medium"
"Dans la maladie de Dubin-Johnson, la courbe BSP est normale puis remonte.","True","Document.","Medium"
"Dans la maladie de Rotor, la courbe BSP remonte après 50 minutes.","False","Ralentie sans remontée.","Medium"
"Un ictère à bilirubine libre peut être dû à une hémolyse.","True","Document.","Easy"
"Un ictère à bilirubine conjuguée sans dilatation des voies biliaires est toujours bénin.","False","Peut être grave (hépatite fulminante, cirrhose).","Difficult"
"La maladie de Crigler-Najjar peut être incompatible avec la vie.","True","Document.","Difficult"
"Le dosage de l'haptoglobine est utile pour diagnostiquer une hémolyse.","True","Document : 'HB, dosage de l’haptoglobine : effondrée en cas d’hémolyse'.","Medium"
