"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quel est le sex-ratio du cancer de l’œsophage ?","5 hommes pour 1 femme","10 hommes pour 1 femme","15 hommes pour 1 femme","20 hommes pour 1 femme","3","Le document : 'Cancer de l’homme (sex ration 15/1)'","Easy"
"Quel est le pic d’incidence du cancer de l’œsophage ?","Entre 35 et 45 ans","Entre 50 et 60 ans","Entre 65 et 70 ans","Après 80 ans","3","Le document : 'Pic d’incidence entre 65 et 70 ans'","Easy"
"Quel type histologique représente 90-95% des cancers de l’œsophage ?","Adénocarcinome","Carcinome épidermoïde","Sarcome","Mélanome","2","Le document : '90 - 95% = cancers épidermoïdes'","Easy"
"Quel est le principal facteur de risque exogène en Europe et Amérique du Nord ?","Alcool et tabac","Alimentation pauvre en légumes","Reflux gastro-œsophagien","Caustiques","1","Le document : 'Facteurs exogènes : Alcool et tabac. Facteur essentiel en Europe et en Amérique du Nord'","Easy"
"Quel est le premier signe d’appel du cancer de l’œsophage (9 fois sur 10) ?","Dysphagie permanente","Aphagie","Gêne intermittente à la déglutition","Hématémèse","3","Le document : 'Signes d’appel : 9 fois sur 10 : Une gêne intermittente à la déglutition'","Easy"
"Quel examen est indiqué devant un signe d’appel ?","Scanner thoracique","Fibroscopie digestive haute","Radiographie pulmonaire","Échographie abdominale","2","Le document : '=> FIBROSCOPIE DIGESTIVE HAUTE en cas d’apparition de 1 de ces signes'","Easy"
"Quel est le signe clinique de cancer évolué le plus caractéristique ?","Dysphonie","Toux à la déglutition","Dysphagie permanente","Amaigrissement","3","Le document : 'Signes de cancer évolué (signe clinique) : La dysphagie est permanente'","Easy"
"Quel examen est de première intention pour le diagnostic ?","Scanner","Échoendoscopie","Endoscopie + biopsies","Transit œsophagien","3","Le document : 'Endoscopies + Biopsies = examens de première intention'","Easy"
"Quel est le type histologique prédominant dans le segment inférieur de l’œsophage et qui tend à augmenter ?","Carcinome épidermoïde","Adénocarcinome","Carcinome à petites cellules","Mélanome","2","Le document : '5% = adénocarcinomes, segment inférieur de l’organe (tend à augmenter jusqu’à 35%)'","Easy"
"Quel aspect macroscopique est le plus fréquent (60%) ?","Tumeur ulcérée","Tumeur infiltrante pure","Tumeur polypoïde ou ulcéro-bourgeonnante","Tumeur verruqueuse","3","Le document : 'Aspects macroscopiques : Tumeur polypoïde ou ulcéro-bourgeonnante (60%)'","Easy"
"Quelle est la localisation des ganglions lymphatiques régionaux du cancer de l’œsophage ?","Ganglions para-oesophagiens, inter-trachéo-bronchiques, sous-claviculaires, coronaire stomachique, coeliaques, cervicaux","Ganglions inguinaux","Ganglions axillaires","Ganglions poplités","1","Le document : 'Régionale : l’extension par voie lymphatique se fait vers : Les ganglions para-oesophagiens, inter-trachéo-bronchiques, sous-claviculaires, coronaire stomachique, coeliaques, cervicaux'","Easy"
"Quel signe d’extension se manifeste par une dysphonie ?","Atteinte du nerf récurrent","Fistule œso-trachéale","Métastase hépatique","Ganglion de Troisier","1","Le document : 'Dysphonie par atteinte récurrentielle'","Easy"
"Quel examen complémentaire permet de définir la précision du stade TNM à près de 80% ?","Radiographie pulmonaire seule","Échoendoscopie seule","Association TDM + échoendoscopie","Fibroscopie seule","3","Le document : 'L’association des deux méthodes (TDM et échoendoscopie) permet de définir une précision proche de 80% du stade TNM'","Easy"
"Quel est le diagnostic différentiel le plus fréquent en cas de sténose serrée du tiers inférieur ?","Papillome","Sténose peptique","Léiomyome","Polype fibro-vasculaire","2","Le document : 'Des difficultés peuvent persister en cas de sténose serrée en particulier au tiers inférieur (sténose peptique)'","Easy"
"Seuls quel pourcentage de patients peuvent bénéficier d’une chirurgie curative ?","10%","20%","30%","50%","2","Le document : 'Seule la chirurgie a une prétention curative, seuls 20% peuvent en bénéficier (découverte tardive)'","Easy"
"Quel est le traitement curatif pour un cancer superficiel de l’œsophage (muqueuse/sous-muqueuse) ?","Chirurgie d’exérèse","Mucosectomie","Radiothérapie","Chimiothérapie","2","Le document : 'Traitement curatif = mucosectomie. Indication : cancer superficiel de l’œsophage = envahissant la muqueuse ou la sous-muqueuse'","Easy"
"Quelle intervention chirurgicale associe laparotomie première, thoracotomie droite et anastomose oeso-gastrique ?","Opération de Sweet","Opération d’Akiyama","Intervention de Lewis","Oesogastroplastie palliative","3","Le document : 'Intervention de LEWIS : Laparotomie première [...] + thoracotomie droite [...] + anastomose oeso-gastrique'","Easy"
"Quelle est la survie à 5 ans pour l’ensemble des patients ayant eu un cancer de l’œsophage ?","30-35%","20%","10%","5%","3","Le document : 'Résultat : 10% pour l’ensemble de la population (qui ont eu un cancer de l’œsophage)'","Easy"
"Quelle est la survie à 5 ans dans les formes curables ?","10%","20%","30-35%","50%","3","Le document : '30 à 35 % à 5 ans dans les formes curables'","Easy"
"Quel facteur alimentaire a un rôle protecteur selon le document ?","Consommation de beurre","Poisson, fruits frais et légumes","Viande rouge","Alcool","2","Le document : 'Rôle protecteur du poisson, des fruits frais et légumes'","Easy"
"Quelle condition précancéreuse est liée au reflux gastro-œsophagien ?","Endobrachy-œsophage (œsophage de Barrett)","Diverticule de Zenker","Méga-œsophage","Œsophagite sidéropénique","1","Le document : 'L’œsophagite peptique par reflux. Endobrachy-œsophage (EBO) est une condition précancer'","Easy"
"Quel est l’aspect macroscopique d’une tumeur infiltrante pure ?","Aspect polypoïde","Aspect parcheminé, muqueuse ulcérée en surface, peu étendue","Aspect ulcéré à grand axe vertical","Aspect verruqueux","2","Le document : 'Tumeur infiltrante pure (10%) : avec un aspect parcheminé, muqueuse ulcérée en surface, peu étendue'","Easy"
"Quel est le signe clinique d’une extension médiastinale ?","Dysphonie","Douleurs thoraciques","Toux à la déglutition","Hépatomégalie","2","Le document : 'Si douleurs thoraciques = extension médiastinale'","Easy"
"Quel ganglion métastatique est palpable dans les creux sus-claviculaires ?","Ganglion de Troisier","Ganglion de Virchow","Ganglion de Cloquet","Ganglion de Rotter","1","Le document : 'Ganglion de Troisier' (cité dans signes d’extension)","Easy"
"Quel examen radiologique intervient en complément de l’endoscopie pour situer la topographie de la lésion ?","Scanner","Transit œsophagien","Radiographie pulmonaire","IRM","2","Le document : 'Transit œsophagien : Intervient en complément de l’endoscopie pour situer la topographie de la lésion'","Easy"
"Quelle est la fréquence des adénocarcinomes dans le segment inférieur tendant à augmenter jusqu’à ?","5%","15%","25%","35%","4","Le document : 'tend à augmenter jusqu’à 35%'","Easy"
"Quel est l’effet de l’association alcool + tabac ?","Additif","Multiplicatif","Sans effet","Protecteur","2","Le document : 'Association des 2 toxiques : effet multiplicatif'","Easy"
"Quels sont les sites métastatiques généraux du cancer de l’œsophage ?","Foie, poumons, os","Cerveau, rein, peau","Pancréas, rate, surrénales","Vessie, prostate, testicules","1","Le document : 'Générale : Hépatiques, Pulmonaires, Osseuses'","Easy"
"Quel examen permet de dépister une fistule oeso-trachéale ?","Fibroscopie","Transit œsophagien","Scanner","Échoendoscopie","2","Le document : 'Transit œsophagien : Fistule médiastinale borgne ou en communication (fistule oeso-trachéale)'","Medium"
"Quel traitement palliatif est indiqué en dernier recours ?","Gastrotomie d’alimentation","Endoprothèse","Radiothérapie","Chimiothérapie","1","Le document : 'Chirurgie : gastrotomie d’alimentation : en dernier recours'","Medium"
"Quelle intervention utilise une thoracotomie gauche ?","Lewis","Sweet","Akiyama","Lewis modifié","2","Le document : 'Opération de SWEET (rarement réalisée) : Réalisée par thoracotomie gauche'","Medium"
"Dans l’intervention de Lewis, pourquoi une pyloroplastie est-elle nécessaire ?","Pour éviter le reflux biliaire","Car le nerf X est coupé lors de l’œsophagectomie","Pour faciliter l’anastomose","Pour réduire la mortalité","2","Le document : '+ Pyloroplastie doit suivre cette intervention (car X coupé lorsqu’on enlève l’oesophage)'","Medium"
"Quelle est l’indication de l’anastomose cervicale ?","Tumeurs infra-aortiques","Tumeurs sus-aortiques et cervicales","Tumeurs du tiers inférieur","Toutes les tumeurs","2","Le document : 'Anastomose cervicale pour les tumeurs sus-aortique et cervicale'","Medium"
"Quel traitement palliatif utilise un tube rigide après dilatation ?","Chirurgie","Intubation endoscopique","Radiothérapie","Chimiothérapie","2","Le document : 'Intubation endoscopique : tube rigide après dilatation de la tumeur'","Medium"
"Le cancer épidermoïde de l’œsophage est radiosensible et théoriquement radiocurable. Vrai ou faux ?","Vrai","Faux","","","1","Le document : 'Radiothérapie : le cancer épidermoïde est radiosensible, théoriquement radiocurable'","Medium"
"Quel examen ORL est inclus dans le bilan d’extension de base ?","Laryngoscopie","Examen ORL non précisé","Fibroscopie bronchique","Échographie cervicale","2","Le document : 'Examens de base : L’examen ORL' (sans précision)","Medium"
"Quel est l’aspect endoscopique des formes superficielles ?","Tumeur polypoïde","Aspect verruqueux, zone érosive, plage dyschromique, œsophagite suspendue","Ulcération verticale","Sténose","2","Le document : 'Attention aux formes intra-épithéliales ou superficielles : Aspect verruqueux, Zone érosive, Plage dyschromique, Oesophagite suspendue'","Medium"
"Quel colorant vital est utilisé pour guider les biopsies des lésions superficielles multifocales ?","Bleu de méthylène","Bleu de Toluidine, Lugol","Vert d’indocyanine","Rouge Congo","2","Le document : 'Elles peuvent être guidées par des colorants vitaux (bleu de Toluidine, Lugol)'","Medium"
"Quel est le pourcentage de précision du stade TNM par l’association TDM + échoendoscopie ?","80%","70%","90%","95%","1","Le document : 'une précision proche de 80%'","Medium"
"Quel est le pourcentage de diagnostic par biopsies ?","95%","90%","85%","99%","1","Le document : 'Les biopsies permettent le diagnostic dans 95% des cas'","Medium"
"Quelle est la définition du stade I du cancer de l’œsophage ?","Strictement pariétal, muqueuse et sous-muqueuse","Atteinte jusqu’à la musculeuse","Lésion avec envahissement ganglionnaire","Métastatique","1","Le document : 'Stade I : strictement pariétal, muqueuse et sous-muqueuse'","Medium"
"Quelle est la définition du stade II ?","Muqueuse et sous-muqueuse","Atteinte jusqu’à la musculeuse","Adventice ou ganglions","Métastatique","2","Le document : 'Stade II : atteinte jusqu’à la musculeuse'","Medium"
"Quelle est la définition du stade III ?","Strictement pariétal","Atteinte musculeuse","Lésion avec envahissement des ganglions de voisinage ou atteinte de l’adventice ou au-delà","Métastases","3","Le document : 'Stade III : lésion avec envahissement des ganglions de voisinage ou atteinte de l’adventice ou au-delà'","Medium"
"Quelle est la définition du stade IV ?","Tumeur localisée","Envahissement ganglionnaire régional","Métastatique","Tumeur superficielle","3","Le document : 'Stade IV : cancer envahissant d’autre partie de l’organisme (métastatique)'","Medium"
"Quelle intervention associe thoracotomie, laparotomie et incision cervicale ?","Lewis","Sweet","Akiyama","Oesocoloplastie","3","Le document : 'Opération d’AKIYAMA : Thoracotomie [...] + laparotomie [...] + Incision cervicale'","Medium"
"Quel est le but des méthodes palliatives ?","Guérir le patient","Restaurer le confort alimentaire","Prévenir les métastases","Réduire la tumeur","2","Le document : 'Visent à restaurer le confort alimentaire : désobstruction endoscopique, endoprothèse'","Medium"
"Quel traitement palliatif chirurgical peut être proposé en alternative à l’intubation ?","Oesogastroplastie palliative ou oesocoloplastie","Gastrectomie","Splénectomie","Pancréatectomie","1","Le document : 'Chirurgie : Oesogastroplastie palliative, Oesocoloplastie'","Medium"
"Quelle est la relation dose-effet pour l’alcool et le tabac ?","Absente","Inverse","Présente (plus on consomme, plus le risque augmente)","Seuil unique","3","Le document : '2 facteurs de risques indépendants + relation dose-effet'","Medium"
"Quelle est la particularité épidémiologique des pays asiatiques (Chine, Japon) ?","Incidence faible","Incidence significativement élevée","Incidence nulle","Incidence en baisse","2","Le document : 'Significativement élevé : chine, Japon'","Medium"
"Quel est le rôle des facteurs socio-économiques ?","Population de haut niveau","Population de bas niveau socio-économique et zone rurale","Sans influence","Milieu urbain favorisé","2","Le document : 'Population de bas niveau socio-économique, Zone rurale'","Medium"
"Quelle œsophagite est associée au syndrome de Plummer-Vinson ?","Œsophagite peptique","Œsophagite sidéropénique","Œsophagite caustique","Œsophagite de stase","2","Le document : 'L’œsophagite sidéropénique de Plummer-Vinson ou Kelly-Paterson'","Medium"
"Quel est le pourcentage des tumeurs ulcérées (ulcération à grand axe vertical) ?","60%","20%","10%","5%","2","Le document : 'Tumeur ulcérée (20%)'","Medium"
"Quel est le pourcentage des tumeurs infiltrantes pures ?","60%","20%","10%","5%","3","Le document : 'Tumeur infiltrante pure (10%)'","Medium"
"Quel est le siège des métastases osseuses ?","Non précisé","Os longs, rachis","Crâne","Tous","1","Le document cite 'Osseuses' sans précision","Medium"
"Quel est le signe clinique d’une fistule oeso-trachéale ?","Dysphonie","Toux à la déglutition","Hépatomégalie","Douleur thoracique","2","Le document : 'Toux à la déglutition par fistule'","Medium"
"Quel est l’examen qui apprécie la distance entre le pôle supérieur du cancer et l’arcade dentaire ?","Transit œsophagien","Endoscopie","Scanner","Radiographie pulmonaire","2","Le document : 'Endoscopie ou Fibroscopie digestive haute : Apprécie la distance entre pôle supérieur du cancer et l’arcade dentaire'","Medium"
"Quelle est la particularité de l’anastomose dans l’intervention de Lewis ?","Oeso-colique","Oeso-gastrique à la main ou à l’agrafeuse","Oeso-jéjunale","Oeso-duodénale","2","Le document : '+ anastomose oeso-gastrique à la main ou à l’agrafeuse anastomotique'","Difficult"
"Quel est le pourcentage de survie à 5 ans des formes curables ?","10%","20%","30-35%","40%","3","Le document : '30 à 35 % à 5 ans dans les formes curables'","Difficult"
"Quel est le pourcentage de survie à 5 ans pour l’ensemble des patients ?","30%","20%","10%","5%","3","Le document : '10% pour l’ensemble de la population'","Difficult"
"Quel est l’intérêt de l’examen ORL dans le bilan d’extension ?","Rechercher une lésion synchrone","Rechercher une atteinte récurrentielle","Rechercher une métastase","Non précisé","2","Le document ne précise pas, mais l’examen ORL peut rechercher une paralysie récurrentielle ou des adénopathies cervicales.","Difficult"
