"front","back","cognitive_level"
"Qu’est‑ce que la lithiase biliaire ?","Pathologie suite à l’existence de calculs dans les voies biliaires. Fréquente et bénigne, mais aux conséquences graves si compliquée.","Recall"
"Quels sont les trois composés organiques de la bile ?","Bilirubine, cholestérol et phospholipides.","Recall"
"Quel est le volume de sécrétion biliaire par jour ?","750 ml/j.","Recall"
"Quelle est la prévalence de la lithiase biliaire en Europe ?","Plus de 10 à 20% de la population.","Recall"
"Quelle proportion des malades ayant une lithiase biliaire symptomatique auront une complication ?","1/3.","Recall"
"Quelle est l’incidence annuelle en France ?","160 000 nouveaux cas par an.","Recall"
"Citez cinq facteurs favorisant la lithogenèse.","Âge (augmente avec l’âge), sexe (2‑3 fois plus fréquent chez la femme), grossesse, obésité, ethnie/facteurs génétiques (maximale chez les tribus indiennes américaines, minimale au Japon), médicaments (hypolipémiants, contraceptifs oraux œstrogéniques, octréotide), jeûne prolongé.","Recall"
"Quel est le nom du triangle qui décrit la composition des lipides biliaires ?","Triangle de Small et Dervichian (cholestérol, lécithine, sels biliaires).","Recall"
"Quel est le type de calcul biliaire le plus fréquent (80%) ?","Calculs mixtes (couches concentriques de bilirubinate de calcium et de cholestérol), couleur claire, opaques aux rayons X.","Recall"
"Quel type de calcul est transparent aux rayons X et a une structure cristalline ?","Calculs de cholestérol pur (15%).","Recall"
"Quels sont les calculs pigmentaires (couleur vert foncé ou noirâtre, transparents aux rayons X) ?","Calculs composés de bilirubine et calcium.","Recall"
"Quels calculs sont opaques aux rayons X, faits de grains fins comme du sable, lourds et sédimentent au fond de la vésicule ?","Calculs de carbonate de calcium.","Recall"
"Qu’est‑ce qu’un calcul à noyau figuré ?","Calcul dont le centre est formé par un parasite.","Recall"
"Quelle est la proportion de lithiase biliaire latente (asymptomatique) ?","80% des cas.","Recall"
"Citez les cinq types de manifestations de la lithiase biliaire.","1) Latente, 2) Douleurs isolées (colique hépatique), 3) Manifestations infectieuses (cholécystite aiguë, péritonite, angiocholite), 4) Manifestations ictériques (rétention biliaire), 5) Manifestations occlusives (iléus biliaire).","Recall"
"Qu’est‑ce que l’angiocholite ?","Infection du contenu biliaire et de la voie biliaire principale (cholédoque).","Recall"
"Quelles sont les voies biliaires accessoires ?","Vésicule biliaire et canal cystique.","Recall"
"Décrivez la douleur typique de la colique hépatique.","Douleur brutale et intense, siège à l’hypocondre droit, inhibe la respiration ou coupe l’inspiration, irradiation spécifique vers l’épaule droite, brève.","Recall"
"Qu’est‑ce que la manœuvre de Murphy ?","Mettre la main à l’hypochondre droit, appuyer, demander au patient d’inspirer. La descente du diaphragme comprime la vésicule contre la main, provoquant une douleur en cas de calcul.","Recall"
"Où se situe le point de Murphy ?","Réunion du rebord costal droit avec le bord externe du grand droit de l’abdomen.","Recall"
"Quel examen radiologique de base peut montrer des calculs ?","Radiographie de l’abdomen sans préparation (ASP). Attention selon la radio‑opacité des calculs.","Recall"
"Quel est l’examen de première intention pour visualiser les calculs biliaires ?","L’échographie (ou échotomographie).","Recall"
"Quels sont les signes échographiques des calculs biliaires ?","Images hyperéchogènes avec cônes d’ombre postérieurs.","Recall"
"Quel est l’inconvénient de l’échographie pour l’étude de la voie biliaire principale ?","Souvent difficile car la voie biliaire est profonde.","Recall"
"Quels examens cholangiographiques sont abandonnés ?","Cholécystographie par voie orale et cholangiographie intraveineuse.","Recall"
"Qu’est‑ce que la cholangiographie rétrograde par voie endoscopique ?","Cathétérisme de la papille, injection de produit de contraste, permet de visualiser une lacune du bas cholédoque.","Recall"
"Qu’est‑ce que la cholangiographie per‑opératoire ?","Injection de produit de contraste lors de l’opération.","Recall"
"Quels examens d’imagerie sont cités en fin de document ?","Scanographie (TDM) et IRM (bili‑IRM).","Recall"
