"question","answer","explanation","difficulty"
"Quelle est la définition du reflux gastro-œsophagien pathologique ?","Passage involontaire du contenu gastrique dans l'œsophage à travers le cardia sans effort de vomissement, entraînant des symptômes et/ou des lésions muqueuses.","Document.","Easy"
"Quels sont les trois éléments de la triade clinique du RGO ?","Pyrosis (brûlure rétrosternale ascendante), régurgitations acides (goût métallique), syndrome postural (aggravation par l'antéflexion).","Document.","Easy"
"Qu'est-ce que le signe du lacet ?","Aggravation du pyrosis par l'antéflexion (position penchée en avant), pathognomonique du RGO.","Document.","Easy"
"Quels sont les cinq signes d'alarme du RGO qui imposent une endoscopie ?","Hémorragie digestive, anémie, dysphagie, odynophagie, amaigrissement, résistance au traitement.","Document.","Medium"
"Quelles sont les deux classifications endoscopiques des œsophagites peptiques citées ?","Savary-Miller (grades I à IV) et Los Angeles (grades A, B, C, D).","Document.","Easy"
"Décrivez les quatre grades de la classification de Los Angeles.","A : perte(s) de substance <5 mm ; B : perte(s) >5 mm ; C : perte s'étendant entre 2 plis (non circonférentielle) ; D : perte circonférentielle.","Document.","Medium"
"Quel est le but de la pH-métrie œsophagienne ?","Quantifier les épisodes de reflux acide (pH<4) et corréler les symptômes aux épisodes de reflux.","Document.","Medium"
"Quel est l'avantage de la ph-impédancemétrie par rapport à la pH-métrie classique ?","Elle détecte les reflux peu acides (pH>4) et les reflux gazeux.","Document.","Medium"
"Quels sont les quatre éléments de la barrière anti-reflux ?","Sphincter inférieur de l'œsophage (SIO), angle de His, anneau diaphragmatique, ligament gastro-phrénique, pars condensa du petit épiploon.","Document.","Medium"
"Citez trois facteurs diminuant la pression du SIO.","Inhibiteurs calciques, dérivés nitrés, chocolat, alcool.","Document.","Easy"
"Quels sont les quatre mécanismes pathogéniques du RGO ?","Incompétence de la barrière anti-reflux, altération de la vidange œsophagienne, agressivité du matériel de reflux, diminution de la résistance épithéliale.","Document.","Medium"
"Qu'est-ce que l'endobrachyoesophage (œsophage de Barrett) ?","Remplacement de la muqueuse malpighienne du bas œsophage par une muqueuse cylindrique (métaplasie intestinale) sur au moins 2-3 cm, secondaire au reflux acide chronique.","Document.","Medium"
"Quel est le risque évolutif de l'endobrachyoesophage ?","Dysplasie, puis adénocarcinome.","Document.","Easy"
"Quelles sont les complications du RGO ?","Œsophagite peptique, ulcère, sténose peptique, hémorragie, endobrachyoesophage, adénocarcinome.","Document.","Easy"
"Quels sont les trois diagnostics différentiels d'une douleur rétrosternale ?","Angor (coronaropathie), troubles moteurs œsophagiens, œsophagite infectieuse/radique/caustique.","Document.","Medium"
"Quel examen confirme une sténose peptique ?","Endoscopie ou TOGD.","Document.","Easy"
"Quel est le traitement endoscopique d'une sténose peptique ?","Dilatation endoscopique (par ballon ou bougie).","Document.","Easy"
"Quels sont les symptômes atypiques extra-digestifs du RGO ?","Toux nocturne, bronchopneumopathie d'inhalation, asthme instable, dysphonie, otalgie réflexe, douleur pseudo-angineuse.","Document.","Medium"
"Quelle est la technique de la pH-métrie classique ?","Placement d'une électrode par voie nasale à 5 cm au-dessus du SIO, enregistrement sur 24 heures.","Document.","Medium"
"Quel examen utilise le Technétium 99 ?","La scintigraphie œsophagienne.","Document.","Easy"
"Quelle est l'indication de la manométrie œsophagienne dans le RGO ?","Bilan préopératoire (avant chirurgie anti-reflux) ou élimination d'un trouble moteur œsophagien.","Document.","Medium"
"Quel est le rôle de la salive dans la défense contre le reflux ?","Neutraliser l'acidité résiduelle grâce aux bicarbonates.","Document.","Easy"
"Qu'est-ce qu'une œsophagite érosive ?","Lésion muqueuse superficielle (érosion) visible à l'endoscopie, correspondant aux grades A à D de Los Angeles.","Document.","Medium"
"Quelle est la différence entre une érosion et un ulcère œsophagien ?","L'érosion est superficielle (épithélium), l'ulcère atteint la musculeuse.","Document.","Medium"
"Quel est le mécanisme de la sténose peptique ?","Agression acide chronique → inflammation → fibrose → rétraction cicatricielle.","Document.","Medium"
