"question","answer","explanation","difficulty"
"Quelle est la différence entre une ulcération et une érosion ?","Ulcération : perte de substance profonde touchant le derme et l'hypoderme. Érosion : perte de substance superficielle touchant l'épithélium et le derme superficiel.","Document","Easy")
"Citez trois causes d'ulcération buccale aiguë.","Traumatisme/caustique, aphte, herpès, varicelle/zona, syndrome main-pied-bouche, herpangine, primo-infection VIH, toxidermie, érythème polymorphe post-infectieux.","Document","Easy")
"Quels sont les trois diagnostics d'ulcération bifocale récurrente ?","Aphte, herpès, maladie de Behçet.","Document","Easy")
"Quel examen est indiqué pour le diagnostic de pemphigus vulgaire ?","Biopsie cutanée avec immunofluorescence directe montrant une positivité des espaces inter-kératinocytaires.","Document","Easy")
"Quel est l'aspect du chancre syphilitique ?","Érosion ou ulcération indurée, de 5-15 mm, unique ou ovalaire, bords réguliers, fond propre, indolore, régression sans cicatrice.","Document","Easy")
"Quelles sont les localisations génitales du chancre syphilitique chez l'homme et la femme ?","Homme : sillon balano-prépucial, gland ; Femme : vulve, anus.","Document","Easy")
"Qu'est-ce que la maladie de Nicolas-Favre ?","Infection à Chlamydia trachomatis sérotype L1-L3, débutant par un petit chancre d'inoculation fugace, puis adénopathies qui se ramollissent et fistulisent en « pomme d'arrosoir ».","Document","Medium")
"Quel est l'aspect de la donovanose ?","Ulcération non douloureuse, non indurée, à surface granulomateuse, sans tendance à la guérison spontanée, sans adénopathie, siégeant sur verge, vulve ou plis inguinaux.","Document","Medium")
"Quel est le diagnostic différentiel d'une ulcération chronique indolore sur base indurée chez un patient tabagique ?","Cancer (carcinome épidermoïde), nécessitant une biopsie.","Document","Medium")
"Quelles sont les manifestations du zona en fonction des nerfs crâniens touchés (V2, V3, VII, IX) ?","V2 : gencive supérieure, palais ; V3 : joue, gencive inférieure, dos de la langue ; VII : pointe et bords de la langue, conduit auditif externe, paralysie faciale ; IX : pharynx buccal.","Document","Medium")
"Quel est le traitement de l'érythème polymorphe post-infectieux avec dysphagie majeure ?","Hospitalisation, hydratation, alimentation par sonde gastrique.","Document","Medium")
"Quel virus est responsable du syndrome main-pied-bouche et quel est son délai d'incubation ?","Coxsackie A16, incubation 3-5 jours.","Document","Medium")
"Quelle est l'évolution des lésions du syndrome main-pied-bouche ?","Disparition en moins d'une semaine.","Document","Medium")
"Quels sont les signes généraux de l'herpès génital aigu ?","Fièvre, asthénie, douleurs articulaires.","Document","Medium")
"Quel examen confirme le diagnostic de syphilis ?","Sérologie (THA, VDRL).","Document","Easy")
"Quels sont les deux types de toxidermie pouvant donner des ulcérations buccales ?","Toxidermie (non précisée) et érythème polymorphe post-infectieux (d'origine médicamenteuse ou infectieuse).","Document","Medium")
"Quelles sont les causes d'ulcération génitale chronique ?","Immunodépression (CMV/VIH), néoplasie, dermatose bulleuse auto-immune (pemphigus vulgaire, pemphigoïde cicatricielle).","Document","Medium")
"Quelles sont les causes d'ulcération bifocale chronique ?","Dermatose inflammatoire chronique, DBAI, maladie de Crohn.","Document","Medium")
"Quel est l'aspect des lésions du lichen érosif ?","Érosions sur une base de réseau blanchâtre, prédominant sur la muqueuse jugale.","Document","Medium")
"Quel facteur déclenchant est cité pour les aphtes ?","Aliments (agrumes, fromage).","Document","Easy")
"Quelle est la particularité de l'ulcération traumatique ?","Localisation en regard de l'appareil prothétique, contours géographiques ou à angle aigu, guérison après élimination de l'agent traumatique.","Document","Medium")
"Quel est le risque d'une ulcération traumatique persistante ?","Néoplasie sous-jacente.","Document","Medium")
"Quelles sont les causes d'ulcération génitale aiguë non infectieuses ?","Traumatique/mécanique (excès d'hygiène, dermatose prurigineuse).","Document","Medium")
"Quel est l'aspect de l'herpangine ?","Érosions post-vésiculeuses de la partie postérieure de la cavité buccale, avec fièvre.","Document","Medium")
"Quels sont les signes de la primo-infection VIH au niveau buccal ?","Érosions ou ulcérations linguales ou palatines, érythème morbiliforme, syndrome grippal.","Document","Medium")
"Quel est l'aspect de l'érythème polymorphe post-infectieux au niveau cutané ?","Lésions en cocardes des extrémités.","Document","Medium")
"Quel est l'aspect des lésions de la varicelle sur la muqueuse buccale ?","Lésions punctiformes, post-vésiculeuses, région palatine, contexte épidémiologique avec lésions cutanées d'âges différents.","Document","Medium")
"Quel est l'aspect des lésions du zona sur muqueuse ?","Bouquets vésiculeux rapidement érosifs, lésions étendues et systématisées.","Document","Medium")
"Quel examen est indiqué pour le diagnostic étiologique d'une ulcération herpétique ?","Cytodiagnostic de Tzank, examen microbiologique (PCR).","Document","Easy")
"Quel est le traitement des ulcérations herpétiques ?","Non détaillé mais antiviral (aciclovir) classique.","Document (implicite)","Medium")
"Quelle est la particularité du chancre mou par rapport au chancre syphilitique ?","Chancre mou : érosion inflammatoire non indurée, douloureuse, avec liséré fibrino-purulent ; syphilis : indurée, indolore.","Document","Difficult")
"Quel nerf crânien est responsable d'une paralysie faciale associée à des érosions de la langue et du conduit auditif externe ?","Nerf facial (VII).","Document","Difficult")
"Quel est le terrain favorisant le cancer buccal ?","Tabagisme et alcoolisme.","Document","Easy")
"Quelle est la durée de régression du chancre syphilitique ?","Régression sans cicatrice (non précisée, mais spontanée).","Document","Medium")
