"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quel pourcentage des causes d'insuffisance rénale représentent les néphropathies glomérulaires selon le document ?","10 à 20%","20 à 30%","30 à 40%","40 à 50%","3","Le document indique : ''30 à 40% des causes d'insuffisance rénale''.","Easy"
"Quelle est la principale caractéristique de la protéinurie dans les syndromes glomérulaires ?","Majoritairement albumine + gammaglobulines","Majoritairement des chaînes légères","Majoritairement des b2-microglobulines","Majoritairement des protéines de bas poids moléculaire","1","Le document précise : ''Majoritairement : albumine; + gammaglobulines''.","Easy"
"Pourquoi l'hématurie macroscopique d'origine glomérulaire est-elle sans caillot selon le document ?","Présence d'urokinase dans le parenchyme rénal (thrombolytique)","Absence de facteurs de coagulation","Dilution par l'urine","Présence d'héparine naturelle","1","Le document explique : ''sans caillot (présence d'urokinase dans le parenchyme rénal : thrombolytique)''.","Easy"
"Quel est le seuil de protéinurie définissant le syndrome néphrotique selon le document ?","> 1g/24h","> 2g/24h","> 3g/24h ou 50mg/kg/24h","> 5g/24h","3","Le document précise : ''Protéinurie massive > 3g/24h ou 50mg/kg/24h''.","Easy"
"Quel est le seuil d'albuminémie définissant le syndrome néphrotique selon le document ?","< 20g/l","< 25g/l","< 30g/l","< 35g/l","3","Le document indique : ''Albuminémie < 30g/l''.","Easy"
"Quelles sont les trois causes du syndrome néphrotique citées dans le document ?","LGM, HSF, GEM","GNA, GNRP, Berger","Amylose, diabète, lupique","Lithiases, infections, toxiques","1","Le document liste : ''LGM, HSF, GEM, Amylose''.","Easy"
"Quelle est la cause principale du syndrome néphritique aigu selon le document ?","GN proliférative endocapillaire (GNA post-streptococcique)","GN proliférative extracapillaire","Néphropathie à IgA","Syndrome de Goodpasture","1","Le document indique : ''Causes : GN proliférative endocapillaire (GNA post-streptococcique)''.","Easy"
"Quel est le délai d'installation de l'insuffisance rénale dans le syndrome GNRP selon le document ?","2 à 8 semaines","2 à 8 jours","2 à 8 mois","24 à 48 heures","1","Le document précise : ''Insuffisance rénale en 2 - 8 semaines''.","Easy"
"Quelles sont les trois causes de GNRP citées dans le document ?","Wegener, Goodpasture, Polyangéite microscopique (PAM)","LGM, HSF, GEM","GNA, Berger, Alport","Lupus, purpura rhumatoïde, cryoglobulinémie","1","Le document liste : ''Wegener, Goodpasture, Polyangéite microscopique (PAM)''.","Easy"
"Quelles sont les trois causes du syndrome hématurique isolé selon le document ?","Néphropathie à IgA, syndrome d'Alport, maladie de Berger, purpura rhumatoïde","GNA, GNRP, HSF","LGM, GEM, amylose","Lithiases, tumeurs, infections","1","Le document cite : ''Néphropathies à IgA, Syndrome d'Alport, Maladie de Berger, Purpura rhumatoïde de l'enfant''.","Easy"
"Quel est le syndrome glomérulaire le plus fréquent selon le document ?","Syndrome néphrotique","Syndrome néphritique aigu","Syndrome hématurique isolé","Syndrome de GNRP","3","Le document précise pour le syndrome hématurique : ''La plus fréquente''.","Easy"
"Quels sont les signes du syndrome néphrotique cités dans le document ?","Oedèmes, thrombose, insuffisance rénale aiguë fonctionnelle","HTA, oligurie, hématurie","Fièvre, arthralgies, purpura","Dyspnée, hémoptysie, sinusite","1","Le document liste : ''Oedèmes, Thrombose, Insuffisance rénale aiguë fonctionnelle'' comme particularités.","Easy"
"Quelle est la particularité de la PBR dans le syndrome néphritique aigu selon le document ?","Pas de PBR","PBR systématique","PBR en urgence","PBR après traitement","1","Le document indique : ''Pas de PBR'' dans les particularités du syndrome néphritique aigu.","Medium"
"Quelle est la particularité de la PBR dans le syndrome de GNRP selon le document ?","PBR absolument","Pas de PBR","PBR seulement si échec","PBR après 1 mois","1","Le document précise : ''PBR absolument''.","Medium"
"Quels sont les signes du syndrome néphritique aigu selon le document ?","Brutal, oligurie, hématurie macroscopique, HTA, œdèmes, IRA modéré","Progressif, protéinurie massive, hypoalbuminémie","Hématurie isolée récidivante","Insuffisance rénale rapide, signes extra-rénaux","1","Le document détaille ces signes.","Medium"
"Quels sont les signes du syndrome de GNRP selon le document ?","Insuffisance rénale en 2-8 semaines, protéinurie et hématurie, signes extra-rénaux (ORL, pulmonaire, cutané, articulaire)","Protéinurie massive, œdèmes, hypoalbuminémie","Brutal, oligurie, HTA","Hématurie isolée récidivante","1","Le document détaille ces signes.","Medium"
"Quels sont les signes du syndrome hématurique isolé selon le document ?","Hématurie macroscopique ou microscopique récidivante","Protéinurie massive, œdèmes","HTA, insuffisance rénale","Fièvre, arthralgies","1","Le document le précise.","Medium"
"Quels sont les signes du syndrome de glomérulonéphrite chronique selon le document ?","Protéinurie, hématurie, HTA, IR chronique","Insuffisance rénale rapide, signes extra-rénaux","Hématurie isolée","Syndrome néphrotique pur","1","Le document détaille ces signes.","Medium"
"Quels sont les signes extra-rénaux des syndromes glomérulaires cités dans le document ?","Fièvre, asthénie, arthralgie, myalgie, douleurs abdominales, signes cutanés (purpura, livedo), signes pulmonaires/ORL, signes neurologiques, antécédents familiaux","Uniquement cutanés","Uniquement pulmonaires","Uniquement articulaires","1","Le document liste ces signes extra-rénaux.","Difficult"
"Quels sont les 8 examens du bilan immunologique des syndromes glomérulaires cités dans le document ?","Immunoélectrophorèse, dosage pondéral Ig, Ac anti-nucléaires/Ac anti-DNA natifs, compléments (C3,C4,C1q), ANCA, Ac anti-MBG, cryoglobulinémie, sérologies (HIV,VHC,VHB,bilharzienne, cysticerquienne, paludéenne)","Uniquement Ac anti-nucléaires","Uniquement compléments","Uniquement ANCA","1","Le document liste ces 8 examens.","Difficult"
