"front","back","cognitive_level"
"Quels sont les 3 shunts circulatoires fœtaux décrits dans le document ?","Les 3 shunts sont : le foramen ovale (trou de Botale), le canal artériel, et le canal d'Arantius (ductus venosus). Le document précise également un fonctionnement en parallèle des ventricules gauche et droit.","Recall"
"Comment se ferme le canal artériel après la naissance ?","L'augmentation de la pression systémique entraîne un apport de sang oxygéné au niveau du canal artériel, ce qui provoque une vasoconstriction et aboutit à la fermeture définitive du canal artériel (CA).","Understanding"
"Quel est le rôle du surfactant et quels phénomènes peuvent le détruire ?","Le surfactant, libéré par les pneumocytes de type II, confère des propriétés tensio-actives aux alvéoles, aidant les alvéoles à ne pas se collaber. Les phénomènes pouvant détruire le surfactant sont : l'asphyxie périnatale et l'infection néonatale bactérienne (l'inflammation détruit le surfactant).","Understanding"
"Pourquoi l'évacuation du liquide pulmonaire est-elle ralentie chez certains nouveau-nés ?","L'évacuation du liquide pulmonaire est ralentie en cas de prématurité et chez les enfants nés par césarienne, selon le document.","Recall"
"Quels sont les quatre mécanismes de pertes thermiques chez le nouveau-né ?","Les quatre mécanismes sont : la conduction (différence de température avec la surface sur laquelle il est posé), la convection (gradient avec l'air circulant), la radiation (échange avec les parois froides de l'environnement), et l'évaporation (voie respiratoire et cutanée).","Recall"
"Quelle est l'évolution de la glycémie après la naissance chez le nouveau-né à terme ?","Après clampage du cordon, le nouveau-né à terme mobilise ses réserves en glycogène et maintient la glycémie > 0,4 g/l (2,3 mmol/l). La glycémie chute pour atteindre son niveau le plus bas 1 heure après la naissance, puis se normalise entre 4 et 6 heures après grâce à la glycogénolyse et la néoglucogenèse, relayée par une alimentation précoce.","Understanding"
"À quel âge gestationnel la succion-déglutition devient-elle mature ?","La succion-déglutition est mature à 34-36 SA, permettant la tétée.","Recall"
"Comment l'aération alvéolaire entraîne-t-elle la fermeture du foramen ovale ?","L'effet de l'aération alvéolaire diminue les résistances pulmonaires et augmente la pression dans l'oreillette gauche (OG) par rapport à l'oreillette droite (OD), soit pression OG > OD, ce qui entraîne la fermeture du foramen ovale.","Analysis"
"Un nouveau-né prématuré de 30 SA présente une motricité intestinale désordonnée. Quel âge gestationnel est requis pour une motricité harmonieuse ?","La motricité intestinale est très désordonnée avant 31 SA, mais devient harmonieuse et efficace à >34 SA, selon le document.","Application"
"Quel est l'effet du clampage du cordon sur le canal d'Arantius ?","Le clampage du cordon entraîne la disparition du retour veineux ombilical, ce qui provoque la fermeture du canal d'Arantius (au niveau du foie).","Recall"
