question, option1, option2, option3, option4, answer, explanation, difficulty
"Quelle est la définition des suites de couches ?", "Période de l'accouchement à la première menstruation normale (vers J45 si pas d'allaitement)", "Période des 10 premiers jours après accouchement", "Période de l'accouchement à 6 mois post-partum", "Première semaine après accouchement", "1", "Le document : 'période qui s'étend de l'accouchement au retour de couches c'est à dire la première menstruation normale (vers J45(42-45) si pas d'allaitement maternel)'", "Easy"
"Quand a lieu le retour de couches chez la femme n'allaitant pas ?", "J30-35", "J42-45", "J50-55", "J60", "2", "Le document : 'vers J45(42-45) si pas d'allaitement maternel'", "Easy"
"Combien de temps après l'accouchement l'utérus retrouve-t-il sa taille et son poids initiaux ?", "1 mois", "6 semaines", "2 mois", "3 mois", "3", "Le document : 'L'utérus retrouve sa taille et son poids initiaux 2 mois après l'accouchement'", "Easy"
"Quel est l'aspect des lochies dans les premiers jours ?", "Rouge vif", "Noirâtres incoagulables", "Claires", "Absentes", "2", "Le document : 'premiers jours : noirâtres incoagulables'", "Easy"
"Quel est le traitement des tranchées ?", "Spasfon", "Paracétamol", "Ibuprofène", "Morphine", "2", "Le document : 'Traitement : paracétamol (éviter Spasfon)'", "Easy"
"Pourquoi les tranchées augmentent-elles pendant l'allaitement ?", "Décharge d'ocytocine augmentant la contraction utérine", "Décharge de prolactine", "Décharge d'œstrogènes", "Décharge de progestérone", "1", "Le document : 'Augmentent au moment de l'allaitement car décharge d'ocytocine -> augmentation de la contraction utérine'", "Medium"
"Quel est le traitement de la rétention d'urine post-partum ?", "Diurétiques", "Sondage vésical", "Antibiotiques", "Antispasmodiques", "2", "Le document : 'Traitement : sondage vésical'", "Easy"
"Quel est le traitement des hémorroïdes thrombosées ?", "Titanoreine", "Proctolog", "Incision", "Laxatifs", "3", "Le document : 'Incision uniquement si thrombose'", "Medium"
"Quand apparaît le 'baby blues' ?", "J1", "J3", "J7", "J10", "2", "Le document : 'Syndrome dépressif qui apparaît vers J3'", "Easy"
"Quel est le traitement de première intention des varices après accouchement ?", "Bas de contention, activité physique, douches froides, surélévation jambes", "Anticoagulants", "Chirurgie", "AINS", "1", "Le document : 'Traitement : Activité physique, Douches froides, Surélévation des jambes, Bas de contention'", "Easy"
"Quelle est la cause la plus fréquente d'hémorragie du post-partum (HPP) ?", "Rétention tissulaire", "Atonie utérine (Tonus)", "Rupture utérine", "Trouble de la coagulation", "2", "Le document : 'Le Tonus : atonie utérine, cause la plus fréquente d'HPP'", "Easy"
"Quelle est la définition d'une hémorragie du post-partum ?", "Perte sanguine > 300 ml", "Perte sanguine > 500 ml dans les 24 premières heures", "Perte sanguine > 1000 ml", "Perte sanguine pendant 48h", "2", "Le document : 'perte sanguine par la filière génitale > 500 ml pendant les premières 24h après l'accouchement'", "Easy"
"L'hémorragie du post-partum est dite sévère à partir de quelle perte sanguine ?", "> 500 ml", "> 750 ml", "> 1000 ml", "> 1500 ml", "3", "Le document : 'sévère si > 1000 ml'", "Easy"
"Quel signe clinique oriente vers une endométrite puerpérale ?", "Lochies fétides, hyperthermie, utérus gros et douloureux", "Crampe du mollet", "Hémorroïdes", "Incontinence urinaire", "1", "Le document : 'Lochies fétides, Hyperthermie, Utérus un peu gros, mou et douloureux'", "Medium"
"Quelle contraception est recommandée chez la femme allaitante ?", "Oestroprogestatifs", "Microprogestatifs (Microval, Cézarette)", "Stérilet au cuivre immédiat", "Implant", "2", "Le document : 'Microprogestatifs si allaitante (Microval, Cézarette)'", "Easy"
"Quand peut-on poser un stérilet après l'accouchement ?", "Immédiatement ou 1 mois après", "Après 3 mois", "Après 6 mois", "Après 1 an", "1", "Le document : 'Peut être posé immédiatement ou 1 mois après lors de la visite post-natal'", "Easy"
"Quel est le traitement de l'incontinence urinaire post-partum ?", "Sondage", "Kiné (rééducation périnéale)", "Antibiotiques", "Anticholinergiques", "2", "Le document : 'Traitement : kiné (rééducation périnéale péri-partum)'", "Easy"
"Quel est le risque principal des varices post-partum ?", "Hémorragie", "Phlébite et ses conséquences", "Infection", "Anémie", "2", "Le document : 'Risque : phlébite et ses conséquences'", "Easy"
"Quelle est la prévention des infections puerpérales ?", "Antibiotiques systématiques", "Antibiotiques en cas de délivrance artificielle, révision utérine ou césarienne", "Asepsie stricte", "Antisepsie locale", "2", "Le document : 'La prévention consiste en l'administration d'antibiotiques en cas de délivrance artificielle, révision utérine ou césarienne'", "Medium"
"Quels sont les 4 T des causes d'hémorragie du post-partum ?", "Tonus, Tissus, Trou, Trouble", "Température, Tension, Toux, Traumatisme", "Tronc, Tête, Tube, Testicules", "Temps, Taille, Tumeur, Toxine", "1", "Le document : 'Causes : 4T : Tonus, Tissus, Trou, Trouble'", "Easy"
"Quelle est la complication de l'endométrite négligée ?", "Septicémie", "Péritonite", "Abcès pelvien", "Choc hémorragique", "2", "Le document : 'La péritonite : complication de l'endométrite négligée'", "Medium"
"Quel est le traitement de la constipation après accouchement ?", "Laxatifs irritants", "Levers précoces, aliments riches en fibres, laxatifs doux (Lansoyl, suppositoires glycérine, Eductyl)", "Repos au lit", "Antispasmodiques", "2", "Le document : 'Traitement : Levers précoces, Manger des aliments riches en fibres, Laxatifs : Lansoyl* gelée, Suppositoires de glycérine, Eductyl*'", "Medium"
"Quel est le signe clinique du baby blues ?", "Dépression sévère avec idées suicidaires", "Syndrome dépressif passager vers J3", "Psychose puerpérale", "Anxiété généralisée", "2", "Le document : 'Syndrome dépressif qui apparaît vers J3'", "Easy"
"Quel est le profil des femmes ayant un baby blues selon le document ?", "Bas niveau socio-économique", "Haut niveau socio-économique, intellectuels", "Primipares", "Multipares", "2", "Le document : 'Souvent à haut niveau socio-économique, intellectuels'", "Medium"
"Quel signe clinique n'est PAS un signe de phlébite ?", "Douleur unilatérale à type de crampe", "Augmentation de la chaleur du mollet", "Signe de Hommans", "Lochies fétides", "4", "Le document : 'Lochies fétides' est signe d'endométrite", "Medium"
"Qu'est-ce que le signe de Hommans ?", "Douleur à la dorsiflexion du pied en cas de phlébite", "Douleur à la palpation utérine", "Douleur à l'inspiration profonde", "Douleur abdominale", "1", "Le document : 'Signe de Hommans' comme signe de phlébite", "Medium"
"Quel est le traitement des varices après grossesse ?", "Bas de contention, activité physique, douches froides, surélévation jambes", "Anticoagulants", "Chirurgie", "AINS", "1", "Le document donne ces mesures", "Easy"
"Quelle est la porte d'entrée habituelle des infections puerpérales ?", "Voie respiratoire", "Voie vaginale (sauf césarienne)", "Voie urinaire", "Voie digestive", "2", "Le document : 'La porte d'entrée est vaginale (sauf en cas de césarienne)'", "Easy"
"Quand peut-on réaliser une stérilisation (ligature des trompes) après accouchement ?", "Dans les 7 jours après l'accouchement", "Après 3 mois", "Après 6 mois", "Jamais avant 1 an", "1", "Le document : 'La stérilisation : dans les 7 jours après l'accouchement'", "Easy"
"Quels sont les signes de l'abcès pelvien ?", "Ballonnement abdominal, signes urinaires, constipation", "Lochies fétides", "Crampe du mollet", "Hémorroïdes", "1", "Le document : 'Les signes sont un ballonnement abdominal, des signes urinaires, une constipation'", "Medium"
