"front","back","cognitive_level"
"Comment définit-on la pression artérielle normale chez l’enfant ?","PAS et/ou PAD < 90ème percentile pour le sexe et la taille.","Recall"
"Quels sont les seuils définissant la zone de pré-hypertension, l’HTA, l’HTA modérée, l’HTA sévère et l’HTA menaçante ?","Pré-hypertension : entre 90 et 97,5ème percentile. HTA : chiffres > 97,5ème percentile à 3 contrôles. HTA modérée : +10 mmHg au-dessus du 97,5ème percentile. HTA sévère : > +10 mmHg au-dessus du 97,5ème percentile. HTA menaçante : +30 mmHg au-dessus du 97,5ème percentile.","Recall"
"Quelle est la prévalence de l’HTA chez l’enfant et quel pourcentage est secondaire ?","Prévalence : 1-2 %. Secondaire dans 95 % des cas.","Recall"
"Quelles sont les conditions de mesure de la PA chez l’enfant ?","Enfant calme, au repos, allongé depuis 5 minutes. Brassard couvrant les 2/3 de la longueur du bras et toute la circonférence. Méthode auscultatoire avec manomètre à Hg. Chez le nourrisson : appareil oscillométrique (DYNAMAP). Autosurveillance : OMRON. Mesures répétées 3 fois.","Recall"
"Quelles sont les circonstances de découverte d’une HTA chez l’enfant ?","Asymptomatique (mesure systématique à partir de 3 ans, surveillance de néphropathie chronique). Signes : céphalée, épistaxis récidivants, bourdonnements d’oreilles, malaise à l’effort, hématurie. Complications : crises convulsives, hémiplégie, amaurose, œdème aigu des poumons.","Recall"
"À quels enfants faut-il mesurer la PA avant 3 ans ?","Antécédent de prématurité ou RCIU (faible poids de naissance) ; cardiopathie congénitale ; antécédent d’infections urinaires récidivantes / hématurie / protéinurie ; pathologie rénale connue / malformation urologique ; prise de certains médicaments ; HTIC ; surcharge pondérale ; HTA familiale / AVC familial.","Recall"
"Quelles sont les valeurs normales de PA à retenir en pratique selon l’âge ?","Avant 1 an : 80/50 mmHg. 1 à 5 ans : 90/60 mmHg. 5 à 10 ans : 100/60 mmHg. 10 à 14 ans : 110/60 mmHg.","Recall"
"À partir de quel seuil de PAS parle-t-on d’HTA selon l’âge ?","Avant 1 an : PAS ≥ 104 mmHg. 1-5 ans : PAS ≥ 115 mmHg. 5-10 ans : PAS ≥ 125 mmHg. 10-14 ans : PAS ≥ 130 mmHg.","Recall"
"Quels sont les 4 organes cibles du retentissement de l’HTA ?","Vaisseaux cérébraux et périphériques, yeux (rétinopathie), reins (altération glomérulaire, microalbuminurie, néphroangiosclérose), cœur (hypertrophie ventriculaire gauche, dysfonctionnement diastolique).","Recall"
"Quelles sont les complications de l’HTA chez l’enfant ?","Encéphalopathie hypertensive (céphalées pulsatiles, obnubilation, convulsions, coma, signes déficitaires) ; AVC ischémique ou hémorragique ; paralysie faciale ; troubles visuels ; défaillance cardiaque ou rénale.","Recall"
