"question","answer","explanation","difficulty"
"Quels sont les trois diagnostics différentiels de la dermatite atopique chez l'enfant avant l'âge de 2 ans ?","Gale, dermatite séborrhéique, psoriasis.","Selon le document, 'Diagnostics différentiels : Avant 2 ans : Gale, Dermatite séborrhéique, Psoriasis'.","Easy"
"À quel âge débute typiquement la dermatite atopique et quel est le premier signe fonctionnel ?","Début vers 3 mois. Le premier signe fonctionnel est le prurit.","Le document indique 'Début généralement vers 3 mois' et 'Signe fonctionnel : prurit'.","Easy"
"Quelles sont les deux principales bactéries/virus responsables des surinfections de la dermatite atopique ?","Le staphylocoque doré pour la forme impétiginisée, et le virus herpès pour la surinfection herpétique (Kaposi-Juliesberg).","'DA impétiginisées : Surinfection par staphylocoque doré' et 'Surinfection herpétique'.","Easy"
"Expliquez pourquoi la topographie des lésions de dermatite atopique diffère entre l'enfant de moins de 2 ans et l'enfant de plus de 2 ans.","Chez l'enfant de moins de 2 ans, les lésions siègent sur les convexités des membres et du visage. Après 2 ans, les lésions se localisent sur les plis (zones bastion) comme les mains, poignets, chevilles. Le document ne donne pas d'explication mécanistique, mais la constatation clinique est claire.","Le document décrit distinctement les deux topographies.","Medium"
"Décrivez la séquence évolutive des lésions élémentaires de la dermatite atopique lors d'une poussée.","Le document indique : érythème et œdème, puis des poussées vésiculaires, puis suintement, desquamation ou croûtes.","'Erythème et œdème puis des poussés vésiculaires, suintement, desquamation ou croûte'.","Medium"
"Quel est le rôle des flaggrines dans la barrière cutanée normale et en quoi leur déficit contribue-t-il à la dermatite atopique ?","Les flaggrines sont nécessaires à la constitution de la couche cornée. Leur défaut de production entraîne une pénétration facile des antigènes à travers la peau, ce qui favorise la sensibilisation et le déclenchement des poussées.","'défaut de production des flaggrines, molécule nécessaire à la constitution de la couche cornée → pénétration facile des antigènes → sensibilisation et déclenchement des poussés'.","Medium"
"Citez quatre signes mineurs de la dermatite atopique chez l'enfant après 2 ans.","Pigmentation infra-orbitaire, plis sous palpébraux (signes de Dennie Morgan), pulpite sèches et fissuraire au niveau des pieds, eczématides sèches achromiantes au niveau du visage.","Liste tirée du document.","Medium"
"Quelles sont les trois complications ophtalmologiques possibles de la dermatite atopique ?","Kérato-conjonctivite, cataracte, détachement rétinien.","'Complications ophtalmologiques : Kérato-conjonctivite, Cataracte, Détachement rétinien'.","Medium"
"Expliquez la physiopathologie schématique de la peau normale versus peau atopique selon le document.","Dans la peau normale, l'eau s'évapore peu et les allergènes ne peuvent pas entrer. Dans la peau atopique, il y a probablement une altération de la barrière (non détaillée mais sous-entendue par le défaut de flaggrines) permettant la pénétration des allergènes.","'Peau normale : L’eau s’évapore peu. Les allergènes ne peuvent pas entrer. Peau atopique' (le document s'arrête, mais on comprend la différence).","Medium"
"Un patient adulte présente une érythrodermie prurigineuse. Selon le document, quels diagnostics différentiels de la dermatite atopique de forme érythrodermique devez-vous envisager ?","Lymphome cutané, toxidermie (réaction indésirable médicamenteuse), néoplasie profonde, psoriasis.","'Forme érythrodermie de l’adulte : Lymphome cutané, Toxidermie, Néoplasie profonde, Psoriasis'.","Difficult"
"Expliquez le rôle des lymphocytes T CD8+ dans l'initiation des lésions de dermatite atopique.","Le document indique que les LT CD8+ sont nécessaires à l'initiation des lésions, sans plus de détail. On peut déduire qu'ils participent à la réaction d'hypersensibilité retardée en reconnaissant des antigènes présentés et en libérant des cytokines pro-inflammatoires.","'LT CD8+ nécessaire à l’initiation des lésions'.","Difficult"
"Un enfant de 6 ans présente des poussées d'eczéma uniquement en hiver, avec lichénifications des plis des coudes, des pulpitès fissuraires aux pieds et une pigmentation infra-orbitaire. Pourquoi ce tableau est-il typique d'une dermatite atopique après 2 ans ?","Parce que les lésions siègent sur les plis (zones bastion), les poussées sont saisonnières (hiver, automne), et il présente des signes mineurs caractéristiques (pigmentation infra-orbitaire, pulpitès).","Le document précise que chez l'enfant après 2 ans, on observe des lésions d'eczéma au niveau des plis, des poussées saisonnières hiver/automne, et ces signes mineurs.","Difficult"
"Comparez les diagnostics différentiels de la dermatite atopique chez l'enfant avant 2 ans, après 2 ans, et chez l'adulte en forme érythrodermique.","Avant 2 ans : gale, dermatite séborrhéique, psoriasis. Après 2 ans : eczéma de contact, psoriasis. Adulte forme érythrodermique : lymphome cutané, toxidermie, néoplasie profonde, psoriasis. Le psoriasis est commun à tous.","Synthèse des sections différentielles.","Difficult"
"Quel est l'aspect des lésions de dermatite atopique impétiginisée ?","Lésions vésiculo-bulleuses.","'Surinfection par staphylocoque doré : lésions vésiculo-bulleuse'.","Easy"
"Quels sont les deux types de lésions (aiguës et chroniques) décrites dans la 2ème année de vie ?","Lésions aiguës : suintantes, croûteuses, impétiginisées. Lésions chroniques : aspect nummulaire.","'Lésions aigue : suintantes, croûteuses, impétiginisées. Lésions chronique : aspect nummulaire'.","Easy"
"Expliquez le lien entre l'atopie et la dermatite atopique selon le document.","L'atopie est une prédisposition héréditaire à des réactions d'hypersensibilité médiées par les IgE. La dermatite atopique est une manifestation inflammatoire cutanée associée à cette atopie, impliquant des réactions d'hypersensibilité retardée et des anomalies de barrière.","Définition de l'atopie et de la DA.","Medium"
"Décrivez les caractéristiques des lésions de dermatite atopique chez l'adolescent et l'adulte.","Forme grave possible : aspect érythrodermique. Prurigo lichénifié des membres. Atteinte lichénifiée des plis de flexion. Aspects nummulaires.","'DA chez l’adolescent et l’adulte : Forme grave possible : aspect érythrodermique. Prurigo lichénifié des membres. Atteinte lichénifié des plis de flexion. Aspects nummulaires'.","Medium"
