"question","answer","explanation","difficulty"
"L'omphalocèle est une malformation congénitale de la paroi abdominale à partir de l'anneau ombilical.","True","Le document : ''Malformation congénitale de la paroi abdominale à partir de l'anneau ombilical''.","Easy"
"Dans l'omphalocèle, les viscères sont recouverts par la peau.","False","Le document : ''recouverts de la membrane amniotique avasculaire''.","Easy"
"Le cordon ombilical s'insère sur la peau adjacente à l'omphalocèle.","False","Le document : ''Le cordon ombilical s'insère toujours sur la membrane''.","Easy"
"La membrane de l'omphalocèle est composée de trois couches : péritoine, amnios et gelée de Wharton.","True","Le document le confirme.","Easy"
"Le diagnostic anténatal de l'omphalocèle repose sur l'IRM.","False","Le document : ''L'échographie : absence de fermeture de l'orifice ombilical''.","Easy"
"Les malformations cardiaques et chromosomiques sont fréquemment associées à l'omphalocèle.","True","Le document : ''Recherche de malformations associées : En particulier cardiaques et chromosomiques (trisomie 18 ou 21)''.","Easy"
"La rupture de la membrane de l'omphalocèle est fréquente à l'accouchement.","False","Le document : ''La rupture de la membrane de l'omphalocèle est exceptionnelle''.","Easy"
"Le syndrome de Wiedemann-Beckwith associe omphalocèle, hypoglycémie, macroglossie et viscéromégalie.","True","Le document le confirme.","Easy"
"La pentalogie de Cantrell comprend une ectopie cardiaque avec cardiopathie.","True","Le document : ''Pentalogie de Cantrell: Omphalocèle- Hernie diaphragmatique antérieure- fente sternale- Ectopie Cardiaque avec Cardiopathie''.","Easy"
"Pour l'omphalocèle, la voie d'accouchement recommandée est la césarienne systématique.","False","Le document : ''Omphalocèle : voie naturelle''.","Easy"
"La mise en place d'une sonde orogastrique est recommandée dans la prise en charge néonatale de l'omphalocèle.","True","Le document : ''Mise en place d'une sonde orogastrique pour éviter la distension aérique des viscères herniés''.","Easy"
"L'hyperpression intra-abdominale après fermeture de l'omphalocèle peut entraîner des troubles ventilatoires.","True","Le document : ''Risques en cas de fermeture abdominale : Troubles ventilatoires''.","Easy"
"Si la pression ventilatoire est à 30 cm H2O lors du testing, on réalise une fermeture progressive.","False","Le document : ''Si 30 cm H2O : fermeture primitive''.","Easy"
"La technique de Grob utilise l'éosine aqueuse pour une épidermisation progressive.","True","Le document : ''Technique de Grob : Epidermisation progressive... Application continue d'éosine aqueuse''.","Easy"
"Le laparoschisis se prend en charge par la même voie d'accouchement que l'omphalocèle.","False","Le document : ''Omphalocèle : voie naturelle ; Laparoschisis : discuter d'une opération césarienne''.","Medium"
"Dans le laparoschisis, on place le nouveau-né en décubitus latéral gauche.","False","Le document : ''Placer le nouveau-né en décubitus latéral droit''.","Medium"
"La technique du silo de Schuster permet une fermeture progressive de la paroi abdominale.","True","Le document : ''Fermeture progressive du silo tous les 2 jours''.","Medium"
"La rectomyoplastie permet la reposition médiane des muscles grands droits de l'abdomen.","True","Le document le confirme.","Medium"
"L'évacuation du méconium par lavement avant réintégration des anses permet de diminuer le volume des anses.","True","Le document le confirme.","Medium"
"Dans le laparoschisis, on ne protège pas l'intestin extériorisé.","False","Le document : ''Protection de la partie inférieure du corps du nouveau-né dans un sac en plastique stérile''.","Medium"
"La technique de Grob est la technique de référence dans les pays développés.","False","Le document : ''Omphalocèle type II : Schuster+++ (pays développés)'' et ''Technique de Grob +++ (à mada)''.","Medium"
"La fermeture primitive de l'omphalocèle nécessite une incision circonscrivant la plaque avec sacrifice cutané minimal.","True","Le document : ''Incision circonscrivant la plaque de l'omphalocèle avec un sacrifice cutané minimal''.","Medium"
"La ligature des artères ombilicales et de la veine ombilicale fait partie de la fermeture primitive.","True","Le document le confirme.","Medium"
"Le recouvrement cutané selon Gross est une technique définitive sans reprise chirurgicale.","False","Le document : ''Reprise chirurgicale nécessaire : car c'est une éviscération couverte''.","Medium"
