"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition du purpura ?","Rougeur qui s'efface à la vitropression","Érythème ou violacée, punctiforme, ne s'effaçant pas à la vitropression","Macule érythémateuse fébrile","Vésicule hémorragique","2","Document: 'Purpura : (érythème ou violacée, punctiforme, ne s'effaçant pas à la vitropression)'","Easy"
"Quelle est la définition du purpura infectieux ?","Syndrome infectieux + au moins un élément purpurique","Purpura nécrotique isolé","Fièvre + purpura extensif","Choc septique + purpura","1","Document: 'Purpura infectieux = syndrome infectieux (fièvre ou hypothermie) + au moins un élément purpurique'","Easy"
"Qu'est-ce qui caractérise le purpura fulminans ?","Purpura non extensif","Au moins un élément nécrotique ≥ 3mm ou ecchymotique large, avec CIVD ou choc septique","Purpura fébrile sans signe de choc","Purpura d'origine médicamenteuse","2","Document: 'Purpura fulminans = ... Au moins un élément nécrotique supérieur ou égale à 3mm ou ecchymotique large ; CIVD ou choc septique'","Easy"
"Quelle est la mortalité du purpura fulminans ?","Moins de 5%","10-15%","20-25%","Plus de 30%","3","Document: 'Mortalité jusqu'à 20-25%'","Easy"
"Quel est le germe le plus fréquemment responsable du purpura fulminans ?","Streptococcus pneumoniae","Haemophilus influenzae","Staphylococcus aureus","Méningocoque (sérotype B, C, W135)","4","Document: 'Infections à méningocoques : sérotype B (55%), C (35%), W135 (6%)'","Easy"
"Quel est le signe clinique obligatoire pour le diagnostic de purpura fulminans ?","Hypotension artérielle","Purpura extensif et nécrotique (au moins un élément ≥ 3mm)","Fièvre > 40°C","Troubles de conscience","2","Document: 'Purpura extensif et nécrotique (au moins un élément sup ou égale à 3mm)'","Easy"
"Quel est le traitement antibiotique préhospitalier de première intention ?","Amoxicilline 50 mg/kg","Ceftriaxone 50 mg/kg IV ou IM","Gentamicine 5 mg/kg","Vancomycine 15 mg/kg","2","Document: 'En pré-hospitalière : Ceftriaxone 50mg/kg (ou Cefotaxime ou Amoxicilline, ampicilline : 100mg/kg) IV ou IM'","Easy"
"Quel est le remplissage vasculaire initial recommandé ?","SSI 0,9% ou RL 10 ml/kg en 10 minutes","SSI 0,9% ou RL 20 ml/kg en 20 minutes","Gélatines 15 ml/kg","Albumine 20 ml/kg","2","Document: 'Remplissage SSI 0,9% ou RL 20ml/kg à passer en 20 minutes'","Easy"
"Quelle est la contre-indication de la ponction lombaire dans le purpura fulminans ?","Âge < 1 an","État de choc ou CIVD","Thrombopénie modérée","Fièvre élevée","2","Document: 'ponction lombaire: contre-indiquée en cas d'état de choc, CIVD'","Easy"
"Quel est le délai pour débuter la chimioprophylaxie autour d'un cas ?","Dans les 6 heures","Entre H48 et J10","Dans les 24 heures","Avant J30","2","Document: 'chimioprophylaxie (H48-J10)'","Easy"
