"front","back","cognitive_level"
"Qu’est-ce qu’une kératite ulcéreuse ?","Perte tissulaire de l’épaisseur superficielle de la cornée, en réponse à une agression. Diagnostic confirmé par test à la fluorescéine positif. À différencier des kératites interstitielles (test fluorescéine négatif).","Recall"
"Quels sont les intérêts médico-cliniques des kératites ulcéreuses ?","Polymorphismes cliniques et étiologiques. Forme fréquente : kératite herpétique. Évolution possible vers surinfection bactérienne (abcès cornéen). Engage la transparence et l’intégrité de la cornée.","Recall"
"Pourquoi la cornée est-elle très sensible à la douleur ?","La cornée est richement innervée (7 fois plus innervée que la pulpe dentaire) par la première branche du nerf trijumeau V1 (nerf ophtalmique de Willis).","Recall"
"Quelles sont les 5 couches histologiques de la cornée ?","1) Épithélium cornéen, 2) Membrane de Bowman, 3) Stroma cornéen (2/3 de l’épaisseur), 4) Membrane de Descemet, 5) Endothélium cornéen.","Recall"
"Quelles couches cornéennes se renouvellent et comment ?","Épithélium : renouvellement régulier. Stroma : renouvellement lent. Endothélium : une seule couche, ne se renouvelle pas.","Recall"
"Quels sont les signes fonctionnels d’une kératite ulcéreuse ?","Douleur brutale et importante +++, photophobie (sensibilité à la lumière), larmoiement réflexe (irritation nerveuse), blépharospasme (clignement réflexe), baisse de la vision variable selon l’étendue et la profondeur.","Recall"
"Quels sont les signes cliniques à la lampe à fente d’une kératite ulcéreuse ?","Hyperhémie conjonctivale diffuse, cercle péri-kératique (dilatation des vaisseaux), inflammation du segment antérieur, ulcération cornéenne au test fluorescéine positif. On évalue forme, profondeur, bord, nombre, état du stroma, état conjonctive, film lacrymal (test de Schirmer et BUT), chambre antérieure, iris, réflexe photomoteur, sensibilité cornéenne, PIO (sauf infection).","Recall"
"Comment évolue une lésion superficielle bien traitée versus une lésion profonde ?","Lésion superficielle bien traitée : restitution complète. Lésion profonde (atteinte de Bowman et stroma) : cicatrice cornéenne, opacité (taie cornéenne).","Recall"
"Quelles sont les complications des kératites ulcéreuses ?","Surinfection bactérienne ou mycosique (infiltration de pus dans le stroma). Perforation avec diffusion du pus dans la chambre antérieure (hypopion), voire infection intra-oculaire.","Recall"
"Quels sont les diagnostics différentiels de la rougeur oculaire devant une kératite ulcéreuse ?","Conjonctivites (pas douleur, ni BAV, cornée claire, fluo négatif). Irido-cyclite aiguë / uvéite antérieure aiguë (fluo négatif, inflammation dans CA). Glaucome aigu (œdème cornée, PIO élevée, fluo négatif).","Recall"
"Quelles sont les causes infectieuses des kératites ulcéreuses ?","Virales (kératite herpétique, zostérienne), bactériennes, mycosiques, parasitaires (ambienne).","Recall"
"Quelles sont les caractéristiques cliniques de la kératite épithéliale herpétique ?","Lésion unilatérale, antécédent d’herpès cutané ou oculaire. Lésions au biomicroscope : ulcère dendritique ou en feuille de fougère, kératite ponctuée superficielle, ulcère en carte géographique, hypoesthésie cornéenne.","Recall"
"Qu’est-ce que le zona ophtalmique ?","Atteinte de la branche nasale du nerf V1 (nerf ophtalmique) : éruption cutanée vésiculeuse à la racine et l’aile du nez. Peut donner un ulcère pseudo-dendritique, en carte géographique ou neurotrophique.","Recall"
"Quelles sont les caractéristiques de la kératite ulcéreuse d’origine bactérienne ?","Grave. Survient surinfection d’ulcère traumatique ou complication de conjonctivite bactérienne. Infiltration de pus dans l’épaisseur stromale. Complications : hypopion, perforation cornéenne, panophtalmie.","Recall"
"Quelles sont les caractéristiques de la kératite mycosique ?","Ulcère torpide avec infiltrats satellites (grande lésion principale + petites ulcères autour). Secondaire à corticothérapie locale ou traumatisme végétal. Germes : Candida albicans, aspergillus, filaments mycéliens.","Recall"
"Quels sont les principaux types de kératites ulcéreuses non infectieuses ?","Traumatiques (corps étranger, brûlures chimiques, UV, lentilles), allergiques (kératoconjonctivite printanière : plaque d’ulcération supérieure), toxiques/iatrogènes (collyres avec conservateurs, anesthésiques), pathologies des annexes (entropion, ectropion, lagophtalmie), syndrome sec (kératites ponctuées superficielles, filaments).","Recall"
"Qu’est-ce que la lagophtalmie et pourquoi cause-t-elle une kératite ulcéreuse ?","Lagophtalmie = impossibilité de fermeture complète de la fente palpébrale (ex : lors d’anesthésie générale). La cornée n’est plus protégée et humidifiée → sécheresse → ulcération.","Recall"
"Quel est le traitement antiviral local d’une kératite herpétique épithéliale ?","Aciclovir pommade 3 % : une application 5 fois par jour pendant 7 jours, puis 3 fois par jour jusqu’au 3ème jour après la cicatrisation.","Recall"
"Quel est le traitement antiviral per os de la kératite herpétique ?","Aciclovir 200 mg 5 fois par jour pendant 7-10 jours, ou Valaciclovir 500 mg 2 fois par jour pendant 7 jours.","Recall"
"Quel traitement est indiqué dans la kératite zostérienne ?","Aciclovir pommade 3 % (même schéma) ou Valaciclovir 3 g par jour pendant 10 jours.","Recall"
"Quels sont les buts du traitement d’une kératite ulcéreuse ?","1) Favoriser la cicatrisation, 2) Éviter/éradiquer l’infection, 3) Traiter la douleur.","Recall"
"Comment surveille-t-on l’évolution d’une kératite ulcéreuse ?","Au biomicroscope (lampe à fente) : état de l’ulcère, test à la fluorescéine (cicatrisation = test négatif), état de la cornée et de la chambre antérieure (inflammation, pus infiltré).","Recall"
"Quel est le pronostic d’une kératite ulcéreuse selon les couches atteintes ?","Atteinte épithéliale seule : pas d’opacité cornéenne. Atteinte de Bowman ou stromale : cicatrisation avec opacité (taie cornéenne).","Recall"
"Pourquoi le test à la fluorescéine est-il positif dans les kératites ulcéreuses et négatif dans les kératites interstitielles ?","Le test à la fluorescéine colore les zones où l’épithélium est perdu (ulcération). Dans les kératites interstitielles, l’épithélium est intact, donc pas de prise du colorant.","Understanding"
"Expliquez pourquoi une kératite ulcéreuse peut entraîner un hypopion.","L’ulcère profond peut se perforer ou laisser passer des bactéries dans la chambre antérieure. Le pus formé dans le stroma ou l’infection intra-oculaire se dépose dans la chambre antérieure, donnant un niveau liquidien : l’hypopion.","Understanding"
"Pourquoi ne faut-il pas mesurer la PIO en cas de kératite infectieuse ?","Le document mentionne « mesure de la tension oculaire sauf en cas d’infection ». Appliquer un tonomètre sur une cornée ulcérée infectée risque d’aggraver l’infection, de perforer ou de disséminer les germes.","Application"
