"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Qu'est-ce qu'une omphalocèle ?","Malformation congénitale de la paroi abdominale à partir de l'anneau ombilical","Hernie inguinale congénitale","Malformation du cordon ombilical","Eventration diaphragmatique","1","Le document : ''Malformation congénitale de la paroi abdominale à partir de l'anneau ombilical''.","Easy"
"De quoi sont recouverts les viscères dans l'omphalocèle ?","De la gelée de Wharton seule","De la membrane amniotique avasculaire","Du péritoine seul","De la peau","2","Le document : ''Non réintégration des viscères recouverts de la membrane amniotique avasculaire''.","Easy"
"Où s'insère le cordon ombilical dans l'omphalocèle ?","Sur la peau adjacente","Sur la membrane de l'omphalocèle","Directement sur les viscères","Sur le péritoine","2","Le document : ''Le cordon ombilical s'insère toujours sur la membrane''.","Easy"
"Quelles sont les trois couches de la membrane de l'omphalocèle ?","Péritoine, amnios, gelée de Wharton","Peau, muscle, péritoine","Amnios, chorion, allantoïde","Gelée de Wharton, muscle, peau","1","Le document : ''Hernie recouverte d'une membrane à 3 couches : Péritoine à l'intérieur, L'amnios à l'extérieur, Gelée de Wharton entre les deux''.","Easy"
"Quel examen permet le diagnostic anténatal de l'omphalocèle ?","IRM","Échographie","Radiographie","Scanner","2","Le document : ''Diagnostic Anténatal : L'échographie : absence de fermeture de l'orifice ombilical''.","Easy"
"Quelles malformations associées doit-on rechercher en anténatal devant une omphalocèle ?","Malformations cardiaques et chromosomiques (trisomie 18 ou 21)","Malformations pulmonaires","Malformations des membres","Malformations crâniennes","1","Le document : ''Recherche de malformations associées : En particulier cardiaques et chromosomiques (trisomie 18 ou 21)''.","Easy"
"Quel est l'aspect postnatal typique de l'omphalocèle ?","Tuméfaction sessile de volume variable, viscères recouverts d'une membrane translucide","Plaie ouverte de l'abdomen","Hernie réductible","Masse cutanée solide","1","Le document : ''Postnatal : Diagnostic facile, Tuméfaction sessile de volume variable, Viscères recouverts d'une membrane translucide''.","Easy"
"Pourquoi faut-il éviter de rompre la membrane de l'omphalocèle à l'accouchement ?","Car elle protège les anses et servira lors du traitement chirurgical","Car elle contient des vaisseaux importants","Car elle permet l'alimentation","Car elle évite la douleur","1","Le document : ''essayer de ne pas rompre la membrane à l'accouchement car elle protège les anses et va servir lors du traitement chirurgical (OC+++)''.","Easy"
"Quelle est la classification de l'omphalocèle selon la taille ?","Type 1 : diamètre <4cm, sac <8cm ; Type 2 : dimensions supérieures","Type 1 : <2cm ; Type 2 : >2cm","Type 1 : <5cm ; Type 2 : >5cm","Type 1 : <3cm ; Type 2 : >10cm","1","Le document : ''TYPE 1 : diamètre inférieur à 4cm, le plus grand diamètre du sac inférieur à 8cm ; Type 2 : dimensions supérieures''.","Easy"
"Quel syndrome associe omphalocèle, hypoglycémie, macroglossie et viscéromégalie ?","Syndrome de VACTERL","Syndrome de Wiedemann-Beckwith","Syndrome de Cantrell","Trisomie 21","2","Le document : ''Syndrome de Wiedemann-Beckwith associant : Omphalocèle, Hypoglycémie, Macroglossie, Viscéromégalie''.","Easy"
"Quelle anomalie chromosomique est associée au syndrome de Wiedemann-Beckwith ?","Trisomie 21","Translocation chromosomique 11p15","Trisomie 18","Délétion 22q11","2","Le document : ''Associée inconstamment à une translocation chromosomique 11p15''.","Easy"
"Qu'est-ce que la pentalogie de Cantrell ?","Omphalocèle, hernie diaphragmatique antérieure, fente sternale, ectopie cardiaque avec cardiopathie","Omphalocèle, macroglossie, hypoglycémie, viscéromégalie","Omphalocèle, trisomie 21, cardiopathie","Omphalocèle, laparoschisis, atrésie intestinale","1","Le document : ''Pentalogie de Cantrell: Omphalocèle- Hernie diaphragmatique antérieure- fente sternale- Ectopie Cardiaque avec Cardiopathie''.","Easy"
