"question","answer","explanation","difficulty"
"Le glaucome congénital est dû à une persistance de la membrane de Barkan.","True","Le document l’indique explicitement.","Easy"
"Le glaucome congénital est toujours unilatéral.","False","Le document précise : « le plus souvent bilatéral, parfois unilatéral strict ».","Easy"
"Le syndrome de Sturge Weber Krabbe peut être associé à un glaucome congénital.","True","Le document cite cette association.","Easy"
"Le glaucome congénital non diagnostiqué entraîne une cécité obligatoire.","True","Le document le précise.","Easy"
"La mégalocornée correspond à une diminution du diamètre cornéen.","False","La mégalocornée est une augmentation du diamètre cornéen (« beaux yeux »).","Easy"
"Les stries de Vogt sont pathognomoniques du glaucome congénital.","True","Le document l’indique clairement.","Easy"
"Chez l’enfant de moins de 12 mois, le diamètre cornéen normal peut atteindre 14 mm.","False","Le document indique qu’il ne doit pas dépasser 12 mm.","Easy"
"La PIO normale chez le nourrisson de moins de 12 mois est inférieure à 21 mmHg.","False","Le document précise : « PIO ne doit pas dépasser 12 mmHg » chez le moins de 12 mois. 21 mmHg est le seuil adulte.","Easy"
"Le glaucome congénital se traite par collyres en première intention.","False","Le document indique : « Uniquement chirurgical et relativement urgente ».","Easy"
"La goniotomie consiste à inciser la membrane de Barkan.","True","Le document le précise.","Easy"
"La trabéculotomie est une intervention filtrante comme chez l’adulte.","False","La trabéculectomie est l’intervention filtrante. La trabéculotomie perce le trabéculum.","Easy"
"La surveillance postopératoire du glaucome congénital se fait tous les 6 mois sous AG pendant 1 à 2 ans.","True","Le document l’indique.","Easy"
"Le champ visuel peut être réalisé dès l’âge de 3 ans dans le glaucome congénital.","False","Le document précise : « Un champ visuel à l’adolescence ».","Easy"
"Le glaucome congénital est parfois héréditaire sur mode autosomique dominant à pénétrance variable.","True","Le document le mentionne.","Easy"
"Le diagnostic différentiel du larmoiement clair dans le glaucome congénital est une imperméabilité du canal lacrymo-nasal.","True","Le document le précise.","Easy"
"La buphtalmie correspond à une atrophie du globe oculaire.","False","La buphtalmie est « œil de bœuf » : augmentation du diamètre cornéen, cornée blanche laiteuse.","Medium"
"La gonioscopie est toujours possible d’emblée chez le nourrisson glaucomateux.","False","Le document précise : « si la transparence de la cornée le permet ». L’œdème cornéen peut l’empêcher.","Medium"
"Même opéré tôt, certains enfants restent déficients visuels à cause d’une atrophie optique in-utéro.","True","Le document l’affirme.","Medium"
"La reprise de l’hypertonie après chirurgie du glaucome congénital est impossible.","False","Le document indique : « La reprise de l’hypertonie est toujours possible (d’où la surveillance à vie) ».","Difficult"
