"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Selon l'OMS, comment définit-on une diarrhée aiguë ?","Augmentation brutale de la fréquence et du volume des selles depuis moins de 3 jours","Selles molles depuis plus de 7 jours","Présence de sang dans les selles","Vomissements associés à la fièvre","1","Le document cite la définition OMS : 'Augmentation brutale de la fréquence et du volume des selles depuis moins de 3 jours'.","Easy"
"Quelle est la fréquence des selles considérée comme anormale selon la définition OMS ?","> 1 fois par jour","> 2 fois par jour","> 3 fois par jour","> 4 fois par jour","3","Le document : 'Fréquence : > 3 fois par jour'.","Easy"
"Quelle est la consistance anormale des selles dans la diarrhée ?","Molles, liquides, afécales","Dures","Moulées","Sèches","1","Le document : 'Consistance : molle, liquide, afécale'.","Easy"
"Quel est le principal risque de la diarrhée aiguë chez l'enfant ?","Convulsions","Déshydratation et dénutrition","Anémie","Insuffisance rénale","2","Le document : 'Principaux risques : Déshydratation, Dénutrition'.","Easy"
"La couleur verte des selles chez l'enfant diarrhéique a quelle signification ?","Infection bactérienne","Sans signification péjorative (transit accéléré)","Allergie alimentaire","Malabsorption","2","Le document : 'Couleur verte des selles : sans signification péjorative (transit accéléré)'.","Easy"
"Que signifie un syndrome dysentérique ?","Diarrhée aqueuse profuse","Selles glairo-sanglantes, fièvre, épreintes, ténesmes","Diarrhée post-antibiotique","Selles noires","2","Le document : 'Syndrome dysentérique : selles glairo-sanglantes, fièvre, épreintes (douleur à l’exonération) et ténesmes (fausses envies)'.","Easy"
"Qu'est-ce que le syndrome cholériforme ?","Selles glairo-sanglantes","Diarrhée aqueuse profuse","Selles noires","Constipation","2","Le document : 'Syndrome cholériforme : diarrhée aqueuse profuse'.","Easy"
"Quel est le premier signe de choc lors d'une déshydratation sévère ?","Hypotension","Tachycardie","Bradycardie","Polypnée","2","Le document : 'tachycardie (premier signe de choc)'.","Easy"
"Quel est le seuil de perte de poids définissant une déshydratation sévère ?","> 5%","> 8%","> 10%","> 15%","3","Le document : 'Perte plus de 10% + autres signes plus marqués +/- risque de choc : Déshydratation sévère'.","Easy"
"Quel est le traitement de référence de la déshydratation modérée selon l'OMS ?","Perfusion intraveineuse","Soluté de réhydratation orale (SRO)","Antibiotiques","Zinc seul","2","Le document : 'Plan B : Déshydratation modérée... SRO à la cuillère ou dans un gobelet ou SRO par SNG'.","Easy"
"Quelle est la posologie du zinc chez l'enfant de 6 mois à 5 ans ?","1/2 comprimé par jour pendant 10 jours","1 comprimé par jour pendant 10 jours","2 comprimés par jour pendant 5 jours","1 comprimé par jour pendant 20 jours","2","Le document : '6 mois à 5 ans : 1 cp/j pendant 10j'.","Easy"
"Quel est l'effet du zinc sur la diarrhée ?","Diminue la durée et la gravité","Arrête immédiatement la diarrhée","N'a aucun effet","Augmente la sécrétion","1","Le document : 'Réduit la durée et la gravité de la diarrhée'.","Easy"
"Quel est le principal agent viral responsable de diarrhée aiguë chez l'enfant ?","Adénovirus","Rotavirus","Entérovirus","Norovirus","2","Le document : 'Virales : Rotavirus souvent'.","Easy"
"Quel type de selles est caractéristique d'une diarrhée bactérienne invasive ?","Selles aqueuses","Selles glairo-sanglantes","Selles noires","Selles mousseuses","2","Le document : 'Selles glairo-sanglantes : E. Coli entéropathogène... salmonelle... shigelle...'","Easy"
"Quel parasite est fréquent chez l'enfant VIH+ ?","Giardia","Cryptosporidies","Entamoeba histolytica","Ascaris","2","Le document : 'Cryptosporidies (enfant VIH +)'.","Medium"
"Quelle est la durée recommandée du traitement par zinc ?","5 jours","7 jours","10 jours","14 jours","3","Le document : 'Zinc pendant 10 jours'.","Medium"
"Quel est le volume de SRO à donner dans le Plan B pour un enfant (12 mois à 5 ans) ?","50 ml/kg en 4h","75 ml/kg en 4h","100 ml/kg en 6h","150 ml/kg en 8h","2","Le document : 'Plan B : 75 ml/kg en 4h'.","Medium"
"Quelle est la conduite à tenir si l'enfant vomit dans les 30 minutes suivant la prise de zinc ?","Arrêter le zinc","Reprendre une dose","Donner une demi-dose","Attendre la prochaine dose","2","Le document : 'Si vomissement dans les 30mn suivant la prise, reprendre une dose'.","Medium"
"Quel est l'effet anti-sécréteur du zinc ?","Bloque la sécrétion de chlore et augmente l'absorption de sodium","Stimule la sécrétion de chlore","Inhibe l'absorption de sodium","Augmente la perméabilité intestinale","1","Le document : 'Effet “anti-sécréteur” : bloque la sécrétion de chlore -> augmentation de l’absorption du Sodium'.","Medium"
"Quel médicament est formellement déconseillé car inhibiteur de la motricité intestinale avec effets indésirables sur le SNC ?","Smecta","Lopéramide (Imodium)","Racécadotril (Tiorfan)","Probiotiques","2","Le document : 'Lopéramide (IMODIUM) : inhibiteur de la motricité intestinale. Effets indésirables sur le SNC'.","Medium"
"Quel est le rôle du racécadotril (Tiorfan) ?","Anti-sécréteur inhibant l'hypersécrétion induite par l'agent infectieux","Antibiotique","Antiviral","Adsorbant intestinal","1","Le document : 'Racécadotril (TIORFAN) : Inhibe l’hypersécrétion induite par l’agent infectieux'.","Medium"
"Quelle est la principale cause de diarrhée aiguë chez l'enfant de moins de 18 mois en saison froide ?","Bactérie","Virus (Rotavirus)","Parasite","Erreur diététique","2","Le document : 'Saisons froides, épidémie, âge<18 mois, selles aqueuses' pour les causes virales.","Medium"
"Quel germe bactérien est responsable de selles glairo-sanglantes avec un tropisme neurologique ?","Salmonelle","Shigelle","Campylobacter","Yersinia","2","Le document : 'shigelle à tropisme neurologique'.","Medium"
"Quel est le traitement de la diarrhée aiguë selon l'OMS/UNICEF ?","SRO + Zinc","Antibiotiques systématiques","Antiparasitaires","Smecta","1","Le document : 'Traitement approprié : OMS et UNICEF : Réhydratation orale (SRO) + Zinc'.","Medium"
"Quel est le volume total de SRO à administrer dans le Plan C pour un nourrisson de moins de 12 mois ?","50 ml/kg en 6h","75 ml/kg en 6h","100 ml/kg en 6h","120 ml/kg en 6h","3","Le document : 'Au total : 100ml kg en 6h' pour nourrisson.","Medium"
