"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la cause du glaucome congénital selon le document ?","Malformation de l’angle","Persistance d’une membrane embryonnaire (membrane de Barkan)","Excavation papillaire congénitale","Hypertonie oculaire primitive","2","Le document indique : « dû à la persistance d’une membrane embryonnaire (membrane de Barkan) responsable d’une obstruction de l’angle ».","Easy"
"Le glaucome congénital est le plus souvent :","Unilatéral","Bilatéral","Alternant","Unilatéral alternant","2","Le document précise : « le plus souvent bilatéral, parfois asymétrique, parfois unilatéral strict ».","Easy"
"Quel syndrome associe un angiome de l’hémi-face et un glaucome congénital selon le document ?","Syndrome de Von Recklinghausen","Syndrome de Sturge Weber Krabbe","Syndrome de Down","Syndrome de Marfan","2","Le document cite : « syndrome de Stürge Weber Krabbe » (variante orthographique de Sturge-Weber).","Easy"
"Quel est le pronostic du glaucome congénital non diagnostiqué ?","Cécité partielle","Cécité obligatoire","Strabisme","Nystagmus","2","Le document indique : « Non diagnostiqué, c’est la cécité obligatoire ».","Easy"
"Quels sont les trois signes cliniques évocateurs du glaucome congénital ?","Douleur, rougeur, baisse d’acuité visuelle","Larmoiement clair, photophobie, mégalocornée","Œdème palpébral, fièvre, larmoiement purulent","Nystagmus, strabisme, ptosis","2","Le document liste : « Un larmoiement clair, Une photophobie, Une mégalocornée ».","Easy"
"Quel aspect cornéen est décrit comme pathognomonique du glaucome congénital ?","Kératite ponctuée","Œdème cornéen diffus","Stries de Vogt","Anneau de Kayser-Fleischer","3","Le document précise : « rupture horizontale de la membrane de Descemet -> “stries de VOGT” : pathognomonique du glaucome congénital ».","Easy"
"Quel est le diamètre cornéen normal chez l’enfant de moins de 12 mois selon le document ?","Ne doit pas dépasser 10 mm","Ne doit pas dépasser 11 mm","Ne doit pas dépasser 12 mm","Ne doit pas dépasser 13 mm","3","Le document indique : « <12 mois : Diamètre cornéen ne doit pas dépasser 12 mm ».","Easy"
"Quelle est la PIO normale chez l’enfant de moins de 12 mois ?","Ne doit pas dépasser 10 mmHg","Ne doit pas dépasser 12 mmHg","Ne doit pas dépasser 15 mmHg","Ne doit pas dépasser 21 mmHg","2","Le document précise : « PIO ne doit pas dépasser 12 mmHg » pour les moins de 12 mois.","Easy"
"Quel est le traitement du glaucome congénital selon le document ?","Médical uniquement","Uniquement chirurgical et relativement urgent","Laser uniquement","Surveillance simple","2","Le document indique : « Uniquement chirurgical et relativement urgente ».","Easy"
"Quelle intervention chirurgicale consiste à inciser la membrane de Barkan ?","Trabéculectomie","Trabéculotomie","Goniotomie","Sclérectomie","3","Le document précise : « Goniotomie : on ouvre l’angle en incisant la membrane de Barkan ».","Easy"
"Quelle est la fréquence de surveillance sous anesthésie générale dans les 1 à 2 ans postopératoires ?","Tous les mois","Tous les 3 mois","Tous les 6 mois","Tous les ans","3","Le document indique : « Examens sous AG tous les 6 mois pendant 1 ou 2 ans ».","Easy"
"À quel âge peut-on réaliser un champ visuel chez un enfant glaucomateux congénital ?","À 3 ans","À 5 ans","À l’adolescence","Jamais","3","Le document précise : « Un champ visuel à l’adolescence ».","Easy"
"Quel est le mode de transmission héréditaire du glaucome congénital selon le document ?","Autosomique récessif","Autosomique dominant à pénétrance variable","Lié à l’X","Mitochondrial","2","Le document indique : « Dominance autosomique à pénétrance variable ».","Easy"
"Quel est le diagnostic différentiel du larmoiement clair chez le nourrisson ?","Kératite","Uvéite","Imperforation du canal lacrymo-nasal","Conjonctivite néonatale","3","Le document précise : « A différencier d’un larmoiement du nourrisson par imperméabilité temporaire du canal lacrymo-nasal ».","Easy"
"Comment évolue le glaucome congénital non traité jusqu’à la buphtalmie ?","L’œil devient atrophique","Le diamètre cornéen devient énorme et la cornée perd sa transparence, devenant blanche laiteuse","L’œil devient microphthalme","La PIO se normalise spontanément","2","Le document décrit : « buphtalmie “œil de bœuf” : diamètre cornéen énorme, cornée perd sa transparence, devient blanche laiteuse ».","Easy"
"Quel examen permet de visualiser directement la membrane de Barkan ?","Fond d’œil","OCT","Gonioscopie si transparence cornéenne le permet","Échographie oculaire","3","Le document indique : « La gonioscopie si la transparence de la cornée le permet : Anomalie de l’AIC, Membrane de Barkan ».","Medium"
"Pourquoi le pronostic reste sévère même après traitement chirurgical précoce ?","Parce que la récidive est constante","Parce que certains enfants auront une déficience visuelle par atrophie optique déjà constituée in-utéro","Parce que le traitement médical est inefficace","Parce que la chirurgie est dangereuse","2","Le document précise : « même diagnostiqué et opéré tôt, certains enfants seront déficients visuels sauf si l’atteinte est unilatérale (atrophie optique déjà constituée in-utéro) ».","Medium"
"Quelle est la différence entre une trabéculotomie et une trabéculectomie selon le document ?","La trabéculectomie est réservée à l’adulte uniquement","La trabéculotomie perce le trabéculum et le fait communiquer avec l’angle, la trabéculectomie est une intervention filtrante","La trabéculotomie est au laser, la trabéculectomie est chirurgicale","Il n’y a pas de différence","2","Le document définit : Trabéculotomie : on perce le trabéculum qu’on fait communiquer avec l’angle. Trabéculectomie : comme chez l’adulte (intervention filtrante).","Medium"
"Un enfant de 8 mois présente une mégalocornée bilatérale, une photophobie et des stries de Vogt. La PIO est à 28 mmHg. Quel est le diagnostic et quel est le traitement de première intention ?","Glaucome chronique à angle ouvert – collyres","Glaucome congénital – chirurgie (goniotomie ou trabéculotomie)","GAFA – iridotomie laser","Kératite – antibiotiques","2","L’association mégalocornée + photophobie + stries de Vogt + PIO élevée est typique du glaucome congénital. Le traitement est chirurgical.","Difficult"
