"term","definition","contextual_explanation"
"MICI","Maladies inflammatoires chroniques de l’intestin. La maladie de Crohn fait partie de ce groupe.","Définition initiale de la maladie de Crohn."
"Iléite terminale","Autre appellation de la maladie de Crohn, car l’iléon terminal est une zone de prédilection de l’atteinte.","Précision sur la localisation fréquente."
"Colite primitive","Atteinte inflammatoire chronique, auto-inflammation sans étiologie véritable identifiable, auto-entretenue.","Définition de la maladie de Crohn."
"CARD 15 (NOD 2)","Gène de susceptibilité pour la maladie de Crohn, situé sur le chromosome 16, muté chez 20% des patients atteints. Exprimé dans les monocytes/macrophages et les cellules intestinales.","Facteur génétique clé."
"Syndrome de Koenig","Association douleur abdominale + ballonnement + flatulence, puis disparition avec apparition de bruits de gargouillis prédominant en FID. Lié à une sténose de l’iléon.","Signe digestif évocateur de la maladie de Crohn."
"LAP (lésions ano-périnéales)","Lésions fréquentes dans la maladie de Crohn : ulcérations, fissures, œdème induré, abcès périnéal, fistules, marisque. Révèlent la maladie dans 1/3 des cas.","Manifestation clinique importante."
"Érythème noueux","Lésion dermatologique intéressant surtout les membres inférieurs, apparaissant par poussée avec fièvre et AEG, nodosités palpables disparaissant sans cicatrice.","Manifestation extra-digestive cutanée."
"Aphtes buccaux","Perte de substance minime au niveau de la muqueuse jugale, sans cicatrice.","Manifestation extra-digestive buccale."
"Uvéite","Inflammation de l’uvée (couche moyenne de l’œil), pouvant entraîner la cécité sans prise en charge rapide.","Manifestation extra-digestive oculaire."
"Oligo-arthrite périphérique","Atteinte inflammatoire de quelques articulations (moins de 5), périphérique.","Manifestation extra-digestive articulaire."
"Sacro-iliite","Inflammation des articulations sacro-iliaques.","Manifestation extra-digestive articulaire."
"Spondylarthrite ankylosante","Rhumatisme inflammatoire chronique de la colonne vertébrale et des sacro-iliaques.","Manifestation extra-digestive articulaire."
"Coloscopie totale","Examen endoscopique du côlon jusqu’à l’iléon terminal. Gold standard pour le diagnostic de la maladie de Crohn.","Examen clé."
"Intervalle de muqueuse saine","Aspect endoscopique caractéristique de la maladie de Crohn : lésions ulcérées discontinues séparées par des zones de muqueuse normale.","Signe endoscopique majeur."
"Granulome épithélioïde","Amas de cellules épithélioïdes avec ou sans cellules géantes, sans nécrose caséeuse ni corps étranger. Lésion histologique évocatrice de la maladie de Crohn.","Diagnostic histologique."
"CDEIS","Crohn’s Disease Endoscopic Index of Severity. Score endoscopique évaluant la sévérité des lésions.","Score endoscopique."
"Score de Rutgeerts","Score endoscopique évaluant la récidive post-opératoire de la maladie de Crohn.","Score endoscopique."
"Transit du grêle","Examen radiologique du grêle, montrant dans la maladie de Crohn des rétrécissements asymétriques et irréguliers, dilatation en amont, ulcérations, fistules.","Bilan topographique."
"Sténose","Rétrécissement de la lumière intestinale dû à la fibrose cicatricielle, complication fréquente (surtout jonction iléo-cæcale) pouvant entraîner une occlusion.","Complication."
"Fistule","Connexion anormale entre deux organes ou entre un organe et la peau. Dans la maladie de Crohn : entéro-entérale, entéro-vésicale, recto-vésicale, ano-périnéale++.","Complication."
"Pullulation microbienne","Prolifération anormale de bactéries dans l’intestin grêle, complication de sténose, pouvant entraîner septicémie et décès.","Complication."
"Marisque","Cicatrice de prolapsus hémorroïdaire, peut être observée dans les lésions ano-périnéales de la maladie de Crohn.","Signe physique anal."
"Index de Harvey Bradshaw (HBI)","Score clinique d’activité de la maladie de Crohn basé sur 5 critères (bien-être, manifestations extra-digestives, nombre de selles, douleur, masse). Interprétation : <4 = inactive, 4-8 = minime, 8-12 = modérée, >12 = sévère.","Évaluation de la gravité."
"CDAI (Crohn’s Disease Activity Index)","Score de Best : évaluation sur 8 critères sur 7 jours (bien-être, manifestations extra-digestives, selles, anti-diarrhéique, hématocrite, douleur, masse, poids). <150 = rémission, 150-250 = active, >250 = sévère.","Évaluation de la gravité."
