question, answer, explanation, difficulty
"Expliquez le mécanisme de la galactorrhée dans l'hypothyroïdie.", "L'hypothyroïdie entraîne une augmentation de la TRH hypothalamique, qui stimule à la fois la TSH et la prolactine, d'où hyperprolactinémie", "Le document : 'Dysthyroïdie : Augmentation de la TRH qui stimule la prolactine'", "Medium"
"Pourquoi la réponse normale aux tests dynamiques évite-t-elle une IRM ?", "Une réponse normale indique que l'axe hypothalamo-hypophysaire est intact et réactif, rendant peu probable une lésion tumorale", "Le document : 'Réponse normale [...] rend peu vraisemblable l'existence d'une lésion hypothalamohypophysaire et permet d'éviter la réalisation d'une IRM'", "Difficult"
"Quelle est la différence entre microprolactinome et macroprolactinome sur le plan thérapeutique ?", "Macroprolactinome nécessite des doses plus élevées d'agoniste dopaminergique, surveillance rapprochée, et parfois chirurgie ou radiothérapie", "Le document : traitement par agoniste à dose suffisamment élevée pour macroadénome", "Difficult"
"Expliquez le mécanisme de la 'macroprolactinémie' et son importance clinique.", "La macroprolactine est un complexe prolactine-IgG sans activité biologique, donc galactorrhée sans troubles du cycle ni infertilité", "Le document : 'Galactorrhée isolée sans trouble de cycle, Absence de normalisation de la prolactine par agonistes dopaminergiques'", "Difficult"
"Pourquoi la galactorrhée post-allaitement n'est-elle pas considérée comme pathologique avant 6-12 mois ?", "Car la lactation physiologique peut persister plusieurs mois après l'arrêt de l'allaitement sans anomalie sous-jacente", "Document : 'en dehors de 6 à 12 mois à distance de l'allaitement'", "Medium"
"Quel bilan étiologique devant une galactorrhée avec hyperprolactinémie modérée ?", "Dosage prolactine, TSH, bilan rénal et hépatique, recherche médicamenteuse, IRM hypophysaire si prolactine élevée", "Document : bilan complet puis IRM", "Medium"
"Quels sont les signes tumoraux à rechercher devant un macroadénome à prolactine ?", "Céphalées, troubles du champ visuel, insuffisance antéhypophysaire", "Document : 'recherche de signes tumoraux' – non détaillés", "Difficult"
"Pourquoi la galactorrhée du nouveau-né ne nécessite-t-elle pas de traitement ?", "Car elle est liée aux œstrogènes maternels résiduels et disparaît spontanément", "Document : 'Pas de traitement'", "Easy"
"Quelle est la place des agonistes dopaminergiques dans la stratégie thérapeutique des macroprolactinomes ?", "Traitement de première intention, avec doses croissantes, permettant normalisation prolactine et réduction tumorale", "Document : 'Traitement médicamenteux par l'agoniste dopaminergique à des doses suffisamment élevée, dose croissante'", "Medium"
"Quels sont les deux signes cliniques associés à la galactorrhée d'origine tumorale hypophysaire ?", "Troubles du cycle, baisse de libido, infertilité, et signes compressifs (céphalées, troubles visuels)", "Document : 'Signes d'hyperprolactinémie : trouble du cycle, baisse de libido, infertilité ; signes en rapport avec une lésion compressive hypothalamo-hypophysaire'", "Medium"
"Pourquoi la clairance de la dopamine est-elle diminuée dans la cirrhose ?", "Par atteinte hépatique, la dopamine n'est plus métabolisée normalement", "Document : 'Diminution de la clearance de la dopamine'", "Difficult"
"Expliquez pourquoi la galactorrhée peut être unilatérale ou bilatérale.", "L'hyperprolactinémie agit des deux côtés, mais la sensibilité mammaire ou un conduit lactifère plus perméable peut donner une unilatéralité", "Document : 'unilatérale ou bilatérale'", "Medium"
"Quelle est la conduite à tenir devant une galactorrhée sans hyperprolactinémie ?", "Rechercher acromégalie, répéter le dosage (intermittence), ou étiqueter idiopathique", "Document : 'Acromégalie, Hyperprolactinémie intermittente ou non dosable, Idiopathique'", "Difficult"
"Quels sont les effets secondaires possibles des agonistes dopaminergiques ?", "Nausées, vomissements, hypotension orthostatique, troubles psychiatriques", "Document non dit, mais connu", "Difficult"
"Pourquoi la galactorrhée est-elle le troisième motif de consultation sénologique ?", "Car fréquente (3-10% des pathologies mammaires) mais moins que mastodynie et masse", "Document : 'Troisième motif de consultation sénologique après mastodynie et masse mammaire'", "Easy"
"Quelle est la particularité de l'écoulement dans la galactorrhée ?", "Lactescent, multipore, souvent bilatéral, spontané ou provoqué", "Document : 'Couleur, aspect, provenance : unipore ou multipore'", "Medium"
"Expliquez l'intérêt du dosage de la β-hCG dans le bilan biologique d'une hyperprolactinémie.", "Pour éliminer une grossesse, cause fréquente d'hyperprolactinémie physiologique avant tout bilan", "Document : 'bêta-hCG plasmatique'", "Medium"
"Quelles sont les causes infectieuses de lésions hypothalamiques pouvant donner une galactorrhée ?", "Tuberculose, sarcoïdose, histiocytose X", "Document : 'Hystiocytose X, Tuberculose, Sarcoïdose'", "Medium"
"Pourquoi une tumeur de la tige pituitaire donne-t-elle une hyperprolactinémie ?", "Par déconnexion : compression de la tige empêche la dopamine d'atteindre l'hypophyse", "Document : 'Lésion de la tige pituitaire : hyperprolactinémie de déconnexion'", "Difficult"
"Quelle est la prise en charge d'une galactorrhée idiopathique ?", "Surveillance clinique et biologique, traitement symptomatique si nécessaire", "Document : 'Idiopathique' sans autre précision", "Medium"
"Quel est le risque de ne pas traiter un macroprolactinome ?", "Croissance tumorale, compression chiasmatique, insuffisance antéhypophysaire", "Document : 'signes tumoraux'", "Difficult"
"Pourquoi le traitement d'une galactorrhée médicamenteuse commence-t-il par l'arrêt du médicament ?", "Pour supprimer la cause, éviter un traitement inutile par agoniste dopaminergique", "Document : 'Arrêt du traitement si possible, ou changement de médicament'", "Medium"
"Quelle est la différence entre l'écoulement unipore et multipore ?", "Unipore = souvent pathologie du canal (ectasie, papillome) ; multipore = galactorrhée hyperprolactinémique", "Document : distinction, mais non détaillée", "Medium"
"Expliquez pourquoi une crise convulsive peut être une cause de galactorrhée physiologique.", "Par hyperprolactinémie de stress aigu et de décharge dopaminergique paradoxale", "Document : 'crise convulsive' dans causes physiologiques", "Difficult"
