"term","definition","contextual_explanation"
"détresse respiratoire (DR)","Difficultés respiratoires.","Situation fréquente et angoissante, urgence diagnostique et thérapeutique chez le nourrisson et l’enfant."
"polypnée","Augmentation de la fréquence respiratoire.","Signe le plus fréquent de détresse respiratoire. Si >60/min, signe de mauvaise tolérance."
"bradypnée","Diminution anormale de la fréquence respiratoire.","Exceptionnelle, survient en cas d’épuisement respiratoire (signe de gravité)."
"signes de lutte","Mise en jeu des muscles respiratoires accessoires.","Incluent : battement des ailes du nez, tirage sus-sternal, sous-sternal, inter-costal, sous-costal."
"tirage","Dépression des espaces intercostaux ou des creux sus-claviculaires à l’inspiration.","Signe de lutte respiratoire."
"battement des ailes du nez","Dilatation des narines à l’inspiration.","Signe de lutte chez le nourrisson."
"signes d’épuisement respiratoire","Bradypnée, irrégularité du rythme respiratoire, apnée.","Signes de mauvaise tolérance, nécessitent une assistance rapide."
"signes d’hypoxie","Cyanose, agitation, trouble de la conscience.","Traduisent un manque d’oxygène dans les tissus."
"signes d’hypercapnie","Sueurs, tachycardie, hypertension artérielle.","Secondaires à l’élévation du CO2 sanguin."
"SAOS","Syndrome d’apnée obstructive du sommeil.","Se manifeste par apnée, accès de tirage pendant le sommeil, difficulté d’endormissement, retentissement sur la croissance."
"dyspnée inspiratoire","Difficulté à l’inspiration.","Évoque une obstruction haute (laryngée, pharyngée, nasale)."
"dyspnée expiratoire","Difficulté à l’expiration.","Évoque une obstruction basse (bronchiolite, asthme, corps étranger)."
"dyspnée sine materia","Dyspnée sans signes de lutte.","Due à un désordre extra-pulmonaire : insuffisance circulatoire, acidose métabolique, hyperthermie."
"dyspnée de Kussmaul","Respiration ample et profonde.","Caractéristique de l’acido-cétose métabolique."
"laryngite sous-glottique","Inflammation du larynx sous les cordes vocales (croup).","Cause obstructive haute avec dyspnée inspiratoire."
"épiglottite","Inflammation de l’épiglotte.","Urgence ORL, dyspnée inspiratoire sévère."
"abcès rétro-pharyngien","Collection purulente dans l’espace rétro-pharyngien.","Cause pharyngée de détresse respiratoire."
"atrésie partielle des choanes","Obstruction congénitale incomplète des choanes.","Cause nasale de détresse chez le jeune nourrisson."
"hypertrophies adénoïdiennes","Augmentation de volume des végétations adénoïdes.","Peut obstruer les voies aériennes hautes."
"volet costal","Segment de la paroi thoracique mobile suite à des fractures multiples.","Atteinte mécanique ostéo-musculaire pouvant entraîner une détresse respiratoire."
"épanchement liquidien","Présence de liquide dans la cavité pleurale (pleurésie).","Atteinte pleurale, peut comprimer le poumon."
"alvéolite","Inflammation des alvéoles pulmonaires.","Atteinte parenchymateuse non infectieuse (ou infectieuse)."
"acido-cétose","Acidose métabolique avec corps cétoniques.","Cause de dyspnée sine materia (respiration de Kussmaul), notamment dans le diabète."
"position proclive","Position inclinée, tête plus basse que le corps.","Recommandée pour le nourrisson en détresse respiratoire (améliore le drainage)."
"position demi-assise","Position assise avec dossier relevé.","Recommandée pour l’enfant en détresse respiratoire."
"sonde naso-gastrique","Sonde passant par le nez jusqu’à l’estomac.","Utilisée pour l’alimentation si impossible par voie orale."
"fractionnement des repas","Donner de petites quantités plus fréquemment.","Mesure pour éviter les fausses routes et la fatigue chez le nourrisson en DR."
