"front","back","cognitive_level"
"Quel est l’agent responsable des infections cutanéomuqueuses décrites dans le document ?","Candida albicans, une levure du genre Candida.","Recall"
"Quelle est la définition d’une infection à Candida albicans selon le document ?","Infection cutanéomuqueuse superficielle, fréquente même chez les sujets en bonne santé, touchant les surfaces humides occluses (plis, muqueuse génitale, tractus digestif). L’atteinte de l’œsophage et/ou trachéobronchique signe une immunodépression.","Recall"
"Quel est le tableau clinique typique (TDD) de l’intertrigo candidosique des grands plis ?","Début au fond des plis (inguinaux, interfessiers) par des pustules sur base érythémateuse, confluentes, érosives, donnant une lésion rouge vernissée et suintante, avec prurit intense. Parfois fissuraire, limitée par une fine collerette desquamative et de petites pustules en périphérie.","Recall"
"Quels sont les deux sites principaux de l’intertrigo candidosique des petits plis ?","Interdigitaux plantaires (4ème espace) et interdigitaux palmaires (3ème espace).","Recall"
"Quel est l’aspect clinique de l’onychix (onyxis) à Candida ?","Coloration brun verdâtre du bord proximal ou des bords latéraux de l’ongle.","Recall"
"Qu’est-ce que le péri-onyxis candidosique ?","Bourrelet péri-unguéal douloureux et inflammatoire, avec pus à la pression.","Recall"
"Citez les signes de la vulvo-vaginite candidosique.","Prurit, brûlure, dyspareunie, leucorrhée abondante blanchâtre caillebottée, muqueuse érythémato-œdémateuse avec enduit blanchâtre.","Recall"
"Quels sont les signes de l’anite candidosique ?","Prurit, brûlure, érythème, fissures, intertrigo interfessier.","Recall"
"Qu’est-ce que le muguet ?","Stomatite à Candida : sensation de cuisson et sécheresse localisée, muqueuse érythémateuse, sécheresse vernissée, dépôts blanchâtres crémeux sur la langue et la face interne des joues.","Recall"
"Quels sont les trois facteurs favorisants locaux de la candidose cités dans le document ?","pH acide, milieu sucré, humidité/macération, xérostomie, corticothérapie locale.","Recall"
"Quels sont les facteurs favorisants généraux de la candidose ?","Âges extrêmes de la vie, diabète, obésité, déficit immunitaire, grossesse, iatrogénie (antibiotiques, corticothérapie, œstroprogestatifs).","Recall"
"Quel est l’examen direct mycologique d’un prélèvement candidosique ?","Mise en évidence de levures bourgeonnantes et de pseudo-filaments.","Recall"
"Sur quel milieu de culture et en combien de temps pousse Candida albicans ?","Milieu de Sabouraud, colonies blanchâtres en 24 à 48 heures.","Recall"
"Donnez quatre diagnostics différentiels des atteintes de plis par Candida.","Dermatophyties, intertrigo bactérien (streptocoque), psoriasis inversé, érythrasma.","Recall"
"Donnez trois diagnostics différentiels du muguet.","Lichen plan, leucoplasie orale chevelue, langue géographique.","Recall"
"Quels sont les deux diagnostics différentiels de l’atteinte unguéale à Candida ?","Dermatophytie unguéale, origine traumatique.","Recall"
"Quel diagnostic différentiel de la vulvo-vaginite candidosique associe une leucorrhée verdâtre avec odeur de poisson pourri ?","Trichomoniase.","Application"
"Quelle est la taille et la morphologie de Candida albicans ?","Levure ovale de 2 à 6 µm sur 3 à 9 µm.","Recall"
"Quels sont les deux types de contamination possibles par Candida albicans ?","Contamination endogène et/ou exogène (vénérienne, materno-fœtale).","Recall"
"Quel est le traitement de première intention d’une candidose cutanée ?","Antifongiques topiques.","Recall"
"Quelle est la durée du traitement antifongique général pour une atteinte unguéale à Candida ?","3 à 8 mois.","Recall"
"Quels sont les deux buts du traitement de la candidose ?","Éradiquer Candida albicans de l’organisme et prévenir les récidives.","Recall"
"Citez trois antifongiques généraux mentionnés dans le document.","Fluconazole, nystatine, terbinafine.","Recall"
"Quelle est l’indication des antifongiques généraux dans les intertrigos ?","Intertrigos à localisations multiples.","Application"
