"front","back","cognitive_level"
"Quelle est la définition de la glomérulonéphrite à dépôts mésangiaux d'immunoglobuline A ?","Glomérulonéphrite non proliférative avec dépôt d'immunoglobuline A sur le mésangium.","Recall"
"Quelle est la glomérulonéphrite la plus fréquente en France ?","La glomérulonéphrite à dépôts mésangiaux d'IgA (maladie de Berger).","Recall"
"Quel est le pourcentage des néphropathies chez l'adulte représenté par cette pathologie ?","25% des néphropathies chez l'adulte.","Recall"
"Quelle est l'incidence annuelle de cette maladie ?","25 cas par million et par an.","Recall"
"Quelle population est la plus touchée par cette glomérulonéphrite ?","Adulte jeune, genre masculin.","Recall"
"Quel est le délai entre l'infection et les signes cliniques ?","Quelques heures ou jours avant les signes, il y a eu une infection (ORL : rhino-pharyngite, digestive, angine).","Recall"
"Quelles sont les quatre manifestations cliniques principales de cette pathologie ?","Œdème, hématurie récidivante, HTA, antécédent d'infection récente (ORL, digestive, angine).","Recall"
"Quel est l'aspect anatomopathologique caractéristique en immunofluorescence ?","Dépôt mésangial d'IgA.","Recall"
"Quel est le pourcentage de patients évoluant vers l'IRCT après 25 ans ?","50% des patients seront en IRCT après 25 ans.","Recall"
"Citez quatre facteurs de mauvais pronostic de la maladie de Berger.","Protéinurie néphrotique (protéinurie massive), HTA, insuffisance rénale, genre masculin, fibrose interstitielle, lésions vasculaires (quatre exemples parmi ces six).","Recall"
"Quel est le nom donné à la forme primitive de cette glomérulonéphrite ?","Maladie de Berger.","Recall"
"Citez quatre pathologies associées à cette glomérulonéphrite.","Purpura rhumatoïde, cirrhose alcoolique, maladie chronique du foie, VIH, VHB, maladie cœliaque, colites inflammatoires, spondylarthrite ankylosante, dermatite herpétiforme.","Recall"
"Quel est le traitement anti-protéinurique recommandé ?","Les IEC (inhibiteurs de l'enzyme de conversion).","Recall"
"Expliquez la particularité clinique de la glomérulonéphrite à dépôts d'IgA concernant le délai infection-signes.","Contrairement à la glomérulonéphrite aiguë post-streptococcique où l'intervalle libre est de 15-21 jours, ici les signes apparaissent quelques heures ou jours après une infection (ORL, digestive, angine).","Understanding"
"Pourquoi la glomérulonéphrite à dépôts d'IgA est-elle dite « non proliférative » alors qu'il existe une hypercellularité mésangiale ?","Le document la définit comme « non proliférative » malgré la présence d'une hypercellularité mésangiale (celle-ci est probablement considérée comme une hyperplasie réactionnelle et non comme une prolifération inflammatoire extracapillaire typique).","Understanding"
"Un jeune homme de 25 ans consulte pour des épisodes récurrents d'hématurie macroscopique survenant quelques jours après une angine. Il n'a pas d'œdème ni d'HTA. Quelle est l'hypothèse diagnostique principale ?","Glomérulonéphrite à dépôts mésangiaux d'IgA (maladie de Berger), compte tenu de l'âge (adulte jeune), du sexe masculin, de l'hématurie récidivante post-infectieuse avec délai court (heures-jours).","Application"
"Un patient atteint de cirrhose alcoolique développe une hématurie récidivante. Quelle néphropathie doit être suspectée ?","Glomérulonéphrite à dépôts mésangiaux d'IgA associée à la cirrhose alcoolique (citée parmi les pathologies associées).","Application"
"Comparez l'intervalle infection-signes entre la maladie de Berger et la glomérulonéphrite aiguë post-streptococcique.","Maladie de Berger : intervalle de quelques heures ou jours (infections ORL, digestives, angine). GNA post-streptococcique : intervalle libre de 15-21 jours.","Analysis"
