"question","answer","explanation","difficulty"
"Quels sont les quatre objectifs principaux concernant l’HTA chez l’enfant selon le document ?","1. Décrire les techniques de prise de la PA et les chiffres normaux et d’HTA selon l’âge. 2. Citer les circonstances de découverte et les facteurs de risque. 3. Citer les complications. 4. Citer les étiologies. 5. Décrire la prise en charge (le document liste 5 objectifs).","Liste dans ''Objectifs : (QE)''.","Easy"
"Définissez la PA systolique et diastolique.","PAS : pression lorsque le cœur se contracte. PAD : pression lorsque le cœur se relâche.","Introduction.","Easy"
"Quels sont les trois niveaux de sévérité de l’HTA chez l’enfant (selon l’excès par rapport au 97,5ème percentile) ?","HTA modérée : +10 mmHg ; HTA sévère : +10 mmHg ? Non, le document dit ''HTA modérée : +10mmHg 97,5ème percentile'' et ''HTA sévère : +10mmHg 97,5ème percentile'' – il y a une erreur de copie ? Relisons : ''HTA modérée : +10mmHg 97,5ème percentile'' et ''HTA sévère : +10mmHg 97,5ème percentile'' – c'est identique. Puis ''HTA menaçante : +30mmHg''. Donc seulement deux niveaux ? Je réponds : modérée (+10), sévère (+10 ?) ou menaçante (+30). Je corrige : le document dit ''HTA modérée : +10mmHg'' et ''HTA sévère : +10mmHg'' – probablement une erreur. Je vais citer les trois : modérée, sévère, menaçante.","Medium (car ambigu)","Medium"
"Citez quatre circonstances de découverte de l’HTA chez l’enfant.","Asymptomatique (mesure systématique), céphalées, épistaxis récidivants, crise convulsive, etc.","Circonstances de découverte.","Easy"
"Quels sont les facteurs de risque justifiant la mesure de la PA chez l’enfant de moins de 3 ans ?","Antécédent de prématurité ou RCIU, cardiopathie congénitale, infections urinaires récidivantes/hématurie/protéinurie, pathologie rénale connue, prise de certains médicaments, HTIC, surcharge pondérale, HTA familiale/AVC familial.","Liste dans ''Facteurs de risque''.","Medium"
"Donnez les valeurs normales de PA à retenir en pratique pour les tranches d’âge suivantes : avant 1 an, 1-5 ans, 5-10 ans, 10-14 ans.","Avant 1 an : 80/50 mmHg ; 1-5 ans : 90/60 mmHg ; 5-10 ans : 100/60 mmHg ; 10-14 ans : 110/60 mmHg.","Chiffres.","Easy"
"Quels sont les quatre organes cibles du retentissement de l’HTA ?","Vaisseaux cérébraux et périphériques, yeux (rétinopathie), reins (altération fonction glomérulaire, microalbuminurie), cœur (HVG, dysfonction diastolique).","Diagnostic de gravité.","Medium"
"Quels examens sont recommandés en première phase du bilan étiologique ?","Anamnèse, examen clinique, dosages sanguins (créatinine, ionogramme, acide urique, glucose, cholestérol, triglycérides), dosages urinaires (protéinurie/microalbuminurie), échographie rénale +/- échodoppler, +/- échographie cardiaque, fond d’œil, +/- rénine/aldostérone/catécholamines.","Première phase d'investigations.","Medium"
"Quelle est la place de la ponction biopsie rénale dans le bilan d’une HTA ?","Indiquée en seconde phase, en cas de suspicion de glomérulopathie, pour préciser le stade et le type.","Document : ''Ponction biopsie rénale : pour savoir le stade et type de la glomérulopathie''.","Medium"
"Quelles sont les trois grandes catégories de causes rénales d’HTA secondaire ?","Glomérulonéphropathies chroniques (30-40%), atteintes réno-vasculaires (8-12%), séquelles de SHU (6-14%), reins cicatriciels (3-30%), polykystoses (5-10%), tumeurs rénales, transplantation rénale.","Étiologies – causes rénales.","Medium"
"Quels sont les signes d’appel du phéochromocytome ?","HTA paroxystique, céphalées, sueurs, palpitations, +/- troubles vasomoteurs.","Document.","Medium"
"Expliquez le mécanisme de l’HTA dans la coarctation de l’aorte.","Obstruction de l’aorte thoracique entraînant une HTA en amont (membres supérieurs) et une hypotension ou abolition des pouls en aval (membres inférieurs).","Particularités nourrissons.","Medium"
"Quels sont les examens d’imagerie pour confirmer une coarctation de l’aorte ?","Radiographie thoracique (image en double bouton aortique), échocardiographie + doppler, IRM thoracique.","Document.","Medium"
"Citez trois médicaments antihypertenseurs de la classe des diurétiques avec leur posologie.","Furosémide : 0,5-2 mg/kg/j ; Spironolactone : 1-5 mg/kg/j ; Hydrochlorothiazide : 0,5-1 mg/kg/j.","Prise en charge – Médicaments.","Medium"
"Quelles sont les mesures hygiéno-diététiques recommandées dans l’HTA de l’enfant ?","Correction de la surcharge pondérale (réduction calories et graisses animales), modération des apports sodés (1-2 mmol/kg/j, voire 0,3-0,5 en cas de surcharge volémique), activités physiques régulières, abstention tabagique.","Moyens non médicamenteux.","Medium"
"Quelle est la conduite à tenir devant une HTA limite (95-97,5ème percentile) ?","Mesures hygiéno-diététiques + recherche étiologique, pas de traitement médicamenteux d’emblée.","Indications.","Medium"
"En cas de crise hypertensive menaçante, quels sont les objectifs thérapeutiques et les précautions ?","Ramener la PA progressivement au 97,5ème percentile pour éviter un accident d’hypoperfusion cérébrale. Hospitalisation en milieu adapté. Utilisation d’IEC, inhibiteurs calciques, bêta-bloquants, diurétiques si rétention.","Prise en charge.","Difficult"
"Quel est le risque de l’utilisation des sympathomimétiques (type gouttes nasales Otrivin) chez l’enfant ?","Ils peuvent induire une HTA iatrogène.","Document : ''Médicamenteuses : vasoconstricteurs (sympathomimétiques dans les gouttes nasales Otrivin*)''.","Difficult"
"Comment évolue l’HTA après traitement étiologique réussi ?","Guérison définitive.","Document : ''Évolution : guérison définitive si traitement étiologique''.","Medium"
