"question","answer","explanation","difficulty"
"L’OACR correspond à un arrêt brutal de la circulation rétinienne interne.","True","Le document le définit ainsi.","Easy"
"Les lésions ischémiques de la rétine interne deviennent définitives après 30 minutes.","False","Le document indique : 90 minutes.","Easy"
"L’OACR se manifeste par une baisse d’acuité visuelle brutale et douloureuse.","False","Le document : « Baisse d’acuité brutale, indolore ».","Easy"
"La pupille est en mydriase aréactive dans l’OACR tronculaire.","True","Le document l’indique.","Easy"
"La macula rouge cerise est un signe pathognomonique de l’OACR.","True","Le document le décrit.","Easy"
"L’angiographie à la fluorescéine doit être réalisée en urgence avant tout traitement.","False","Le document : « Ne doit pas retarder le traitement ++ ».","Easy"
"L’œdème rétinien régresse en 4 à 6 semaines dans l’OACR.","True","Le document l’indique.","Easy"
"Le glaucome néovasculaire complique l’OACR dans 15 à 20% des cas.","True","Le document le précise.","Easy"
"L’artère ciliorétinienne est une branche de l’artère centrale de la rétine.","False","Le document : « n’est pas une branche de l’ACR mais de l’artère ciléaire courte postérieure ».","Easy"
"La VS et la CRP sont demandées en urgence chez tout patient >50 ans avec OACR.","True","Le document l’indique.","Easy"
"L’athérome carotidien est une cause fréquente d’OACR chez le sujet âgé.","True","Le document : « Athérome carotidien +++ ».","Easy"
"La maladie de Horton donne une VS élevée.","True","Le document l’indique.","Easy"
"La corticothérapie est le traitement urgent de la maladie de Horton compliquée d’OACR.","True","Le document le précise.","Easy"
"L’OACR est une urgence ophtalmologique mais pas médicale.","False","Le document : « Urgence ophtalmologique et médical (équivalent d’AVC) ».","Easy"
"L’occlusion de l’artère ophtalmique donne une macula rouge cerise.","False","Le document : « absence de macula rouge cerise ».","Easy"
"Le massage oculaire peut mobiliser l’embole dans l’OACR.","True","Le document le mentionne.","Medium"
"Les emboles cholestéroliques proviennent généralement des valvules cardiaques calcifiées.","False","Les emboles cholestéroliques sont d’origine carotidienne ; les emboles calcaires sont d’origine cardiaque.","Medium"
"La résistance à la protéine C activée est un trouble de la coagulation chez le sujet jeune.","True","Le document le cite.","Medium"
"La ponction de chambre antérieure est un traitement symptomatique de l’OACR.","True","Le document le mentionne.","Medium"
"La drépanocytose est une cause d’OACR.","True","Le document la cite.","Medium"
"L’endocardite infectieuse peut donner des emboles septiques rétiniens.","True","Le document mentionne « embols septiques d’endocardite infectieuse ».","Medium"
"La fibrinolyse in situ est le traitement de première intention de l’OACR.","False","Le document la cite comme traitement possible mais non en première intention.","Medium"
"L’occlusion d’une branche de l’ACR donne une BAV massive si la macula est atteinte.","True","Le document l’indique.","Medium"
"L’ischémie aiguë de la tête du nerf optique est un diagnostic différentiel de l’OACR.","True","Le document le cite.","Medium"
"Le myxome de l’oreillette gauche est une cause rare d’embole dans l’OACR.","True","Le document le mentionne.","Medium"
"La maladie de Takayasu peut causer une OACR.","True","Le document la cite.","Medium"
"Les contraceptifs oraux oestroprogestatifs sont un facteur de risque de trouble de la coagulation.","True","Le document les cite.","Medium"
"L’antiagrégant plaquettaire (aspirine) est indiqué dans tous les cas d’OACR.","True","Le document l’affirme.","Medium"
"Une sténose carotidienne significative relève d’un traitement chirurgical.","True","Le document l’indique.","Medium"
"La régularisation d’une ACFA est un traitement étiologique de l’OACR.","True","Le document le mentionne.","Medium"
"L’OACR avec artère ciliorétinienne à destinée maculaire donne une acuité visuelle effondrée.","False","Le document : « Acuité visuelle centrale conservée ».","Difficult"
"Le risque d’AVC est majeur en cas d’athérome carotidien compliqué d’OACR.","True","Le document le souligne.","Difficult"
"Les emboles de talc sont observés chez les toxicomanes intraveineux.","True","Le document le mentionne.","Difficult"
"La chirurgie valvulaire cardiaque peut être indiquée dans le traitement étiologique de l’OACR.","True","Le document le cite.","Difficult"
"L’absence de perception lumineuse est un signe constant de l’OACR tronculaire.","False","Elle peut être présente mais l’acuité est variable.","Difficult"
"Le glaucome néovasculaire survient dans la première semaine suivant l’OACR.","False","Le document : 1 à 15 semaines.","Difficult"
