"front","back","cognitive_level"
"Quelle est la définition de la bilharziose hépatique ?","La bilharziose hépatique (ou schistosomiase hépatique) est due à l''infestation par deux espèces : Schistosoma mansoni et Schistosoma japonicum (inexistant à Madagascar). Elle est une complication de la bilharziose à S. Mansoni avec ou sans manifestations intestinales.","Recall"
"Quelles sont les deux espèces responsables de la bilharziose hépatique ?","S. Mansoni (présente à Madagascar, touchant essentiellement la côte Est) et S. Japonicum (inexistant à Madagascar).","Recall"
"Quel est le cycle physiopathologique conduisant à la fibrose hépatique dans la bilharziose ?","Les œufs de S. Mansoni sont émis dans les selles, éclosent en eau douce, libèrent un miracidium qui infeste un mollusque hôte intermédiaire, puis des furcocercaires pénètrent la peau humaine. Les vers adultes migrent vers la veine mésentérique inférieure via la veine porte. La femelle pond 30-300 œufs/jour. Les œufs qui passent par la veine porte embolisent les veinules intra-hépatiques, provoquant une réaction granulomateuse puis une sclérose de l''espace porte (sclérose en tuyau de pipe), sans nodules de régénération, donc pas de cirrhose.","Understanding"
"Pourquoi la bilharziose hépatique n''est-elle pas une cirrhose ?","Parce qu''il n''y a pas de nodule de régénération. La fibrose est purement mécanique par obstruction des veinules intra-hépatiques par les œufs, sans régénération nodulaire.","Recall"
"Quel est le signe clinique constant de la bilharziose hépatique selon le document ?","La splénomégalie importante (stade 3-4). Il n''y a pas de bilharziose hépatique sans splénomégalie.","Recall"
"Quelles anomalies biologiques du bilan hépatique trouve-t-on dans la bilharziose hépatique non décompensée ?","Cholestase anictérique : PAL et GGT augmentées, pas d''élévation de la bilirubinémie. Pas de cytolyse (ASAT et ALAT normales). Pas d''insuffisance hépatocellulaire (IHC). Augmentation des immunoglobulines (gammaglobulines sur l''EPP).","Recall"
"Pourquoi la recherche d''œufs de S. Mansoni dans les selles (KAOP) est-elle souvent négative dans la bilharziose hépatique ?","Parce que la femelle ne pond plus ou a déjà reçu un traitement.","Recall"
"Quelle est la valeur de la sérologie bilharzienne positive ?","Elle indique que le patient a été en contact avec le parasite, mais elle ne permet pas de juger de l''évolutivité. Elle reste positive toute la vie, donc on ne traite pas une sérologie positive seule.","Understanding"
"À l''échographie abdominale, quels signes d''hypertension portale peut-on observer dans la bilharziose hépatique ?","Veine porte dilatée, circulations collatérales, fibrose de la veine porte (intrahépatique), dysmorphie hépatique : atrophie du lobe droit et hypertrophie du lobe gauche.","Recall"
"Quelles lésions endoscopiques digestives hautes sont caractéristiques de la bilharziose hépatique ?","Varices œsophagiennes (énormes), varices cardio-tubérositaires, gastropathie d''hypertension portale.","Recall"
"Quelles lésions rectosigmoïdoscopiques évoquent une bilharziose ?","Œdème de la muqueuse, ulcérations rectales, granulations blanchâtres au niveau de la paroi rectale, pseudo-polypes inflammatoires. La biopsie de la muqueuse rectale montre des œufs de bilharzies enchâssées.","Recall"
"Quels sont les principaux signes d''hypertension portale apparaissant tardivement dans la bilharziose hépatique ?","Circulation veineuse cutanée abdominale, varices œsophagiennes très développées, ascite, œdème des membres inférieurs.","Recall"
"Quelles sont les complications de la bilharziose hépatique ? (citer au moins 4)","Ascite, hémorragie digestive par rupture des varices œsophagiennes (décès classique, apparaît tôt vers 30-40 ans), ictère, infections (générales, liquide d''ascite), encéphalopathie, hypertension porto-pulmonaire, hypersplénisme (anémie, leucopénie, thrombopénie). Pas de cancer primitif du foie.","Recall"
"Pourquoi n''y a-t-il pas de cancer primitif du foie dans la bilharziose hépatique ?","Parce qu''il n''y a pas de nodule de régénération (mécanisme purement mécanique : obstruction de la veine porte par l''œuf).","Recall"
"Quel est le traitement médicamenteux curatif de l''infestation par S. Mansoni ?","Le Praziquantel (Biltricide®), comprimé de 600 mg, à la posologie de 40 mg/kg en une à deux prises en un seul jour (maximum 3 jours).","Recall"
"Quelles sont les indications du propranolol (bêta-bloquant) dans la bilharziose hépatique ?","En cas de tableau d''hypertension portale, propranolol 80-160 mg/j, traitement à vie.","Recall"
"Quelles sont les options endoscopiques et chirurgicales pour traiter l''hypertension portale de la bilharziose hépatique ?","Endoscopique : ligature des varices œsophagiennes. Chirurgicale : splénectomie avec ligature de la veine gastrique gauche pour diminuer la pression au niveau des varices œsophagiennes. En cas d''hypersplénisme, la chirurgie est indiquée.","Recall"
"Un patient de 35 ans originaire de la côte Est de Madagascar présente une splénomégalie stade 3, des varices œsophagiennes à l''endoscopie, et une sérologie bilharzienne positive. Quel diagnostic suspectez-vous et quel traitement médicamenteux de l''infestation proposez-vous ?","Diagnostic : bilharziose hépatique (splénomégalie constante, contexte géographique, HTP). Traitement de l''infestation : Praziquantel 40 mg/kg en une journée. En parallèle, traiter l''HTP par propranolol et ligature des varices.","Application"
"Quelle complication grave peut survenir précocement (vers 30-40 ans) au cours de la bilharziose hépatique ?","L''hémorragie digestive par rupture des varices œsophagiennes, qui est un motif de décès classique.","Recall"
"Quelle est l''évolution particulière d''une bilharziose hépatique associée à une hépatite B/C ou une intoxication éthylique ?","Installation rapide d''une insuffisance hépatocellulaire (ascite, œdème des membres inférieurs) et évolution rapide.","Recall"
