"term","definition","contextual_explanation"
"convulsion","Crise motrice. En pratique, le document utilise convulsion = crise épileptique occasionnelle (motrice ou non).","Touche 4-8% des nourrissons. La moitié sont des convulsions fébriles, de pronostic rassurant."
"crise épileptique","Évènement clinique transitoire due à une activité excessive et anormale d’un groupe de neurones.","Peut être occasionnelle ou s’inscrire dans une épilepsie chronique."
"crise occasionnelle","Crise épileptique qui ne s’inscrit pas dans le cadre d’une maladie épileptique, réponse à une maladie passagère.","Opposée à l’épilepsie chronique."
"épilepsie","Affection chronique caractérisée par la répétition des crises épileptiques.","Évoquée par récurrence des crises, lien avec le sommeil, retard psychomoteur, examen neurologique anormal."
"convulsion hyperthermique simple","Convulsion survenant lors d’une fièvre >38,5°C chez l’enfant de 6 mois à 5 ans, généralisée, durée <15 min, unique par épisode fébrile, examen neurologique normal.","2-3% des enfants, histoire familiale 30% des cas. Pronostic rassurant. 2-3% deviendront épileptiques."
"convulsion hyperthermique compliquée (complexe)","Convulsion fébrile unilatérale ou avec déficit post-critique asymétrique, prolongée (>15 min), ou répétée au cours du même épisode fébrile.","Forme plus sévère que la convulsion hyperthermique simple."
"état de mal convulsif","Crise durant plus de 15 minutes ou crises itératives brèves sans reprise de conscience entre les crises.","Urgence thérapeutique."
"phase tonique","Première phase de la crise grand mal : blocage respiratoire et cyanose.","Suivie de la phase clonique."
"phase clonique","Deuxième phase de la crise grand mal : succession de contractions et décontractions des muscles fléchisseurs (face, langue, mastication).","Peut entraîner une morsure involontaire de la langue."
"phase résolutive (stertoreuse)","Troisième phase de la crise grand mal : hypotonie de tous les muscles, perte involontaire d’urine (relâchement sphinctérien).","Amnésie de la crise."
"crise focale","Crise localisée à un hémicorps, spasmes, clignement des paupières, petites déviations de la bouche.","Souvent sans perte de contact car l’autre partie du cerveau fonctionne normalement."
"révulsion oculaire","Déviation forcée des yeux.","Mouvement observé lors des crises convulsives."
"hypersialorrhée","Émission excessive de salive (bave).","Signe fréquent lors des crises."
"syndrome de Sandifer","Association de RGO et de mouvements anormaux (torticolis, opisthotonos).","Diagnostic différentiel des convulsions chez l’enfant <1 an."
"spasme du sanglot","Phénomène du nourrisson (vers 12 mois) : pleurs intenses, blocage respiratoire, cyanose, puis convulsion.","Diagnostic différentiel des convulsions chez l’enfant >1 an."
"trémulation","Tremblements fins et rapides.","Diagnostic différentiel chez le nourrisson."
"myoclonies du sommeil","Secousses musculaires bénignes survenant pendant le sommeil.","Diagnostic différentiel des convulsions (EEG normal)."
"syncope vagale","Perte de connaissance brève par hyperréactivité vagale.","Diagnostic différentiel chez l’enfant >1 an."
"vertige paroxystique bénin","Épisode de vertige soudain et bref chez l’enfant.","Diagnostic différentiel des convulsions."
"terreurs nocturnes","Éveil brutal avec peur intense, survenant en sommeil lent profond.","Diagnostic différentiel."
"HSD","Hématome sous-dural.","Complication du traumatisme crânien (syndrome de bébé secoué), cause de convulsions sans fièvre."
"syndrome de bébé secoué","Maltraitance par secousses violentes du nourrisson.","Entraîne HSD et convulsions."
"hypoxie cérébrale aiguë","Diminution brutale de l’oxygénation cérébrale.","Causes : arrêt cardiaque, noyade."
"AVC","Accident vasculaire cérébral (ischémique ou hémorragique).","Cause rare de convulsions occasionnelles sans fièvre."
"PCIME","Prise en charge intégrée des maladies de l’enfant (stratégie OMS).","En PCIME, toute crise convulsive est considérée comme grave et nécessite une référence."
"diazépam","Benzodiazépine anticonvulsivante.","Utilisé en intra-rectal (IR) à 0,5 mg/kg sans dépasser 10 mg pour le traitement de la crise. Peut être préparé avec de l’eau du robinet."
"syndrome de West","Encéphalopathie épileptique du nourrisson caractérisée par des spasmes en flexion.","Mentionné en fin de document."
"EEG","Électroencéphalogramme.","Dans la convulsion hyperthermique simple, l’EEG est normal."
"morsure de la langue","Complication fréquente des crises tonico-cloniques.","À rechercher à l’anamnèse (phase clonique)."
"hypotonie","Diminution du tonus musculaire.","Présente dans la phase résolutive de la crise grand mal."
"amnésie de la crise","Absence de souvenir de la crise.","Caractéristique de la crise grand mal."
