"question","answer","explanation","difficulty"
"Définissez le psoriasis.","Maladie systémique inflammatoire chronique à expression principalement cutanée et articulaire, évoluant par poussées.","Document","Easy")
"Quels sont les deux signes de grattage caractéristiques du psoriasis ?","Signe de la bougie (blanchissement) et signe de la rosée sanglante (fines gouttelettes hémorragiques).","Document","Easy")
"Quels sont les trois paramètres du score PASI ?","Érythème, induration, desquamation.","Document","Easy")
"Citez trois localisations topographiques du psoriasis.","Cuir chevelu, ongles, zones d'extension des membres (coudes, genoux), plis (inversé), paumes, plantes, muqueuses (rare).","Document","Easy")
"Qu'est-ce que le psoriasis inversé ?","Psoriasis des plis (interfessier, inguinal, sous-mammaire, axillaire) avec des lésions rouges, brillantes, lisses, bien limitées, sans squames épaisses.","Document","Easy")
"Quel est l'aspect du psoriasis unguéal ?","Dé à coudre (dépressions ponctuées), onycholyse sous-unguéale, pachyonychie, destruction.","Document","Easy")
"Quel est le traitement local du psoriasis en plaques limité ?","Kératolytiques, dermocorticoïdes, dérivés de la vitamine D3.","Document","Easy")
"Quels sont les traitements généraux du psoriasis sévère ?","Méthotrexate, acitrétine, ciclosporine, anti-TNF alpha.","Document","Easy")
"Qu'est-ce que le phénomène de Koebner ?","Apparition de lésions psoriasiques sur des zones de traumatisme cutané (griffures, cicatrices, tatouages).","Document (implicite)","Easy")
"Quels sont les facteurs déclenchants du psoriasis ?","Alcool, stress, infections (rhinopharyngée), médicaments (corticoïdes, bêtabloquants), facteurs génétiques, choc psycho-affectif.","Document","Easy")
"Quelle est la fréquence du prurit dans le psoriasis ?","Environ 50% des cas.","Document","Easy")
"Quel est l'aspect histologique du psoriasis ?","Hyperkératose, parakératose, hyperacanthose (épaississement de la couche épineuse).","Document","Easy")
"Citez trois diagnostics différentiels du psoriasis.","Pityriasis rosé de Gibert, toxidermie psoriasiforme, syphilides secondaires, dermatophytie, mycosis fongoïde, intertrigo, dermatite atopique.","Document","Easy")
"Quel est le traitement du rhumatisme psoriasique ?","AINS, antalgiques, méthotrexate, anti-TNF alpha.","Document","Easy")
"Qu'est-ce que l'érythrodermie psoriasique ?","Forme grave où l'érythème dépasse 90% de la surface corporelle, avec altération de l'état général.","Document","Easy")
"Quelle est la particularité du psoriasis chez l'enfant après une infection rhinopharyngée ?","Psoriasis aigu en gouttes : multiples petites lésions érythémato-squameuses.","Document","Medium")
"Décrivez le psoriasis du cuir chevelu.","Lésions arrondies, bien limitées, confluentes, squameuses sèches formant des carapaces, non alopéciantes, n'engluent pas les cheveux.","Document","Medium")
"Quel est le signe du dé à coudre ?","Dépression ponctuée cupuliforme de l'ongle dans le psoriasis.","Document","Medium")
"Quels sont les deux types d'érythrodermie psoriasique ?","Sèche (bon pronostic) et humide œdémateuse (mauvais pronostic).","Document","Medium")
"Quel est le diagnostic différentiel du psoriasis en nappe ?","Dermatophytie et mycosis fongoïde.","Document","Medium")
"Quelle est la particularité du psoriasis chez le patient VIH+ ?","Lésions grasses, rouges vives, tendance à l'érythrodermie.","Document","Medium")
"Expliquez le signe de la rosée sanglante.","Après grattage des squames, on met à nu les papilles dermiques hypervascularisées, qui saignent en fines gouttelettes.","Document","Medium")
"Expliquez le signe de la bougie.","Le grattage lève une squame blanchâtre, donnant un aspect de cire de bougie.","Document","Medium")
"Quel est le mécanisme physiopathologique du psoriasis ?","Hyperprolifération des kératinocytes due à des cytokines mitogènes sécrétées par des LT CD4+ Th17 et autres cellules inflammatoires.","Document","Medium")
"Quels sont les facteurs favorisant le psoriasis chez l'enfant ?","Infections rhinopharyngées, vaccinations, terrain génétique.","Document","Medium")
"Quelle est la particularité du psoriasis des plis ?","Absence de squames épaisses, aspect rouge brillant lisse.","Document","Medium")
"Quel est le traitement d'une poussée de psoriasis pustuleux ?","Hospitalisation, traitement général (ciclosporine, méthotrexate).","Document","Medium")
"Quelle est la différence entre psoriasis nummulaire et psoriasis en plaques ?","Nummulaire : lésions en pièce de monnaie (2-3 cm) ; plaques : plus grandes.","Document","Medium")
"Pourquoi le psoriasis est-il dit systémique ?","Car il touche non seulement la peau mais aussi les articulations (rhumatisme psoriasique) et parfois d'autres organes.","Document","Medium")
"Quel est l'intérêt du score PASI ?","Évaluer la sévérité et surveiller l'efficacité du traitement.","Document","Medium")
"Quel est le diagnostic différentiel du psoriasis des plis ?","Intertrigo candidosique ou dermatophytique.","Document","Medium")
"Quelle sérologie demander devant des lésions psoriasiformes ?","Sérologie syphilitique (pour éliminer une syphilis secondaire).","Document","Medium")
"Quel est le traitement de la toxidermie psoriasiforme ?","Arrêt du médicament responsable.","Document","Medium")
"Quels sont les traitements non médicamenteux du psoriasis ?","Éducation, éviction des facteurs déclenchants, photothérapie (UVB, UVA), soutien psychologique.","Document","Medium")
"Quel est le risque de l'utilisation prolongée de dermocorticoïdes dans le psoriasis ?","Atrophie cutanée, tachyphylaxie, psoriasis pustuleux à l'arrêt.","Document (implicite)","Medium")
"Quelle est la conduite à tenir devant un psoriasis >40% de surface corporelle ?","Photothérapie, puis méthotrexate si échec.","Document","Medium")
"Quel est le pronostic de l'érythrodermie psoriasique humide ?","Mauvais, avec altération de l'état général, fièvre, troubles métaboliques.","Document","Medium")
"Expliquez le mécanisme de la parakératose.","Les kératinocytes ne se différencient pas complètement et conservent leur noyau dans la couche cornée.","Document","Difficult")
"Pourquoi le psoriasis est-il déclenché par les bêtabloquants ?","Ils modulent la signalisation intracellulaire et peuvent activer les LT.","Document (non détaillé)","Difficult")
"Quel est le rôle des cytokines Th17 dans le psoriasis ?","Elles sécrètent IL-17, IL-22, qui stimulent la prolifération des kératinocytes.","Document","Difficult")
"Quelle est la différence entre l'hyperkératose orthokératosique et parakératosique ?","Orthokératose : pas de noyaux ; parakératose : présence de noyaux.","Document","Difficult")
"Pourquoi le psoriasis du cuir chevelu n'est-il pas alopéciant ?","L'inflammation n'atteint pas les bulbes pileux en profondeur.","Document","Difficult")
"Quel est le risque de l'arrêt brutal des corticoïdes systémiques chez un psoriasique ?","Poussée de psoriasis pustuleux ou érythrodermie.","Document","Difficult")
"Quelle est l'utilité de la biopsie cutanée dans le psoriasis ?","Diagnostic différentiel en cas de doute.","Document","Difficult")
"Quel est le traitement de référence du psoriasis en plaques sévère résistant aux traitements locaux ?","Méthotrexate ou biothérapies (anti-TNF alpha).","Document","Difficult")
"Pourquoi le psoriasis est-il associé à un risque cardiovasculaire ?","L'inflammation systémique chronique augmente le risque d'athérosclérose.","Document (non explicite)","Difficult")
"Quelle est la différence entre le psoriasis et le pityriasis rosé de Gibert ?","Pityriasis rosé : lésions en médaillon, centre clair, évolution spontanément résolutive en 6-8 semaines.","Document","Difficult")
"Quel est le rôle de l'acitrétine dans le psoriasis ?","Rétinoïde qui normalise la prolifération des kératinocytes.","Document","Difficult")
"Quel est le traitement des formes graves de psoriasis chez la femme enceinte ?","Non détaillé.","Document","Difficult")
"Quel est le mécanisme du phénomène de Koebner ?","Traumatisme local → libération de cytokines → activation des LT mémoire → lésion psoriasique.","Document","Difficult")
"Quelle est la particularité du psoriasis pustuleux ?","Pustules aseptiques, fièvre, AEG, hospitalisation.","Document","Medium")
"Quel est le traitement du psoriasis en gouttes chez l'enfant ?","Traitement local (dermocorticoïdes) + traitement de l'infection rhinopharyngée.","Document (implicite)","Medium")
"Quels sont les signes de gravité du psoriasis ?","Érythrodermie, psoriasis pustuleux, rhumatisme psoriasique sévère, atteinte de plus de 40% de surface.","Document","Medium")
"Quel est le rôle de la photothérapie UVB ?","Induction de l'apoptose des lymphocytes T, diminution de l'inflammation.","Document (implicite)","Medium")
"Quel est le risque du méthotrexate au long cours ?","Hépatotoxicité, myélotoxicité, fibrose pulmonaire.","Document (non explicite)","Medium")
