"front","back","cognitive_level"
"Quelle est la définition de la diarrhée chronique ?","Débit fécal > 300 g/jour, durant plus de 4 semaines (30 jours). En pratique : 3 selles molles ou liquides par jour.","Recall"
"Quels sont les trois types de diarrhée chronique selon le mécanisme physiopathologique ?","1) Diarrhée sans signe de malabsorption (lésionnelle, motrice, osmotique, sécrétoire). 2) Diarrhée avec malabsorption.","Understanding"
"Quel test permet de mesurer le temps de transit digestif et quel est son résultat normal ?","Test au rouge carmin. Résultat normal : premières selles rouges 18-24h, dernières selles rouges 24-72h.","Recall"
"Quels sont les quatre types de diarrhée chronique sans malabsorption ?","1) Diarrhée lésionnelle (exsudative), 2) Diarrhée motrice, 3) Diarrhée osmotique, 4) Diarrhée sécrétoire.","Recall"
"Quelles sont les étiologies de la diarrhée lésionnelle (exsudative) ?","Parasitaire (amibiase, bilharziose, lambliase, anguillulose), infectieuse (staphylococcie, tuberculose colique), colites inflammatoires (RCH, maladie de Crohn), tumeur (cancer du côlon ou rectum).","Recall"
"Quelles sont les causes de diarrhée motrice ?","Colopathie fonctionnelle (80%), endocriniennes (hyperthyroïdie, cancer médullaire de la thyroïde, tumeur carcinoïde), nerveuses (vagotomie, neuropathie diabétique ou amyloïde).","Recall"
"Quelles sont les caractéristiques cliniques de la diarrhée motrice ?","Selles fréquentes, impérieuses, post-prandiales précoces, présence de débris alimentaires non digérés du même jour, très sensible aux ralentisseurs du transit (lopéramide), supprimée par le jeûne. Test au rouge carmin : premières selles rouges <6-8h, dernière <24h. Stéatorrhée discrète (<12g/24h).","Recall"
"Quelles sont les causes de diarrhée osmotique ?","Maladie des laxatifs (prise clandestine, contexte psychiatrique), carence primaire en lactase (diarrhée après ingestion de lait).","Recall"
"Quels sont les mécanismes et caractères de la diarrhée sécrétoire ?","Mécanisme : stimulation de la sécrétion et/ou malabsorption d’eau et d’électrolytes. Caractères : selles abondantes >500g/24h, persistance à jeun, pas d’accélération du transit (test au rouge carmin normal ou diminué), hypokaliémie, acidose métabolique.","Recall"
"Quelles sont les étiologies de la diarrhée sécrétoire ?","Abus de laxatifs (phénolphtaléine), médicaments (colchicine, digitalique), lésions coliques (polyadénomatose familiale, adénome villeux hypersécrétant), lésions iléales terminales (Crohn), parasitoses (cryptococcose, microsporidies chez VIH), tumeurs endocrines (VIPome, cancer médullaire thyroïde, Zollinger-Ellison), hémopathies, colite microscopique (à collagène ou lymphocytaire, souvent personnes âgées).","Recall"
"Qu’est-ce que la colite microscopique ?","Colite à collagène ou colite lymphocytaire, diagnostiquée par biopsies étagées systématiques même si endoscopie normale. Survient souvent après prise médicamenteuse et chez les personnes âgées.","Recall"
"Quels sont les trois tests dynamiques de malabsorption et à quoi servent-ils ?","1) Test au D-xylose : recherche de lésion du grêle proximal ou pullulation microbienne. 2) Test de Schilling : malabsorption de vitamine B12 (lésion iléale ou pullulation microbienne). 3) Test au rouge carmin : temps de transit.","Recall"
"Qu’est-ce que le test au D-xylose et comment l’interpréter ?","Ingestion de 25g de D-xylose, dosage à 2h (normal >25g/L). Une diminution signe une lésion pariétale du grêle proximal (duodénum, jéjunum) ou une pullulation microbienne.","Recall"
"Qu’est-ce que le test de Schilling ?","Test de malabsorption de vitamine B12. Principe : saturation par injection de vitamine B12, administration per os de vitamine B12 radioactive, mesure de sa radioactivité urinaire à 24h. Normal : >10%. Diminution : lésion iléale (Crohn, maladie cœliaque étendue) ou pullulation microbienne iléale.","Recall"
"Quels examens sont réalisés sur les selles dans le bilan d’une diarrhée chronique ?","Coproculture (peu d’intérêt), parasitologique (surtout PVVIH), fécalogramme (débit fécal, laxatifs, graisse fécale >6g/24h = stéatorrhée, clairance alpha-1-antitrypsine, ionogramme fécal, élastase fécale (<200µg = insuffisance pancréatique exocrine), calprotectine (augmentée = inflammation colique/iléale).","Recall"
"Quels sont les trois diagnostics différentiels de la diarrhée chronique ?","1) Fausse diarrhée des constipés (selles liquides avec fécalome au TR). 2) Incontinence fécale (interrogatoire, examen pelvien). 3) Pathomimie par prise de laxatifs (contexte psychologique).","Recall"
"Quels sont les signes cliniques du syndrome de malabsorption ?","AEG (asthénie, amaigrissement jusqu’à cachexie, hyperphagie paradoxale évocatrice), diarrhée (selles malodorantes, en bouse de vache, grasses, luisantes, claires ou gris métallisé), syndrome carentiel (hypoalbuminémie, anémie microcytaire ou macrocytaire, carence en vitamines K1, D, A, B).","Recall"
"Quelles sont les trois phases de l’absorption des nutriments ?","1) Phase luminale : digestion enzymatique. 2) Phase entérocytaire : digestion complémentaire (lipides) et transport des nutriments. 3) Phase post-entérocytaire : passage des lipides vers le système lymphatique, des glucides et acides aminés vers les capillaires sanguins.","Understanding"
"Quelles sont les étiologies pré-entérocytaires (intra-luminales) de malabsorption ?","Insuffisance pancréatique exocrine (pancréatite chronique calcifiante, tumeur pancréas), insuffisance hépato-biliaire (IHC, cholestase, fistule biliaire), pullulation microbienne du grêle (>10^5 germes, secondaire à sténoses, diverticulose, fistules, chirurgie obésité).","Recall"
"Quelles sont les étiologies entérocytaires (pariétales) de malabsorption ?","Résection du grêle >1m, atrophie villositaire (maladie cœliaque de l’adulte, sprue tropicale, parasitoses : lambliase, anguillulose, cryptosporidiose ; médicaments, déficits immunitaires, intolérance aux protéines de lait de vache, SIDA).","Recall"
"Quelles sont les étiologies post-entérocytaires de malabsorption ?","Malabsorption par infiltrat sous-muqueux (maladie de Whipple, maladie des chaînes alpha, lymphome intestinal), entéropathies exsudatives (augmentation des pertes protéiques digestives : lymphangiectasie primitive ou secondaire, hyperpression veineuse, rupture du revêtement épithélial).","Recall"
"Quelle est la particularité de la maladie de Whipple ?","Infection systémique chronique par Tropheryma whippleii (bactérie Gram positif). Biopsie : infiltrats de macrophages PAS (+) au niveau du tissu lymphatique du grêle et du mésentère.","Recall"
"Quel examen confirme une entéropathie exsudative ?","Augmentation de la clairance fécale de l’alpha-1-antitrypsine (normale 12 ml/24h).","Recall"
