"Quelle est la valeur du rapport U/P urée dans l'IRA fonctionnelle versus la NTA et quel est le mécanisme ?","IRAF : U/P urée >10 (réabsorption d'urée augmentée par hypoperfusion). NTA : U/P urée <10 (perte de capacité de concentration et de réabsorption tubulaire).","Le document donne ces valeurs.","Medium"
"Quel est l'intérêt du calcul de la fraction d'épuration du sodium (FE Na) dans le diagnostic différentiel IRAF/NTA ?","FE Na <1% : IRAF (le rein retient le sodium par hypovolémie). FE Na >1-2% : NTA (lésion tubulaire empêchant la réabsorption du sodium).","Le document donne ces seuils.","Medium"
"Pourquoi les AINS sont-ils contre-indiqués en cas d'IRA ou d'IRC ?","Les AINS inhibent la synthèse des prostaglandines qui maintiennent la vasodilatation de l'artériole afférente, réduisant le flux sanguin rénal, aggravant l'IRA.","Le document mentionne la CI des AINS.","Medium"
"Quel est l'effet de l'association IEC + AINS sur la filtration glomérulaire ?","L'IEC dilate l'artériole efférente (réduction de la pression glomérulaire) ; l'AINS inhibe les prostaglandines (vasoconstriction afférente). L'effet combiné réduit le DFG de façon additive, pouvant précipiter une IRA.","Le document mentionne que l'association ''peut abîmer rapidement la fonction rénale''.","Difficult"
"Un patient a une IRA, une créatinine à 500 µmol/l, une kaliémie à 7,2 mmol/l, un pH à 7,20. Quel traitement immédiat selon la séquence recommandée ?","1) Calcium IV (antagoniste membranaire) ; 2) Insuline + SGH ; 3) Salbutamol si non coronarien ; 4) Bicarbonate ; 5) Préparer hémodialyse en urgence.","Issu du chapitre hyperkaliémie.","Difficult"
"Quel est le risque d'une biopsie rénale précoce dans une IRA par microangiopathie thrombotique avec thrombopénie sévère ?","Risque hémorragique majeur (thrombopénie). La biopsie est contre-indiquée tant que la thrombopénie n'est pas corrigée.","Le document mentionne la thrombopénie dans le SHU.","Difficult"
"Quelles sont les trois indications d'épuration extrarénale en urgence dans l'IRA ?","1) Hyperkaliémie sévère réfractaire (>7 mmol/l avec signes ECG) ; 2) Surcharge hydrique avec OAP réfractaire aux diurétiques ; 3) Acidose métabolique sévère (pH <7,1) ; 4) Syndrome urémique (péricardite, encéphalopathie).","Synthèse des complications de l'IRA.","Difficult"
"Un patient de 80 ans, insuffisant cardiaque, sous furosémide et IEC, a une créatinine à 200 µmol/l (basale 80), kaliémie 5,8 mmol/l. Faut-il arrêter l'IEC ?","Oui, arrêt temporaire de l'IEC car il majore l'hyperkaliémie et peut aggraver l'IRA fonctionnelle dans ce contexte de décompensation cardiaque.","Adaptation des IEC en IRA.","Difficult"
"Quel est le risque d'une perfusion trop rapide de soluté salé chez un patient avec IRA fonctionnelle sur déshydratation et insuffisance cardiaque sous-jacente ?","Risque de décompensation cardiaque aiguë (OAP) par surcharge volémique. Chez ces patients, la réhydratation doit être prudente avec surveillance de la pression veineuse centrale.","Le document ne le détaille pas mais c'est une complication classique.","Difficult"
"Quelle est la place du cathéter sus-pubien dans la dérivation urinaire d'une IRA obstructive et quelles sont ses contre-indications ?","Cathéter sus-pubien indiqué quand le sondage vésical est impossible (sténose urétrale, tumeur vésicale). Contre-indications : hématurie, tumeur vésicale (risque de dissémination ou hémorragie).","Le document mentionne les CI.","Medium"
"Quelle est la particularité de la protéinurie dans la nécrose tubulaire aiguë par rapport aux glomérulopathies ?","NTA : protéinurie modérée (<1-2g/24h), de type tubulaire (non sélective). Glomérulopathies : protéinurie >3g/24h, de type glomérulaire (albuminurie prédominante).","Le document mentionne la protéinurie tubulaire <1g/l dans les NIA.","Medium"
"Un patient a une IRA, une créatinine à 400 µmol/l, des CPK à 50 000 UI/l, une kaliémie à 6,5 mmol/l, une calcémie à 1,8 mmol/l. Quel diagnostic ?","Rhabdomyolyse avec IRA, hyperkaliémie, hypocalcémie (précipitation calcique dans les muscles nécrosés). Traitement : hydratation massive, alcalinisation, surveiller la kaliémie.","Le document mentionne rhabdomyolyse et hypocalcémie.","Difficult"
"Quel est le rôle de l'ASP dans le bilan d'une IRA obstructive ?","L'ASP (radiographie de l'abdomen sans préparation) peut montrer des lithiases radio-opaques (calculs calciques) mais ne visualise ni la dilatation ni les obstacles non radio-opaques. L'échographie est l'examen de référence.","Le document mentionne l'ASP mais privilégie l'échographie.","Medium"
"Quelle est la conduite à tenir devant une IRA sur fibrose rétropéritonéale idiopathique (maladie d'Ormond) ?","Dérivation urinaire (néphrostomie ou sonde JJ) en urgence, puis traitement étiologique (corticoïdes ± immunosuppresseurs) pour réduire la fibrose.","Le document mentionne la fibrose rétropéritonéale.","Difficult"
"Un patient a une IRA, une protéinurie à 0,8g/l, une leucocyturie aseptique, des éosinophiles dans les urines, une éosinophilie sanguine. Le patient a commencé des pénicillines il y a 2 semaines. Quel diagnostic et quel traitement ?","Néphrite interstitielle aiguë immunoallergique aux pénicillines. Traitement : arrêt de la pénicilline, corticothérapie si fonction rénale ne s'améliore pas.","Le document associe NIA aux pénicillines.","Medium"
"Quelle est la prévention de l'IRA chez un patient devant subir une artériographie avec injection de produit de contraste et ayant une insuffisance rénale chronique ?","Hydratation par SSI ou bicarbonate 1,4% (1ml/kg/h) débutée avant l'examen et poursuivie 6-12h après, arrêt des AINS et diurétiques, utilisation de produit iso-osmolaire.","Le document donne ces recommandations.","Difficult"
