question, answer, explanation, difficulty
"L'aménorrhée secondaire est définie par une absence de règles depuis plus de 6 mois.", False, "Le document : 'absence de menstruation depuis plus de 3 mois'", "Easy"
"La grossesse est la principale cause d'aménorrhée secondaire.", True, "Le document : 'Principale cause = grossesse'", "Easy"
"Le test aux progestatifs est positif s'il n'y a pas de saignement après l'arrêt des progestatifs.", False, "Le document : 'Quelques jours après fin de prise, il doit y avoir un saignement génital = endomètre normal' – absence de saignement = négatif", "Easy"
"Le syndrome de Sheehan survient après une césarienne hémorragique.", False, "Le document : 'Après un accouchement hémorragique (Sd de Sheehan)'", "Easy"
"Un adénome à prolactine est suspecté devant une prolactinémie > 100 ng/mL.", True, "Le document : 'Adénome à prolactine (> 100ng/ml)'", "Easy"
"Les synéchies utérines sont diagnostiquées par hystéroscopie.", True, "Le document : 'Synéchies utérines : Hystéroscopie : -> diagnostic'", "Easy"
"La ménopause précoce se caractérise par une FSH basse et des œstrogènes élevés.", False, "Le document : 'Ménopause précoce : FSH et LH élevées, oestrogènes effondrées'", "Easy"
"La sténose cicatricielle du col peut entraîner une stérilité.", True, "Le document : 'Sténose cicatricielle du col utérin : Dysménorrhée spasmodique, stérilité'", "Easy"
"Les neuroleptiques peuvent induire une hyperprolactinémie iatrogène.", True, "Le document : 'Hyperprolactinémie iatrogène : neuroleptiques'", "Easy"
"Le traitement des synéchies utérines consiste en une résection sous hystéroscopie.", True, "Le document : 'Traitement : effondrer la synéchie sous hystéroscopie'", "Easy"
"Dans le syndrome de Sheehan, on observe une montée laiteuse normale.", False, "Le document : 'Sd de Sheehan : pas de montée laiteuse'", "Easy"
"La courbe de température normale est monophasique.", False, "Le document : 'Normale si décalage thermique' – biphasique", "Easy"
"L'hystéroscopie est indiquée d'emblée devant toute aménorrhée secondaire.", False, "Le document : 'Hystéroscopie : état de l’endomètre si test de grossesse négatif' – après test de grossesse d'abord", "Medium"
"80% des étiologies d'aménorrhée secondaire sont diagnostiquées à l'interrogatoire.", True, "Le document : '80% des étiologies sont diagnostiquées à l’interrogatoire'", "Easy"
"L'anorexie mentale peut entraîner une aménorrhée par mécanisme hypothalamique.", True, "Le document : 'Anorexie -> maigreur extrême -> aménorrhée' dans causes hypothalamiques", "Medium"
"La dystrophie ovarienne est traitée par oestroprogestatifs en première intention si désir de grossesse.", False, "Le document : 'citrate de clomifène si désirs de grossesse'", "Medium"
"La bromocriptine est un traitement antiprolactinique.", True, "Le document : 'antiprolactines = bromocriptine, cabergoline'", "Easy"
"Un test de grossesse positif à 3 mUI/mL est considéré comme normal.", False, "Le document : 'positif si > 5mUI/mL' – 3 mUI/mL est négatif", "Easy"
"Les femmes athlètes de haut niveau peuvent présenter une aménorrhée par augmentation de la LH.", True, "Le document : 'Athlètes de haut niveau : entrainement intense (augmentation de LH)'", "Medium"
"Le traitement de la ménopause précoce repose sur la bromocriptine.", False, "Le document : 'Traitement substitutif oestro-progestatif'", "Medium"
"Une aménorrhée psychogène peut survenir après un viol.", True, "Le document : 'Psychogène : viol'", "Easy"
"Le traitement du syndrome de Sheehan est temporaire, guérissant spontanément après quelques mois.", False, "Le document : 'traitement substitutif à vie'", "Medium"
"La cimétidine peut induire une hyperprolactinémie.", True, "Le document liste la cimétidine parmi les causes iatrogènes", "Medium"
"Une aménorrhée post-pillule est toujours définitive.", False, "Le document classe post-pillule parmi aménorrhées hypothalamiques, souvent réversible", "Medium"
"L'hypertrophie de l'endomètre à l'échographie oriente vers une imprégnation oestrogénique insuffisante.", False, "Hypertrophie = hyperoestrogénie, atrophie = carence", "Medium"
"Le citrate de clomifène est utilisé dans le traitement de la dystrophie ovarienne sans désir de grossesse.", False, "Le document : 'si désirs de grossesse'", "Medium"
"Expliquez pourquoi l'absence de saignement après test aux progestatifs élimine une cause basse utérine.", "Si l'endomètre ne répond pas, il peut être atrophique (carence oestrogénique) ou synéchié", "Logique documentaire : test positif = endomètre normal", "Difficult"
"Le syndrome de Sheehan entraîne un déficit isolé en gonadotrophines.", False, "Le document : insuffisance hypophysaire globale (FSH, LH, TSH, ACTH)", "Difficult"
"Un taux de prolactine à 80 ng/mL associé à une aménorrhée oriente vers un adénome hypophysaire.", False, "Car adénome > 100 ng/mL selon document", "Medium"
"La recherche de galactorrhée et de céphalées est importante dans le bilan d'une hyperprolactinémie.", True, "Le document : 'Céphalée, trouble visuel, galactorrhée' pour adénome à prolactine", "Medium"
