"question","answer","explanation","difficulty"
"Qu'est-ce que le rachitisme carentiel ?","Trouble de la minéralisation du squelette en croissance dû à une carence en vitamine D, survenant chez l'enfant de 6 à 18 mois.","Document: Introduction","Easy"
"Quelles sont les trois actions principales de la vitamine D ?","1. Absorption du calcium ; 2. Fixation du calcium sur la trame protéique ; 3. Stimulation du remodelage osseux.","Document: 'Action de la vitamine D'","Easy"
"Citez quatre signes cliniques osseux du rachitisme.","Craniotabès, retard de fermeture de la fontanelle, chapelet costal, genu varum, nouures épiphysaires, aspect en carène (au choix quatre).","Document: Signes cliniques","Easy"
"Quels sont les trois signes radiologiques métaphysaires du rachitisme ?","Élargissement des bases métaphysaires avec aspect en cupule ou 'toit de pagode', élargissement des zones radio-transparentes (points d'ossification), spicules latéraux.","Document: 'SIGNES METAPHYSAIRES'","Easy"
"Quels sont les signes biologiques du rachitisme ?","Phosphatase alcaline élevée, hypocalcémie ou normocalcémie, hypophosphorémie constante, hyperphosphaturie.","Document: 'SIGNES BIOLOGIQUES'","Easy"
"Quel est le traitement curatif du rachitisme sans hypocalcémie sévère ?","Vitamine D 200 000 UI par voie orale en une dose, à renouveler 1 mois plus tard, associée à du gluconate de calcium 0,5 à 1 g/j pendant 15 jours.","Document: 'Si calcémie > 2mmol/l ou Signe radiologique'","Easy"
"Quel est le traitement de l'hypocalcémie sévère (<2 mmol/l) ?","Urgence : supplémentation intraveineuse de gluconate de calcium 10% (500-1500 mg/m²/24h dilué dans SGI 5%), puis après 24-48h, vitamine D et calcium per os.","Document: 'Traitement de l’hypocalcémie sévère'","Easy"
"Quel est le schéma de supplémentation préventive en vitamine D de la naissance à 18 mois ?","1200 UI par jour (3 gouttes de Sterogyl* jusqu'à 6 mois, puis 4 gouttes jusqu'à 18 mois), ou dose de charge de 80 000 à 100 000 UI tous les 3 à 4 mois.","Document: 'De la naissance à 18 mois'","Easy"
"Quelle est la prévention chez la femme enceinte ?","Administration de 100 000 à 200 000 UI de vitamine D au 7ème mois de grossesse (dernier trimestre).","Document: 'Avant la naissance'","Easy"
"Quels sont les signes de la forme précoce du rachitisme (<6 mois) ?","Tétanie hypocalcémique : trémulations, hyperexcitabilité, convulsions ; signes osseux discrets ; biologie : calcémie basse, phosphorémie normale, PAL élevée.","Document: 'Formes cliniques : Stade précoce'","Medium"
"Quels sont les signes de la forme du grand enfant (>2 ans) ?","Rachitisme sévère : douleurs osseuses diffuses (rachis, ceinture), marche dandinante, faiblesse musculaire, déformations osseuses (genu varum/valgum, thorax en cloche, sternum en carène, fractures).","Document: 'Forme clinique du grand enfant > 2 ans'","Medium"
"Citez quatre étiologies de rachitisme par défaut de métabolisation de la vitamine D.","Malabsorption (maladie cœliaque, mucoviscidose), absence de sels biliaires (cholestase), maladie rénale (syndrome néphrotique), iatrogène (anticonvulsivants, corticoïdes).","Document: 'Vitamine D non métabolisé'","Medium"
"Quel est le délai de correction biologique et radiologique sous traitement ?","Calcémie corrigée en 48h, PAL normalisée en 1 mois, bande dense transversale métaphysaire visible à 3 semaines.","Document: 'EVOLUTION SOUS TRAITEMENT'","Medium"
"Quel est le risque de l'absence de supplémentation en vitamine D chez le nourrisson ?","Rachitisme carentiel avec déformations osseuses (genu varum, thorax en carène), fractures spontanées, retard staturo-pondéral, infections respiratoires à répétition.","Document: Conséquences du rachitisme","Medium"
"Un enfant de 9 mois présente un craniotabès, un retard de fermeture de la fontanelle, un chapelet costal, une hypotonie. Il n'a pas reçu de vitamine D. Quel diagnostic et quel traitement ?","Rachitisme carentiel. Traitement : vitamine D 200 000 UI en une dose (à renouveler 1 mois plus tard) + gluconate de calcium 0,5-1 g/j pendant 15 jours.","Document: Diagnostic positif et traitement","Medium"
"Un enfant de 4 mois présente des convulsions, une hyperexcitabilité, une calcémie à 1,8 mmol/l, une PAL élevée. Quel diagnostic et quel traitement urgent ?","Tétanie hypocalcémique du rachitisme précoce. Urgence : gluconate de calcium IV (500-1500 mg/m²/24h) puis après normalisation, vitamine D + calcium per os.","Document: 'Stade précoce' et 'Traitement de l’hypocalcémie sévère'","Difficult"
"Un enfant de 7 ans a des douleurs osseuses diffuses, une marche dandinante, un genu varum, sans supplémentation en vitamine D. Quelle forme clinique et quel traitement ?","Rachitisme carentiel du grand enfant. Traitement : vitamine D 200 000 UI + calcium per os (0,5-1 g/j pendant 15 jours), puis dose de charge préventive.","Document: 'Forme clinique du grand enfant' et traitement","Difficult"
"Quelle est la différence entre rachitisme et ostéomalacie ?","Rachitisme : trouble de la minéralisation du squelette en croissance (enfant). Ostéomalacie : trouble de la minéralisation de l'os adulte (après fermeture des cartilages de conjugaison).","Document non détaillé mais classique ; à déduire","Difficult"
"Quel est le traitement des carences associées dans le rachitisme ?","Supplémentation en fer et folates (anémie ferriprive).","Document: 'Traitement des carences associées en fer et folates'","Medium"
"Un enfant de 18 mois a un rachitisme. Ses parents demandent la prévention pour les prochains hivers. Que conseillez-vous ?","Après 18 mois, une dose de 80 000 à 100 000 UI de vitamine D au milieu de l'hiver, jusqu'à la fin de la croissance.","Document: 'Après 18 mois'","Medium"
"Quel est le signe radiologique d'évolution favorable à 3 semaines de traitement ?","Apparition d'une bande dense transversale entre la métaphyse et l'épiphyse.","Document: 'Apparition d’une bande dense transversale entre la métaphyse et l’épiphyse à 3 semaines de traitement'","Medium"
"Quels sont les signes de gravité du rachitisme ?","Fractures spontanées, déformations osseuses sévères (genu varum, cyphoscoliose), retentissement respiratoire (infections à répétition), retard staturo-pondéral.","Document: Signes cliniques","Medium"
"Quel est le traitement du rachitisme chez un enfant avec malabsorption (mucoviscidose) ?","Vitamine D à plus fortes doses (souvent 200 000 UI par mois) et calcium per os, traiter la cause.","Document non détaillé, mais logique","Difficult"
"Quel est le mécanisme de l'hyperlaxité ligamentaire dans le rachitisme ?","Hypotonie musculaire et fragilité osseuse entraînant une laxité.","Document: 'Hypotonie musculaire ; Hyperlaxité ligamentaire'","Medium"
"Pourquoi le rachitisme favorise-t-il les infections respiratoires ?","Déformation thoracique (aspect en carène, élargissement de la base) entraînant une mauvaise ampliation thoracique, des échanges gazeux réduits, et une stagnation bronchique.","Document: 'poumon rachitique'","Medium"
"Quel est le rôle du gluconate de calcium dans le traitement curatif ?","Corriger l'hypocalcémie et apporter le calcium nécessaire à la minéralisation osseuse pendant que la vitamine D agit.","Document: 'Gluconate de calcium 0,5 à 1g/j pendant 15 jours'","Medium"
"Un enfant de 5 mois a un rachitisme avec convulsions. Quelle est la conduite à tenir en urgence ?","Hospitalisation, voie veineuse, gluconate de calcium IV (10%) 500-1500 mg/m²/24h, contrôle calcémique, puis vitamine D per os après 24-48h.","Document: 'Traitement de l’hypocalcémie sévère'","Difficult"
"Quel est le risque de l'administration de vitamine D sans calcium en cas d'hypocalcémie sévère ?","Aggravation de l'hypocalcémie par captation osseuse (syndrome de l'os affamé).","Document: nécessité de calcium d'abord","Difficult"
"Quel est le traitement préventif chez l'adolescent à risque (peau pigmentée, peu d'exposition solaire) ?","Administration régulière de 80 000 à 100 000 UI de vitamine D tous les 3 à 4 mois.","Document: 'Pour toutes les situations à risque chez le grand enfant et l’adolescent'","Medium"
"Quelle est la particularité de la plagiocéphalie dans le rachitisme ?","Aplatissement occipital ou pariétal chez le nourrisson de moins d'un an, avec aspect de bombement frontal.","Document: 'Plagiocéphalie : aplatissement occipital ou pariétal (< 1 an) et aspect de bombement frontal'","Medium"
"Quel est le signe radiologique costal du rachitisme ?","Élargissement de la jonction chondrocostale 'images en bouchon de champagne' et fractures costales.","Document: 'LESIONS DU THORAX'","Medium"
"Un enfant de 2 ans a un rachitisme non traité. Quel signe radiologique crânien peut apparaître ?","Épaississement de la voûte après 2 ans, élargissement des sutures et des fontanelles.","Document: 'CRANE'","Medium"
"Quel est l'objectif de la supplémentation en vitamine D chez la femme enceinte ?","Prévenir le rachitisme congénital et constituer les réserves du nouveau-né.","Document: 'Avant la naissance'","Medium"
"Quel est le traitement des déformations osseuses résiduelles après traitement médical ?","Rééducation, appareillage orthopédique, parfois chirurgie (ostéotomie).","Document: 'peuvent nécessiter un traitement orthopédique d’appoint'","Difficult"
"Un enfant de 3 ans a un rachitisme avec une phosphorémie normale. Quelle cause inhabituelle évoquer ?","Rachitisme hypophosphatémique familial (génétique) ou tumeur.","Document non détaillé","Difficult"
"Quel est le risque de la supplémentation excessive en vitamine D ?","Hypercalcémie, lithiase rénale, calcifications ectopiques.","Document non détaillé","Difficult"
