"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition des vomissements ?","Rejets passifs du contenu gastrique","Rejets actifs de tout ou partie du contenu gastrique ou intestinal par la bouche, associant contraction du diaphragme et des muscles abdominaux","Remontée passive du contenu gastrique sans effort","Rumination volontaire","2","Document: 'Rejets actifs de tout ou d'une partie du contenu gastrique ou intestinal par la bouche. Ils associent une contraction du diaphragme et des muscles de la paroi abdominale'","Easy"
"Quelle est la différence entre un vomissement et une régurgitation ?","Le vomissement est passif, la régurgitation est active","Le vomissement associe des efforts abdominaux et diaphragmatiques, la régurgitation est passive","La régurgitation est un rejet actif","Il n'y a pas de différence","2","Document: 'A différencier d'une RÉGURGITATION : Remontée passive du contenu gastrique sans effort'","Easy"
"Qu'est-ce que le mérycisme ?","Rumination volontaire : aliment régurgité, remâché puis dégluti","Reflux gastro-œsophagien","Vomissement incoercible","Régurgitation du nouveau-né","1","Document: 'MÉRYCISME : Rumination volontairement régurgitée, remâchée puis à nouveau déglutie'","Easy"
"Quel est un signe de retentissement grave des vomissements ?","Fièvre","Hypovolémie, déshydratation aiguë","Douleur abdominale","Anorexie","2","Document: 'Signes de retentissement grave : Hypovolémie, déshydratation aiguë'","Easy"
"Quel signe abdominal est un signe de gravité ?","Météorisme, cicatrice abdominale, ondes péristaltiques, hernie étranglée","Constipation","Diarrhée","Ballonnement postprandial","1","Document: 'Signes abdominaux : Météorisme, cicatrice abdominale, ondes péristaltiques, hernie étranglée, Défense abdominale, boudin d'invagination, hépatomégalie'","Easy"
"Quel signe neurologique évoque une hypertension intracrânienne (HTIC) chez un nourrisson de moins de 19 mois ?","Regard en coucher de soleil","Fontanelle déprimée","Microcéphalie","Convulsions","1","Document: 'HTIC : fontanelle bombée (moins de 19 mois), regard en coucher de soleil'","Easy"
"Quel est le premier geste d'urgence devant des vomissements avec déshydratation sévère ?","Administrer des antiémétiques","Correction de l'hypovolémie par remplissage vasculaire","Pose d'une sonde nasogastrique","Bilan biologique","2","Document: 'Correction d'une hypovolémie : Remplissage vasculaire si déshydratation sévère'","Easy"
"Quel soluté et quel volume sont recommandés pour le remplissage vasculaire chez l'enfant déshydraté ?","NaCl 0,9% 10 ml/kg sur 10 minutes","NaCl 0,9% 20 ml/kg sur 20 minutes, à renouveler 2 ou 3 fois","Glucose 5% 20 ml/kg","Gélatines 15 ml/kg","2","Document: 'NaCl 0,9% 20ml/kg (max : 500ml) sur 20 minutes, 2 ou 3 fois'","Easy"
"Quel est le signe d'un vomissement bilieux ?","Reflux gastro-œsophagien","Syndrome occlusif","Gastroentérite","Allergie alimentaire","2","Document: 'Si Syndrome occlusif ou vomissement BILIEUX'","Easy"
"Quel examen d'imagerie est indiqué en cas de suspicion de syndrome occlusif ?","IRM abdominale","Radiographie de l'abdomen sans préparation (ASP) et échographie abdominale","Scanner thoracique","Fibroscopie","2","Document: 'Rx ASP, Échographie abdominale'","Easy"
"Quel examen est indiqué en cas de vomissement sanglant ou signes d'œsophagite ?","Fibroscopie œsogastrique","Radiographie","Échographie","Scanner","1","Document: 'Si vomissement sanglant ou signes d'œsophagites : Fibroscopie œsogastrique'","Easy"
