question, answer, explanation, difficulty
"Comparez les caractéristiques cliniques de l'avortement spontané et de la grossesse extra-utérine.", "Avortement spontané : hémorragies franches rouges avec caillots, douleurs médianes à type de contractions, disparition signes sympathiques, col perméable. GEU : hémorragies peu abondantes noirâtres, douleurs latéralisées sourdes avec accès intenses, utérus moins gros, col tonique et ferme, masse latéro-utérine", "Document détaille les deux tableaux", "Difficult"
"Quels sont les signes échographiques caractéristiques de l'avortement spontané ?", "Sac ovulaire intra-utérin visible mais anormal : embryon sans activité cardiaque ou œuf clair, contours irréguliers, aplati, taille inférieure à l'âge gestationnel", "Document : 'embryon sans activité cardiaque ou œuf clair, souvent aplati, à contours irréguliers, plus petit'", "Medium"
"Quels sont les signes échographiques caractéristiques de la GEU ?", "Utérus vide, masse latéro-utérine (inconstante), épanchement dans le Douglas", "Document : 'Utérus vide, Masse latéro-utérine, (signe inconstant), Epanchement dans le Douglas'", "Medium"
"Quels sont les signes échographiques caractéristiques de la grossesse molaire ?", "Utérus occupé par une masse hétérogène, floconneuse, contenant de multiples petites vésicules (en nid d'abeille). Pas de cavité ovulaire ni d'embryon visible", "Document : 'masse hétérogène, floconneuse, contenant de multiples petites vésicules (en nid d'abeille). Il n'y a ni cavité ovulaire, ni embryon visible'", "Medium"
"Expliquez la prise en charge d'une grossesse molaire après aspiration.", "Examen anatomopathologique systématique, suivi de la décroissance des β-hCG jusqu'à négativation. En cas d'absence de décroissance ou re-ascension : redouter mole invasive ou choriocarcinome, bilan d'extension (échographie hépatique et pelvienne, radio pulmonaire, examen vaginal), puis chimiothérapie", "Document détaille ces étapes", "Difficult"
"Quels sont les facteurs de risque de grossesse extra-utérine cités ?", "Antécédents de stérilité, salpingite, chirurgie tubaire, GEU, grossesse sous DIU ou microprogestatifs ou AMP", "Document énumère ces facteurs", "Medium"
"Qu'est-ce que l'hématome décidual et quel est son pronostic ?", "Image liquidienne entre l'œuf et la paroi utérine, correspondant à un décollement. Évolution généralement favorable malgré parfois longue", "Document : 'image liquidienne entre les contours de l'œuf et la paroi utérine (décollement), L'évolution est parfois longue mais généralement favorable'", "Medium"
"Pourquoi la prévention de l'iso-immunisation rhésus est-elle importante en cas de saignement du premier trimestre ?", "Pour éviter la formation d'anticorps anti-D chez la femme Rh négatif, qui pourraient hémolyser les globules rouges d'une future grossesse Rh positif", "Document : 'Prévention de l'iso-immunisation rhésus si la femme est rhésus négatif +++++'", "Medium"
"Quelle est la conduite à tenir devant une suspicion de GEU ?", "Évaluation hémodynamique, dosage hCG, échographie pelvienne, traitement médical (méthotrexate) ou chirurgical conservateur/non conservateur selon contexte", "Document : 'Evaluation de l'état hémodynamique, Traitement médical ou chirurgical'", "Medium"
"Quelle est la différence de prise en charge entre avortement spontané et grossesse molaire ?", "Avortement : prostaglandines ou aspiration ; Môle : aspiration systématique avec anatomopathologie et surveillance prolongée des β-hCG", "Document détaille les deux", "Medium"
"Quels sont les trois examens d'imagerie du bilan d'extension d'une môle invasive ?", "Échographie hépatique et pelvienne, radiographie pulmonaire, examen vaginal", "Document : 'échographie hépatique et pelvienne, radiographie pumonaire et examen vaginal'", "Difficult"
"Pourquoi l'utérus est-il moins gros dans la GEU que dans une grossesse intra-utérine au même terme ?", "Car la grossesse se développe en dehors de la cavité utérine (trompe, ovaire, abdomen), ne stimulant pas la croissance utérine", "Document : 'Utérus moins gros par rapport à l'âge de la grossesse'", "Difficult"
"Quel est l'intérêt du dosage des β-hCG dans le diagnostic des saignements du premier trimestre ?", "Confirmer la grossesse, orienter vers môle (taux très élevés), suivre l'évolution après traitement", "Document : 'Taux plasmatiques d'hCG très élevés' dans la môle", "Medium"
"Pourquoi les signes sympathiques de grossesse sont-ils très intenses dans la grossesse molaire ?", "Car le taux de β-hCG est très élevé, stimulant excessivement les ovaires et le trophoblaste", "Document : 'Signes sympathiques de grossesse très intenses, Taux plasmatiques d'hCG très élevés'", "Medium"
"Quelle est la conduite à tenir devant une femme en choc hémorragique par GEU rompue ?", "Mise en condition, remplissage, chirurgie d'urgence (salpingectomie)", "Document : 'Evaluation de l'état hémodynamique, Mise en condition si choc'", "Medium"
"Quel est l'aspect des débris ovulaires au spéculum dans l'avortement spontané ?", "Présence de débris ovulaires au niveau du col", "Document : 'Examen au speculum : présence de débris ovulaires ? (En fausse couche spontanée)'", "Medium"
"Pourquoi le traitement chirurgical de l'avortement spontané se fait-il par aspiration et non par curetage ?", "Moins traumatisant pour l'endomètre, réduit le risque de synéchies", "Document : 'aspiration avec une canule (plus de curetage actuellement)'", "Difficult"
"Quel est le signe de gravité de la grossesse molaire après traitement ?", "Absence de décroissance ou re-ascension des β-hCG, évoquant une mole invasive ou un choriocarcinome", "Document : 'En l'absence de décroissance voire de re-ascension, il faudra redouter une mole invasive ou un choriocarcinome'", "Medium"
"Quels sont les deux types de traitement de la GEU selon le document ?", "Traitement médical et traitement chirurgical (conservateur ou non conservateur)", "Document : 'Traitement médical ou traitement chirurgical : conservateur ou non conservateur, selon le contexte'", "Easy"
"Quel est l'aspect de l'œuf dans l'avortement spontané à l'échographie ?", "Œuf clair ou embryon sans activité cardiaque, aplati, contours irréguliers, plus petit que l'âge gestationnel", "Document : 'œuf clair, sans écho embryonnaire, souvent aplati, à contours irréguliers, plus petit'", "Medium"
"Pourquoi la GEU est-elle une urgence diagnostique et thérapeutique ?", "Risque de rupture, hémorragie interne, choc hémorragique et décès", "Document : 'Urgence diagnostique et thérapeutique : pronostic en jeu en cas de GEU rompu'", "Easy"
"Quel est le signe échographique de l'hématome décidual ?", "Image liquidienne entre l'œuf et la paroi utérine", "Document : 'image liquidienne entre les contours de l'œuf et la paroi utérine (décollement)'", "Easy"
"Quelle est la particularité de la grossesse molaire sur le plan géographique ?", "Fréquente en Asie du Sud-Est et Afrique, exceptionnelle en Occident", "Document : 'Exceptionnelle en occident. Fréquente en Asie du Sud-Est et Afrique'", "Easy"
"Quel est l'aspect du col dans l'avortement spontané ?", "Col perméable (ouvert)", "Document implicite par opposition à col tonique et ferme de la GEU", "Medium"
"Quels sont les trois objectifs de la consultation devant un saignement du premier trimestre ?", "Diagnostiquer l'étiologie, évaluer la gravité (état hémodynamique), prévenir l'iso-immunisation rhésus", "Document : 'Evaluation de l'état hémodynamique, Prévention de l'iso-immunisation rhésus'", "Medium"
"Pourquoi l'échographie endovaginale est-elle préférable à la voie sus-pubienne au premier trimestre ?", "Meilleure résolution, visualisation plus précoce du sac ovulaire", "Document : 'au mieux par voie vaginale'", "Easy"
"Quels sont les trois diagnostics étiologiques principaux des saignements du premier trimestre ?", "Avortement spontané, grossesse extra-utérine, grossesse molaire, grossesse intra-utérine évolutive avec hématome", "Document détaille ces quatre étiologies", "Easy"
"Quel est le traitement de la môle invasive ?", "Chimiothérapie après bilan d'extension", "Document : 'Une chimiothérapie est alors indiquée après bilan d'extension'", "Medium"
"Quel est le risque d'une môle non surveillée après aspiration ?", "Choriocarcinome, métastases (poumon, foie, vagin, cerveau)", "Document : 'extension au niveau du cerveau'", "Difficult"
"Quelle est la définition d'un saignement du premier trimestre ?", "Saignement de la filière génitale survenu dans le premier trimestre de la grossesse", "Document : 'saignement de la filière génitale survenue dans le premier trimestre de la grossesse'", "Easy"
