"question","answer","explanation","difficulty"
"Quelle est la définition de l'hypokaliémie selon le document ?","Concentration plasmatique de potassium < 3,5 mmol/l.","Le document donne cette définition.","Easy"
"Quels sont les quatre types de conséquences de l'hypokaliémie selon le document ?","Conséquences myocardiques, musculaires squelettiques, métaboliques et rénales.","Le document liste ces quatre types.","Easy"
"Quel signe ECG est pathognomonique de l'hypokaliémie et pourquoi ?","La torsade de pointe, car elle est spécifique de l'hypokaliémie.","Le document indique : ''Torsade de pointe (pathognomonique d'une hypokaliémie)''.","Easy"
"Quels sont les trois signes ECG de l'hypokaliémie cités dans le document ?","Dépression du segment ST, affaissement ou inversion de l'onde T, apparition de l'onde U, allongement de QT ou QU, élargissement QRS, torsade de pointe.","Le document liste ces signes.","Easy"
"Quelle est la valeur de la kaliurie qui oriente vers une cause rénale et celle qui oriente vers une cause extra-rénale ?","Cause rénale : kaliurie > 25 mmol/l ; Cause extra-rénale : kaliurie < 15 mmol/l.","Le document donne ces seuils.","Easy"
"Quelles sont les deux grandes causes extra-rénales d'hypokaliémie selon le document ?","1) Pertes digestives (diarrhée, laxatifs, drainage digestif) ; 2) Carence d'apport (anorexie mentale, nutrition artificielle exclusive).","Le document structure ces causes.","Easy"
"Quelle est la différence entre l'hyperaldostéronisme primitif et secondaire sur le plan de la rénine et de la pression artérielle ?","Primitif : rénine basse, HTA présente ; Secondaire : rénine élevée, HTA présente. Les deux donnent une HTA.","Le document précise les niveaux de rénine.","Medium"
"Quelles sont les deux pathologies génétiques responsables d'hypokaliémie sans HTA ?","Syndrome de Gitelman et syndrome de Bartter.","Le document les cite.","Medium"
"Expliquez le mécanisme de l'hypokaliémie induite par les diurétiques de l'anse.","Les diurétiques de l'anse augmentent l'élimination de sodium et d'eau, ce qui active la pompe Na+/K+ au niveau tubulaire, augmentant l'excrétion de potassium.","Le document explique ce mécanisme.","Medium"
"Quels sont les trois mécanismes de transfert excessif de potassium vers le secteur cellulaire ?","1) Alcalose métabolique ou respiratoire ; 2) Administration d'insuline ; 3) Agents bêta-adrénergiques (endogènes comme phéochromocytome ou exogènes).","Le document liste ces causes.","Medium"
"Pourquoi l'insuline peut-elle provoquer une hypokaliémie ?","L'insuline active la pompe Na+/K+ ATPase, ce qui favorise l'entrée du potassium dans les cellules (transfert intracellulaire).","Le document classe l'insuline dans les causes de transfert excessif.","Medium"
"Quelle est la conduite à tenir devant une hypokaliémie modérée sans signes ECG ?","Supplémentation potassique orale : aliments riches en potassium (bananes, légumes, viandes, chocolat) ou chlorure de potassium (KALEORID*, DIFFU-K*).","Le document détaille la prise en charge.","Medium"
"Quelle est la conduite à tenir devant une hypokaliémie sévère ou compliquée de signes cardiaques ?","Chlorure de potassium dilué par voie veineuse, avec un débit ne dépassant pas 1,5 g/h, sous surveillance répétée de la kaliémie et du rythme cardiaque.","Le document précise cette prise en charge.","Medium"
"Pourquoi la surveillance du rythme cardiaque est-elle essentielle lors de la perfusion de KCl ?","Car une perfusion trop rapide peut entraîner des troubles du rythme (hyperkaliémie iatrogène, torsade de pointe). Le potassium est un électrolyte à marge thérapeutique étroite.","Le document insiste sur la surveillance.","Difficult"
"Un patient a une hypokaliémie à 2,8 mmol/l, une HTA et une kaliurie à 30 mmol/l avec rénine basse. Quel est le diagnostic le plus probable et pourquoi ?","Hyperaldostéronisme primitif (syndrome de Conn) : HTA + kaliurie élevée (>25) oriente vers cause rénale ; rénine basse oriente vers primitif (adénome surrénalien).","Le document différencie primitif (rénine basse) et secondaire (rénine élevée).","Difficult"
"Un patient asthmatique traité par bêta-agonistes inhalés présente une hypokaliémie à 3,0 mmol/l sans diarrhée ni diurétique. Quel est le mécanisme probable ?","Transfert excessif vers le secteur cellulaire par les agents bêta-adrénergiques exogènes.","Le document cite les agents bêta-adrénergiques comme cause d'hypokaliémie.","Difficult"
"Quel est le risque principal de la supplémentation potassique orale par microcapsules à libération prolongée ?","Lésions digestives (ulcérations, sténoses) par libération localisée du potassium. D'où l'importance de formes adaptées.","Le document mentionne les formes à libération prolongée.","Difficult"
"Pourquoi l'hypomagnésémie peut-elle être associée à une hypokaliémie réfractaire à la supplémentation potassique ?","Car le magnésium est nécessaire à la pompe Na+/K+ ATPase ; sans magnésium, la correction du potassium est impossible.","Le document mentionne l'hypomagnésémie comme cause sans élucider le mécanisme.","Difficult"
"Un patient sous diurétique thiazidique a une hypokaliémie à 2,5 mmol/l et une alcalose métabolique. Quelle est la cause la plus probable et comment la corriger ?","Hypokaliémie d'origine rénale par diurétique. Correction : arrêt ou réduction du diurétique, supplémentation potassique, éventuellement association avec un diurétique épargneur de potassium.","Le document cite les diurétiques dans les causes rénales sans HTA.","Difficult"
"Quel est le signe ECG le plus précoce de l'hypokaliémie selon la séquence décrite dans le document ?","Dépression du segment ST, puis affaissement ou inversion de l'onde T.","Le document liste les signes ECG de manière séquentielle.","Medium"
