"front","back","cognitive_level"
"Quelle est la définition d'un érythème selon le document ?","Rougeur congestive de peau s'effaçant à la pression.","Recall"
"Quelle est la différence entre une vésicule et une bulle ?","La vésicule mesure 1 à 3 mm de diamètre, la bulle fait plus de 5 mm de diamètre.","Recall"
"Citez 3 signes de gravité d'une maladie éruptive de l'enfant.","1) Sepsis (fièvre élevée, AEG, teint grisâtre) ou choc septique (tachycardie, hypotension) ; 2) Purpura fébrile + trouble hémodynamique ; 3) Fièvre > 5j (maladie de Kawasaki).","Recall"
"Qu'est-ce qu'une macule ?","Tâche avec modification de la couleur de la peau (rouge, marron, blanche) sans relief ni infiltration.","Recall"
"Quels sont les terrains particuliers à risque de forme grave de maladie éruptive ?","Immunodéprimés, nouveau-né, femme enceinte.","Recall"
"Expliquez ce qu'est le syndrome toxinique dans les maladies éruptives.","Érythème fébrile associé à un trouble hémodynamique. Document : 'Syndrome toxinique : érythème fébrile + trouble hémodynamique'.","Understanding"
"Quelles informations l'interrogatoire doit-il rechercher devant une maladie éruptive ?","État des vaccinations (carnet de santé où tout doit figurer), notion de contage, voyage récent, prise médicamenteuse, signes accompagnateurs.","Recall"
"Comment doit se dérouler l'examen clinique cutané chez l'enfant ?","Enfant entièrement à nu, en présence d'un membre de la famille. Document : 'Examen clinique complet chez un enfant entièrement à nu, en présence d'un membre de la famille'.","Recall"
"Quels sont les 4 types d'éruptions cités dans le document ?","Éruption morbiliforme, éruption roséoliforme, éruption scarlatiniforme. (Le document n'en cite que 3, pas 4. Il mentionne 'Éruption morbiliforme', 'Éruption roséoliforme', 'Éruption scarlatiniforme'.)","Recall"
"Qu'est-ce qu'une papule ?","Élevure cutanée palpable ne contenant pas de liquide.","Recall"
"Quelle est la différence entre érosion et ulcération ?","L'ulcération est une perte de substance plus profonde que l'érosion. Document : 'Érosion et ulcérations (Ulc : perte de substance plus profonde)'.","Understanding"
"Quand les examens paracliniques sont-ils nécessaires ?","Pas toujours nécessaires, ils sont réalisés en fonction de l'étiologie suspectée.","Recall"
"Quelle est la définition d'une nouure ?","Petite induration circonscrite de l'hypoderme.","Recall"
"Quel signe cutané doit faire évoquer une allergie médicamenteuse grave ?","Ulcérations muqueuses et décollements épidermiques extensifs.","Recall"
"Combien de jours de fièvre avec éruption cutanée doit faire évoquer une maladie de Kawasaki ?","Fièvre > 5 jours. Document : 'Fièvre > 5j : maladie de Kawasaki (+éruption cutanée et AEG non satisfaisante)'.","Recall"
"Qu'est-ce qu'une pustule ?","Lésion élémentaire cutanée contenant du pus (le document la cite sans définition explicite, mais la liste inclut 'Pustule' comme lésion élémentaire).","Recall"
"Quel est l'intérêt principal du diagnostic des maladies éruptives selon le document ?","Urgence pour les maladies nécessitant un traitement ou des mesures particulières ; diagnostic clinique +++","Recall"
