"question","answer","explanation","difficulty"
"La hernie hiatale est une protrusion d’un viscère abdominal dans le thorax à travers le hiatus œsophagien.","True","Le document : 'protrusions intrathoraciques d’un viscère intra-abdominal à travers le hiatus oesophagien'","Easy"
"Les hernies par glissement sont moins fréquentes que les hernies par roulement.","False","Le document : 'HH par glissement : les plus fréquents'","Easy"
"La hernie par glissement se complique volontiers de reflux gastro-œsophagien.","True","Le document : 'se compliquent de RGO'","Easy"
"La hernie par roulement peut s’étrangler ou saigner.","True","Le document : 's’étranglent ou saignent'","Easy"
"Le sphincter inférieur de l’œsophage a une pression basale de 40 mmHg.","False","Le document : 'Augmentation de la pression basale à 20 mmHg'","Easy"
"Le cardia est normalement situé dans l’abdomen.","True","Le document le sous-entend ; la hernie par glissement le fait monter dans le thorax.","Easy"
"La distance normale entre les arcades dentaires et le cardia est de 40 cm.","True","Le document : 'normalement 40 cm'","Easy"
"La hernie par glissement est asymptomatique dans 50% des cas.","True","Le document : 'Fréquemment asymptomatique (50% des cas)'","Easy"
"Le pyrosis est un symptôme de la hernie par roulement non compliquée.","False","Le document : 'Il n’existe pas de reflux' ; le pyrosis est un symptôme de reflux.","Easy"
"La radiographie pulmonaire peut montrer un niveau hydro-aérique intra-thoracique.","True","Le document : 'Radiographie pulmonaire : Niveau hydro-aérique intra-thoracique'","Easy"
"La fibroscopie montre une béance anormale du cardia dans la hernie par glissement.","True","Le document : 'Béance anormale du cardia'","Medium"
"Dans la hernie par roulement, le cardia reste en place.","True","Le document : 'HH par roulement : le cardia reste en place'","Medium"
"La hernie par glissement non compliquée asymptomatique nécessite une chirurgie.","False","Le document : 'ne nécessitent qu’une simple surveillance'","Medium"
"L’indication chirurgicale est formelle pour toute hernie par roulement.","True","Le document : 'L’indication chirurgicale est formelle'","Medium"
"Le pilier droit du diaphragme joue un rôle dans la continence cardiale en cravatant l’œsophage.","True","Le document : 'Action du pilier droit du diaphragme : joue un rôle de cravatage de l’œsophage'","Medium"
"Le SIO est indépendant du contrôle nerveux.","False","Le document : 'SIO = sous la dépendance du contrôle nerveux représenté par le nerf vague'","Medium"
"La valve muqueuse de Gubarov est un facteur intrinsèque de continence cardiale.","False","Le document la classe dans les facteurs anatomiques (extrinsèques).","Medium"
"L’angle de His est un facteur anatomique de continence cardiale.","True","Le document le cite parmi les facteurs anatomiques.","Medium"
"La hernie par roulement peut donner des douleurs évoquant un angor.","True","Le document : 'Peuvent évoquer un angor'","Medium"
"Le traitement médical du RGO associé à la hernie par glissement comprend des antiémétiques.","True","Le document : 'Associe : antiémétique'","Medium"
"La hernie par roulement se complique toujours d’anémie.","False","Le document : 'Après de nombreuses années d’évolution : peut se manifester par une anémie' (pas toujours)","Medium"
"La hernie mixte associe une ascension du cardia et une partie de l’estomac.","True","Le document : 'HH mixte : la jonction est intrathoracique et une partie de l’estomac aussi'","Medium"
"La dyspnée peut être un symptôme d’une volumineuse hernie par roulement.","True","Le document : 'Peuvent entraîner une dyspnée si elle est grosse'","Medium"
"Le volvulus gastrique étranglé est une complication possible des hernies hiatales.","True","Le document : 'Complications : Volvulus gastrique étranglé'","Difficult"
"Neuf hernies hiatales sur dix sont des hernies par roulement.","False","Le document : '9/10 : HH par glissement'","Difficult"
"Le ligament phréno-œsophagien est un facteur intrinsèque de continence cardiale.","False","Le document le cite parmi les facteurs anatomiques (extrinsèques).","Difficult"
