"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle hormone est responsable de la contraction des cellules myoépithéliales et de l'éjection du lait ?","Prolactine","Ocytocine","Progestérone","Œstrogène","2","Le document indique que l'ocytocine (post-hypophysaire) permet la contraction des cellules myoépithéliales et l'évacuation du lait (réflexe d'éjection).","Easy"
"Quelle est la durée de conservation du lait maternel au réfrigérateur (4°C) selon les recommandations AFSSA ?","4 heures","24 heures","48 heures","7 jours","3","Le document cite : 'Recommandations AFSSA : 48 heures au frigo (4°c)'.","Easy"
"Quel pourcentage des apports énergétiques du lait maternel est apporté par les lipides ?","40%","50%","60%","70%","50%","Le document précise : 'Lipides ... 50 % des apports énergétiques'.","Easy"
"Quel est le pourcentage d'eau dans le lait maternel ?","80%","85%","87%","90%","3","Le document indique : '87% d'eau - 7% de lactose' pour le lait maternel.","Easy"
"Quelle vitamine ne passe pas bien dans le lait maternel, nécessitant une supplémentation jusqu'à 18 mois ?","Vitamine A","Vitamine C","Vitamine D","Vitamine K","3","Le document mentionne : 'Vit D : ne passe pas bien dans le lait maternel (-> supplémentation jusqu’à 18 mois)'.","Easy"
"Combien de tétées par jour sont recommandées pour un allaitement maternel exclusif ?","4-6","6-8","8-12","12-15","3","Le document indique : 'AME = 8-12 tétées par jour, pas moins' et '8 à 12 tétées par 24h minimum'.","Easy"
"Quel est l'effet contraceptif de la méthode MAMA (allaitement maternel et aménorrhée) selon le document ?","95%","98%","99%","100%","2","Le document précise : 'Effet contraceptif : 98%' pour la méthode MAMA.","Easy"
"Quel type d'immunoglobulines est majoritaire dans le lait maternel ?","IgG","IgM","IgA","IgE","3","Le document mentionne : 'Ig : IgA+++' et '80% Ac du LM' sont des IgA.","Easy"
"À quel moment survient la 'montée laiteuse' ?","À l'accouchement","J2-J3","J8-J15","1 mois","2","Le document indique : 'J2 - J3 : “montée laiteuse”'.","Easy"
"Quelle est la couleur du colostrum ?","Blanche","Jaune pâle","Orangée","Transparente","3","Le document précise : 'Colostrum : Coloration orangée (b-carotène)'.","Easy"
"Quel est le volume approximatif de colostrum produit ?","100-150 ml","50-100 ml","20-50 ml","10-20 ml","20-50 ml","Le document indique : 'Colostrum : 20 à 50 ml'.","Easy"
"Quel facteur inhibe la production de lait par régulation locale ?","Prolactine","Ocytocine","FIL (facteur inhibiteur de la lactation)","Progestérone","3","Le document mentionne : 'Grâce à un facteur inhibiteur de la lactation, (FIL)'. Plus le bébé tête, moins de FIL, plus de lait.","Easy"
"Quel est le deuxième constituant le plus important du lait maternel après l'eau ?","Lipides","Protéines","Lactose","Oligosaccharides","3","Le document indique : 'Lactose : 2ème constituant le plus important après l’eau (87% d’eau - 7% de lactose)'.","Easy"
"Quelle est la température de conservation à température ambiante (25°C) pour le lait maternel ?","2 heures","4 heures","6 heures","8 heures","2","Le document précise : 'Température ambiante (25°c) : 4h'.","Easy"
"Quel est l'effet de la succion du mamelon sur la sécrétion d'ocytocine ?","La diminue","L'augmente","Sans effet","Inhibe la prolactine","2","Le document indique : 'Succion du mamelon -> sécrétion d’ocytocine par l’hypophyse -> excrétion du lait'.","Easy"
"Quel médicament diminue la sécrétion de prolactine ?","Dompéridone","Métoclopramide","Bromocriptine","Ocytocine","3","Le document mentionne : 'Diminué par Bromocriptine (Parlodel) et lisuride'.","Easy"
"Quel est le rapport caséine/lactosérum dans le lait maternel par rapport au lait de vache ?","Le lait maternel a plus de caséine","Le lait maternel a plus de lactosérum","Identique","Le lait de vache a plus de lactosérum","2","Le document indique que la caséine du lait maternel est 'facilement digérée' alors que celle du lait de vache donne des micelles plus épais, impliquant une différence de proportion.","Easy"
"Quel est l'effet de l'alcool sur la production d'ocytocine ?","L'augmente","La diminue","Sans effet","La transforme en prolactine","2","Le document indique : 'Production diminuée par le stress, la douleur, l’alcool et la nicotine'.","Easy"
"Quel est le rôle des oligosaccharides dans le lait maternel ?","Favoriser l'absorption du fer","Participer au développement du SNC","Favoriser la prolifération des bifidobactéries","Apporter des lipides","3","Le document mentionne : 'Oligosaccharides : participent à l’élaboration des bifidobactéries (rôle protecteur antibactérien)' et 'favorise la prolifération des bifidobactéries'.","Easy"
"Quelle est la valeur énergétique du lait mature comparée au colostrum ?","Identique","Plus élevée","Moins élevée","Variable","2","Le document indique : colostrum '58 kcal/dl vs 70kcal/dl' pour lait mature, donc lait mature plus énergétique.","Easy"
"Quel est l'effet du stress sur le réflexe d'éjection du lait ?","L'augmente","Le diminue","Sans effet","Le stoppe définitivement","2","Le document indique : 'Réflexe d’éjection : contrôlé par l’ocytocine : ... Inhibé par le stress'.","Medium"
"Pourquoi le lait maternel est‑il plus riche en protéines et minéraux chez la mère d'un prématuré ?","Parce que la mère prend des compléments","Par adaptation physiologique à la prématurité","Par hasard","Parce que le prématuré a besoin de plus d'eau","2","Le document précise : 'Si accouchement prématuré : LM riche en protéines, en minéraux (Ca++, P, Mg, Zn, NaCl), plus calorique'.","Medium"
