"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la durée d'incubation des oreillons ?","5-10 jours","10-15 jours","15-24 jours (moyenne 19 jours)","24-48 heures","3","Document: 'Incubation : longue : 15-24 jours (moyenne=19 jours)'","Easy"
"Quel est le signe clinique caractéristique de la parotidite ourlienne ?","Turgescence de l'orifice du canal de Sténnon","Comblement du sillon rétro maxillaire refoulant le lobule de l'oreille en bas et en dehors, donnant un aspect en poire","Adénopathies cervicales","Hypertrophie des glandes lacrymales","2","Document: 'Inflammation parotidienne, d'abord unilatérale puis bilatérale refoulant le lobule de l'oreille en faut et en dehors ; comblement du sillon rétro maxillaire ... aspect en forme de poire'","Easy"
"Quelle est la durée de guérison spontanée d'une parotidite ourlienne ?","3-5 jours","8-10 jours","15 jours","21 jours","2","Document: 'Guérison spontanée : en 8-10 jours'","Easy"
"Quelle complication est la plus fréquente chez le sujet pubère ?","Pancréatite","Orchite ourlienne","Méningite","Encéphalite","2","Document: 'Orchite et/ou épididymite ourlienne : 20% des cas'","Easy"
"Quel pourcentage des cas d'orchite ourlienne évolue vers une atrophie testiculaire séquellaire ?","10%","25%","50%","75%","3","Document: 'Atrophie testiculaire séquellaire dans 50% des cas'","Easy"
"La pancréatite ourlienne est le plus souvent :","Grave et séquellaire","Asymptomatique ou peu sévère","Nécrosante","Chronique","2","Document: 'Le plus souvent asymptomatique ou peu sévère'","Easy"
"Quelle est la localisation extra-glandulaire la plus fréquente des oreillons ?","Orchite","Pancréatite","Localisations neuroméningées","Néphrite","3","Document: 'Localisations neuroméningées : les plus fréquentes des localisations extra-glandulaires'","Easy"
"Dans quel pourcentage des cas la méningite ourlienne survient-elle ?","Moins de 1%","1-10%","20-30%","Plus de 50%","2","Document: 'Souvent infraclinique, 1-10% des cas'","Easy"
"Quel est le virus responsable des oreillons ?","Virus à ADN de la famille des Herpesviridae","Virus à ARN de la famille des Paramyxoviridae","Virus à ARN de la famille des Togaviridae","Virus à ADN de la famille des Poxviridae","2","Document: 'Virus ourlien : Virus à ARN, famille des Paramyxoviridae'","Easy"
"Quel est le mode de transmission du virus ourlien ?","Transmission par voie sanguine","Transmission par gouttelettes de salive","Transmission par voie fécale-orale","Transmission vectorielle","2","Document: 'transmission par gouttelettes de salive'","Easy"
"Quel est le traitement de référence des oreillons ?","Antiviral (acyclovir)","Traitement symptomatique","Corticoïdes","Antibiothérapie","2","Document: 'Traitement symptomatique : repos, antalgique (paracétamol), aliments mous...'","Easy"
"À quel âge la primo-vaccination ROR est-elle recommandée ?","À la naissance","À 6 mois","Dès 12 mois","À 5 ans","3","Document: 'Trivalent (rougeole-oreillons-rubéole ROR) dès 12 mois puis entre 16-18 mois'","Easy"
"Quel signe clinique permet de différencier une parotidite ourlienne d'une adénite ?","Le refoulement du lobule de l'oreille en bas et en dehors et le comblement du sillon rétro maxillaire","La fièvre","La douleur","L'âge de l'enfant","1","Document: 'comblement du sillon rétro maxillaire (différentiel : adénite)'","Easy"
"Quelle est la durée d'éviction recommandée après l'apparition de la parotidite ?","5 jours","10 jours","14 jours","21 jours","1","Document: 'Isolement des patients infectés et précautions standard contre les gouttelettes respiratoires pendant 5 jours après l'apparition de la parotidite'","Easy"
"Quelle est la particularité du signe de Prehn dans l'orchite ourlienne ?","Positif","Négatif","Variable","Non mentionné","2","Document: 'Signe de Prehn (-) dans orchite ourlienne'","Easy"
"Quel est l'aspect du LCS dans la méningite ourlienne ?","Purulent, polynucléaire","Clair, lymphocytaire","Hématique","Xanthochromique","2","Document: 'Méningite lymphocytaire'","Easy"
"Quelle complication rare peut entraîner une surdité définitive ?","Orchite","Pancréatite","Encéphalite ourlienne","Parotidite","3","Document: 'Encéphalite... surdité parfois définitive'","Medium"
"Quel examen paraclinique est utile pour confirmer le diagnostic d'oreillons dans les 4 premiers jours ?","Sérologie IgM","RT-PCR sur salive, sang ou LCS","Cultures bactériennes","Biopsie parotidienne","2","Document: 'Détection du virus par RT-PCR (salive, sang, LCS dans les 4 premiers jours suivant le début des symptômes)'","Medium"
"Quel est le pourcentage de cas d'orchite ourlienne qui survient chez le sujet pubère ?","20%","50%","70%","10%","1","Document: 'Orchite et/ou épididymite ourlienne : 20% des cas'","Medium"
"Quel est le délai habituel d'apparition de l'orchite après la parotidite ?","1-2 jours","4-8 jours","10-14 jours","15-20 jours","2","Document: 'Chez le sujet pubère, 4-8 j après la parotidite'","Medium"
"Quel est le principal diagnostic différentiel de l'orchite ourlienne ?","Torsion testiculaire","Épididymite bactérienne","Tumeur testiculaire","Hydrocèle","1","Document: 'différentiel : torsion testiculaire'","Medium"
"Quelle est la mortalité de l'encéphalite ourlienne ?","1-5%","10-15%","20-30%","Moins de 1%","1","Document: 'Rare 1/5000 à 1/10.000 cas, décès dans 1-5% des cas'","Medium"
"Quel syndrome neurologique peut compliquer les oreillons ?","Syndrome de Guillain-Barré","Syndrome de Reye","Syndrome de Lennox-Gastaut","Syndrome de West","1","Document: 'Possibilité de myélite et de polyradiculonévrite aiguë : Syndrome de Guillain Barré'","Medium"
"Quel est le principal diagnostic différentiel d'une parotidite unilatérale récidivante ?","Parotidite bactérienne","Parotidite due au VIH","Troubles métaboliques","Tumeurs","2","Document: 'atteinte unilatérale, récidivante (VIH)'","Medium"
"Quelle est la particularité de la parotidite ourlienne chez le petit enfant par rapport à l'adolescent ?","Plus grave","Signes généraux moins marqués","Plus longue","Plus souvent unilatérale","2","Document: 'SG peu marqués chez le petit enfant, plus marqués chez l'adolescent'","Medium"
"Quel est l'aspect scannographique de la pancréatite ourlienne ?","Pancréatite nécrosante","Pancréatite œdémateuse","Pancréatite chronique","Normal","2","Document: 'Imagerie Scanner : pancréatite œdémateuse'","Medium"
"Quel est le tropisme du virus ourlien ?","Uniquement glandulaire","Glandulaire et neurologique","Uniquement neurologique","Cutané et muqueux","2","Document: 'Virus à tropisme glandulaire (parotide, testicule, pancréas) et neurologique'","Medium"
"Quelle est la fréquence de l'atteinte testiculaire bilatérale dans l'orchite ourlienne ?","Fréquente","Unilatérale le plus souvent","Constamment bilatérale","Rare","2","Document: 'Unilatérale le plus souvent'","Medium"
"Quelle est la séquelle rare de l'orchite ourlienne ?","Atrophie testiculaire (50%)","Stérilité (rare)","Douleur chronique","Hypogonadisme","2","Document: 'Atrophie testiculaire séquellaire dans 50% des cas, stérilité rare'","Medium"
"Quel est le réservoir du virus ourlien ?","Animal (singe)","Humain strictement","Environnemental","Eau","2","Document: 'Réservoir strictement humain'","Medium"
