"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition des céphalées chez l'enfant selon le document ?","Douleur perçue au niveau de la nuque","Symptôme subjectif défini par l'enfant comme une douleur locale au niveau de la boîte crânienne","Fièvre accompagnée de maux de tête","Trouble du comportement","2","Le document : 'Céphalées : symptôme subjectif défini par l'enfant en âge de s'exprimer comme des douleurs locales perçues au niveau de la boîte crânienne'.","Easy"
"Quel est le pourcentage d'enfants de 5-15 ans souffrant de migraine ?","2-3%","5-8%","10-12%","15-20%","2","Le document : '5-8% des enfants de 5-15 ans'.","Easy"
"Dans la migraine de l'enfant, quel est le sexe ratio avant l'adolescence ?","Filles > garçons","Garçons > filles","Égal","Variable","2","Le document : 'Enfance : Garçons > filles (adolescence : inverse)'.","Easy"
"Quel est le caractère familial de la migraine ?","10%","30%","50%","70%","3","Le document : 'caractère familial : 50%'.","Easy"
"Quel est le type de douleur typique de la migraine ?","Douleur sourde","Douleur pulsatile","Douleur brûlure","Douleur en coup de poignard","2","Le document : 'Hémicrâne pulsatile'.","Easy"
"Quelle est la durée possible d'une crise migraineuse chez l'enfant ?","Quelques minutes","1 heure à 2 jours","Plusieurs jours","Une semaine","2","Le document : 'peut durer de 1 heure à 2 jours'.","Easy"
"Quel signe accompagnateur est fréquent dans la migraine ?","Fièvre","Nausées et vomissements","Diarrhée","Toux","2","Le document : 'Signes accompagnateurs : Nausées et vomissements'.","Easy"
"Quel est le traitement symptomatique de la crise migraineuse recommandé en première intention ?","Triptans","Paracétamol (15mg/kg/prise)","Corticoïdes","Morphine","2","Le document : 'Traitement symptomatique ... Paracétamol (15mg/kg/prise)'.","Easy"
"Quelle est la posologie de l'ibuprofène dans la crise migraineuse ?","5 mg/kg/prise","10 mg/kg/prise","15 mg/kg/prise","20 mg/kg/prise","2","Le document : 'Ibuprofène :(10 mg/kg/prise)'.","Easy"
"Quel examen complémentaire est systématique devant des céphalées ?","IRM cérébrale","Scanner","Aucun examen systématique","Électroencéphalogramme","3","Le document : 'Aucun examen complémentaire en systématique'.","Easy"
"Quel signe doit faire rechercher une tumeur cérébrale ?","Céphalées nocturnes (réveil)","Céphalées après le sport","Céphalées pendant les repas","Céphalées en fin de journée","1","Le document : 'pédiatrie : céphalées nocturnes ? Car si réveil : jamais banaliser: tumeur cérébrale ne laisse pas dormir tranquille'.","Easy"
"Quel examen est recommandé pour rechercher une hypertension intracrânienne (HTIC) ?","Fond d'œil","Scanner thoracique","Échographie abdominale","Radiographie des sinus","1","Le document : 'Avis ophtalmologique : acuité visuelle + fond d'œil'.","Easy"
"Quelle est la caractéristique d'une céphalée par hémorragie méningée ?","Installation progressive","Céphalée aiguë en casque en éclair","Céphalée chronique","Céphalée pulsatile","2","Le document : 'Hémorragie méningée : syndrome méningé intense d'apparition très brutale (céphalée aiguë en casque en éclair)'.","Easy"
"Quel est le traitement non médicamenteux de la migraine ?","Repos au lit","Relaxation, biofeedback, thérapies cognitives et comportementales","Massages","Acupuncture","2","Le document : 'Traitement non médicamenteux : Relaxation, Biofeedback, Thérapies cognitives et comportementales de gestion du stress'.","Easy"
"Quel est le seuil de fréquence des crises justifiant un traitement de fond de la migraine ?","> 1 crise par mois","> 2 crises par mois","> 1 crise par semaine","> 2 crises par an","1","Le document : 'Traitement de fond : si > 1 crise /mois'.","Easy"
"Quel est un exemple de traitement de fond de la migraine cité ?","Paracétamol","Riboflavine 200mg/j","Ibuprofène","Triptans","2","Le document : 'Ex : riboflavine : 200mg/j (pas trop d'AMM en pédiatrie)'.","Easy"
"Quelle est la particularité des céphalées de tension par rapport aux migraines ?","Absence de nausées et vomissements","Présence d'une aura","Durée plus longue","Localisation unilatérale","1","Le document : 'Pas de signes accompagnateurs : pas de nausées ni vomissements'.","Easy"
"Quel facteur déclenchant de migraine est cité ?","Manque de sommeil","Excès de sommeil","Alimentation riche","Chaleur","1","Le document : 'Facteurs déclenchants : Manque de sommeil, Traumatisme mineur, Effort physique'.","Easy"
"Quel signe visuel peut constituer une aura migraineuse ?","Diplopie","Scotome visuel","Myosis","Exophtalmie","2","Le document : 'Aura : Scotome visuel, Paresthésies, ou une dysarthrie'.","Easy"
"Quel est le mode de début des céphalées dans l'HTIC ?","Brutal","Progressif","Paroxystique","Variable","2","Le document : 'Céphalées d'installation progressive'.","Easy"
"Quel est le traitement de fond recommandé pour les céphalées de tension ?","Triptans","Paracétamol quotidien","Psychothérapie ou relaxation","Anti-inflammatoires","3","Le document : 'Traitement : psy, ou relaxation plutôt'.","Easy"
"Quel est le signe d'alerte à rechercher devant des céphalées ?","Céphalées matinales","Céphalées après le sport","Céphalées pendant les vacances","Céphalées transitoires","1","Le document : 'Prédominance matinale ou en seconde partie de la nuit (réveils nocturnes)' comme signe d'HTIC.","Easy"
"Quelle est la définition des céphalées prolongées ou chroniques quotidiennes ?","Céphalées durant plus de 1 mois","Céphalées durant 3 mois avec caractère continu","Céphalées quotidiennes pendant 1 semaine","Céphalées hebdomadaires","2","Le document : 'Céphalées 3 mois, avec un caractère plus ou moins continu'.","Easy"
"Quelle étiologie de céphalée projetée par trouble de la réfraction est citée ?","Myopie","Hypermétropie","Astigmatisme","Presbytie","2","Le document : 'Céphalées projetées par troubles de la réfraction(hypermétropie)'.","Easy"
"Quel est le signe d'une céphalée d'origine ophtalmique ?","Localisation rétro-orbitaire majorée par la lecture prolongée","Céphalée occipitale","Céphalée en casque","Céphalée frontale","1","Le document : 'localisation rétro-orbitaire avec une gêne oculaire majorée par la lecture prolongée'.","Easy"
"Quel est le pourcentage de transmission familiale de la migraine ?","50%","30%","70%","80%","1","Le document : 'caractère familial : 50%'.","Easy"
"Quelle est la fréquence des crises migraineuses chez l'enfant ?","Variable de 1 à 2/semaine à 1 à 2/an","Toujours hebdomadaire","Toujours mensuelle","Toujours quotidienne","1","Le document : 'Fréquence des crises variable : 1 à 2/ semaine-> 1 à 2/an'.","Easy"
"Quel est le comportement typique de l'enfant migraineux pendant la crise ?","Continue ses activités","Se couche brusquement, refuse de bouger et s'endort","Devient hyperactif","Mange beaucoup","2","Le document : 'L'enfant se couche brusquement, refuse de bouger et s'endort'.","Easy"
