question, answer, explanation, difficulty
"Expliquez le mécanisme de l'anémie physiologique de grossesse.", "Hémodilution par augmentation du volume plasmatique (+40%) supérieure à l'augmentation de la masse des GR (+15%), d'où baisse de l'hématocrite et de l'hémoglobine", "Document : 'Diminution de l'hématocrite (passant de 40 à 34 %), Diminution de l'hémoglobine (11-12g/dl) -> Anémie physiologique de dilution'", "Medium"
"Pourquoi la VS est-elle augmentée pendant la grossesse ?", "Par augmentation du fibrinogène et des globulines, conséquence de l'état hypercoagulable", "Document : 'VS augmentée (par augmentation de la fibrinogène et globulines)'", "Medium"
"Expliquez le mécanisme de l'hypotension artérielle en décubitus dorsal chez la femme enceinte.", "Compression de la veine cave inférieure par l'utérus gravide (dextrorotation), diminuant le retour veineux au cœur droit et le débit cardiaque", "Document : 'Compression de la veine cave inférieur par l'utérus gravide surtout en décubitus dorsal (...) hypotension et parfois malaise (choc postural)'", "Difficult"
"Pourquoi la femme enceinte a-t-elle une hyperventilation sans augmentation de la fréquence respiratoire ?", "Diminution de la sensibilité des centres respiratoires par la progestérone, entraînant une augmentation du volume courant (et non de la fréquence)", "Document : 'Diminution de la sensibilité des centres respiratoires due à la progestérone, Hyperventilation : FR inchangée, augmentation du volume courant'", "Difficult"
"Expliquez le risque d'infection urinaire à droite pendant la grossesse.", "Dextrorotation de l'utérus comprimant plus l'uretère droit, associée à la dilatation des voies urinaires par la progestérone, créant une stase urinaire propice aux infections", "Document : 'Dextrorotation : les complications urologiques acd grossesse se trouvent presque toujours à droite : Colique néphrétique, PNA'", "Difficult"
"Pourquoi la constipation est-elle fréquente pendant la grossesse ?", "Double mécanisme : effet myorelaxant de la progestérone ralentissant le transit, et compression du rectum par l'utérus gravide", "Document : 'Constipation : Effet myorelaxant de la progestérone, Compression du rectum par l'utérus gravide'", "Medium"
"Quels sont les trois mécanismes du reflux gastro-œsophagien pendant la grossesse ?", "Diminution du transit gastrique, baisse du tonus du cardia (progestérone), refoulement du diaphragme par l'utérus", "Document les énumère", "Medium"
"Expliquez le syndrome de Lacomme.", "Relâchement physiologique des articulations symphysaires (inter-pubiennes) sous l'effet de la relaxine, provoquant une douleur pubienne à la mise en station debout", "Document : 'Syndrome de Lacomme (physiologique : relâchement des articulations symphysaires (inter pubiennes) : douleur +++ quand elle va se mettre en position debout)'", "Difficult"
"Quelles sont les deux causes principales des modifications physiologiques de grossesse ?", "Causes hormonales (bêta-HCG, progestérone) et causes mécaniques (utérus gravide, ascension du diaphragme)", "Document : 'Causes : Hormonales (beta-hCG et progestérone), Mécaniques (utérus gravide, ascension du diaphragme)'", "Easy"
"Pourquoi la glycosurie peut-elle apparaître chez la femme enceinte sans diabète ?", "Par baisse du seuil rénal de réabsorption du glucose, liée à l'augmentation de la filtration glomérulaire", "Document : 'Glycosurie : possible, par baisse du seuil rénal de réabsorption'", "Medium"
"Pourquoi les varices et hémorroïdes sont-elles fréquentes pendant la grossesse ?", "Compression de la veine cave inférieure par l'utérus gravide, diminuant le retour veineux des membres inférieurs et du pelvis", "Document : 'Compression de la veine cave inférieur (...) Conséquences : Oedèmes, Varices et hémorroïdes'", "Medium"
"Expliquez le risque de diabète gestationnel.", "Le pancréas doit produire plus d'insuline pour répondre à l'augmentation de la glycémie. Si insuffisant, diabète gestationnel", "Document : 'Equilibre de la glycémie : D'où risque de diabète gestationnel si pancréas insuffisant'", "Medium"
"Quel est le double effet de la progestérone sur l'appareil urinaire ?", "Myorelaxation des voies urinaires (dilatation, stase) et compression par l'utérus dextroroté", "Document : 'Dilatation des voies urinaires par action myorelaxante de la progestérone, Dextrorotation'", "Difficult"
"Pourquoi la femme enceinte a-t-elle une lordose physiologique ?", "Pour compenser le poids de l'utérus et maintenir l'équilibre, entraînant une hyperlordose lombaire", "Document : 'Lordose physiologique' dans modifications musculo-squelettiques", "Medium"
"Quels sont les trois éléments constituant la prise de poids de grossesse ?", "Poids du fœtus, placenta, liquide amniotique + eau extracellulaire + accumulation de graisses", "Document : 'Poids du fœtus, du placenta, du liquide amniotique, A l'eau extracellulaire (œdèmes) et à l'accumulation de graisses'", "Medium"
"Pourquoi les infections urinaires sont-elles plus fréquentes à droite ?", "Dextrorotation utérine comprimant l'uretère droit, associée à la stase urinaire par progestérone", "Document : 'Dextrorotation : les complications urologiques acd grossesse se trouvent presque toujours à droite'", "Medium"
"Quel est l'effet de la progestérone sur les fibres musculaires lisses ?", "Diminution de la contractilité (effet myorelaxant)", "Document : 'progestérone : myorelaxant, diminue la contractilité des fibres musculaires lisses'", "Easy"
"Pourquoi les vergetures apparaissent-elles pendant la grossesse ?", "Distension mécanique de l'abdomen et action hormonale (œstrogènes, corticoïdes) fragilisant le collagène", "Document : 'Vergetures (distension abdominale et sous l'action des hormones)'", "Medium"
"Quelles sont les deux hormones responsables des modifications physiologiques majeures ?", "Bêta-HCG (1er trimestre : nausées) et progestérone (myorelaxation, vasodilatation)", "Document : 'Hormonales (beta-hCG et progestérone)'", "Easy"
"Pourquoi le débit cardiaque augmente-t-il pendant la grossesse ?", "Augmentation de la volémie, de la fréquence cardiaque et du volume d'éjection systolique", "Document : 'Volémie augmentée : + 40%, Augmentation du VES (+ 25%), Augmentation de la FC (100bpm) --> Débit cardiaque augmenté de 20 à 40%'", "Medium"
"Expliquez le mécanisme de l'hypocapnie physiologique de grossesse.", "Hyperventilation (augmentation volume courant) augmentant l'élimination de CO2, sans alcalose car équilibre rénal maintenu", "Document : 'Hyperventilation -> hypocapnie physiologique, Ph normaux, sans alcalose'", "Difficult"
"Quel est le seuil de protéinurie pathologique pendant la grossesse ?", "> 300 mg/24h", "Document : 'Légère protéinurie physiologique (< 300mg/24h)'", "Easy"
"Pourquoi les nausées et vomissements sont-ils fréquents au 1er trimestre ?", "Pic de bêta-HCG à 8-12 SA", "Document : 'hyper-imprégnation hormonale (bêta-HCG) au 1er trimestre'", "Easy"
"Quelle est l'importance de la dextrorotation utérine dans les complications ?", "Explique la prédominance droite des pyélonéphrites et coliques néphrétiques", "Document : 'Dextrorotation : complications urologiques à droite'", "Medium"
