"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quel est le type histologique le plus fréquent du cancer du pancréas ?","Adénocarcinome canalaire (75%)","Cystadénocarcinome (15%)","Sarcome","Lymphome","1","Le document : '75% : Adénocarcinome canalaire'","Easy"
"Quelle est l’incidence annuelle du cancer du pancréas ?","1 à 3/100.000","5 à 10/100.000","15 à 20/100.000","25 à 30/100.000","2","Le document : 'Incidence 5 à 10/100.000 hab/an'","Easy"
"Quelle est la localisation la plus fréquente du cancer du pancréas ?","Corps","Queue","Tête (2/3 des cas)","Totalité","3","Le document : '2/3 des cas au niveau de la tête'","Easy"
"Quel est le pronostic du cancer du pancréas ?","Souvent bon","Souvent catastrophique","Médiocre mais curable","Excellent","2","Le document : 'Pronostic : souvent catastrophique'","Easy"
"Quel est le signe fonctionnel principal du cancer de la tête du pancréas ?","Douleur épigastrique transfixiante","Ictère cholestatique progressif et sans rémission","Amaigrissement","Masse épigastrique","2","Le document : 'Cancer de la tête du pancréas : SF : ictère cholestatique progressif et sans rémission'","Easy"
"Quel symptôme précède souvent l’ictère dans le cancer de la tête ?","Douleur","Prurit","Nausées","Fièvre","2","Le document : 'Prurit qui précède souvent l’apparition de l’ictère'","Easy"
"Quel est le signe physique (SP) décrit pour le cancer de la tête ?","Masse épigastrique","Grosse vésicule","Splénomégalie","Ascite","2","Le document : 'SP : Grosse vésicule'","Easy"
"Quel est le marqueur tumoral le plus fréquemment augmenté dans le cancer du pancréas ?","ACE","Ca 125","Ca 19-9","AFP","3","Le document : 'Ca 19-9 fréquemment augmenté'","Easy"
"Quel examen morphologique détecte une tumeur pancréatique de petite taille (<2cm) ?","TDM","Échographie abdominale","Échoendoscopie pancréatique","IRM","3","Le document : 'Echoendoscopie pancréatique : Détection d’une tumeur pancréatique de petite taille < 2cm'","Easy"
"Quel est le diagnostic différentiel principal du cancer du pancréas ?","Pancréatite aiguë","Pancréatite chronique","Cholécystite","Ulcère gastrique","2","Le document : 'Diagnostic différentiel : Pancréatite chronique'","Easy"
"Quel est le pourcentage de patients pouvant bénéficier d’une exérèse à visée curative ?","30-40%","20-25%","10-15%","5%","3","Le document : 'Exérèse à visée curatrice n’est possible que dans 10 à 15%'","Easy"
"Quelle est la chirurgie pour une tumeur de la queue du pancréas ?","Duodénopancréatectomie céphalique (DPC)","Splénopancréatectomie caudale (SPC)","Pancréatectomie totale","Dérivation biliaire","2","Le document : 'A gauche : splénopancréatectomie caudale SPC'","Easy"
"Quelle est la médiane de survie après l’apparition des signes cliniques ?","6 mois","1 an","2 ans","3 mois","1","Le document : 'quand les signes cliniques apparaissent, la médiane de survie est de 6 mois'","Easy"
"Quel est le sex-ratio du cancer du pancréas ?","Prédominance féminine","Prédominance masculine","Égal","Variable","2","Le document : 'Sex ratio : de prédominance masculine'","Easy"
"Quel pourcentage des cancers du pancréas sont des cystadénocarcinomes ?","75%","15%","10%","5%","2","Le document : '15% : cystadénocarcinome : cancer de bon pronostic'","Easy"
"Quel examen morphologique révèle une tumeur pancréatique >2cm ?","Échoendoscopie","Échographie abdominale","TDM","IRM","2","Le document : 'Echographie abdominale : Révèle une tumeur pancréatique > 2cm'","Easy"
"Quelle est la particularité des ganglions dans le cancer du pancréas ?","Touchés tardivement","Touchés tôt quel que soit la localisation","Jamais touchés","Uniquement dans les formes métastatiques","2","Le document : 'Ganglions touchés tôt dans leur évolution, quel que soit la localisation'","Easy"
"Quelle est la localisation des tumeurs du corps ou de la queue ?","Pas d’ictère, douleur épigastrique transfixiante","Ictère, prurit","Grosse vésicule","Selles décolorées","1","Le document : 'Cancer du corps ou de la queue : Pas d’ictère, Douleur épigastrique, transfixiante'","Easy"
"Quel est le traitement palliatif pour un cancer localement avancé ?","Chirurgie curative","Dérivation chirurgicale biliaire et/ou digestive","Chimiothérapie efficace","Radiothérapie curative","2","Le document : 'Dérivation chirurgicale biliaire et/ou digestive (T en place)'","Medium"
"Quel est le signe biologique dans les formes ictériques ?","Élévation des transaminases","Élévation de la bilirubine totale, PAL, GGT","Hyperleucocytose","Hypoglycémie","2","Le document : 'Dans les formes ictériques : élévation de la bilirubine totale, PAL, GGT'","Medium"
"Quel est le rôle de la TDM ?","Détection des tumeurs <2cm","Localisation, nombre, extension aux organes de voisinage","Drainage biliaire","Diagnostic biologique","2","Le document : 'TDM : Localisation, Nombre, Extension aux organes de voisinage'","Medium"
"Quelle est la limite de la chimiothérapie dans le cancer du pancréas ?","Très efficace","Inefficace pour l’instant (essais en cours)","Réservée aux formes précoces","Efficace uniquement sur les métastases","2","Le document : 'Chimiothérapie : inefficace pour l’instant (essai en cours)'","Medium"
"Quelle est la position antalgique caractéristique du cancer du corps du pancréas ?","Décubitus dorsal","Position antalgique en chien de fusil","Position assise penchée en avant","Décubitus latéral","2","Le document : 'position antalgique en chien de fusil'","Medium"
"Quel est le pourcentage des autres variétés histologiques (sarcome, lymphome, épidermoïde) ?","15%","10%","5%","20%","2","Le document : '10% : autres variétés'","Medium"
"Quel est le signe général (SG) du cancer de la tête du pancréas ?","Fièvre élevée","Amaigrissement, asthénie, anorexie (dégoût de la viande)","Frissons","Sueurs nocturnes","2","Le document : 'SG : amaigrissement, asthénie, anorexie (dégoût de la viande); sans fièvre'","Medium"
"Quelle est la particularité de la douleur dans le cancer du corps du pancréas ?","Irradiation vers les 2 épaules","Irradiation vers le bras gauche","Irradiation vers la région lombaire","Irradiation vers le périnée","1","Le document : 'Irradiation vers les 2 épaules'","Medium"
"Quel examen explore les ganglions de proximité ?","TDM","Échographie abdominale","Echoendoscopie pancréatique","IRM","3","Le document : 'Echoendoscopie pancréatique : Exploration des ganglions de proximité'","Medium"
"Quel est le délai de décès pour la majorité des patients après diagnostic ?","Dans l’année","Dans les 2 ans","Dans les 6 mois","Dans les 3 mois","1","Le document : 'La grande majorité des patients décèdent dans l’année qui suit le diagnostic'","Difficult"
"Quelle est la limite du bilan d’extension ?","Permet un diagnostic précis","Ne permet pas de prévoir l’étendue des lésions","Est toujours suffisant","Remplace l’histologie","2","Le document : 'Le bilan d’extension ne permet pas de prévoir l’étendue des lésions'","Difficult"
