question, option1, option2, option3, option4, answer, explanation, difficulty
"Quelle est la définition des hémorragies du troisième trimestre de la grossesse ?", "Toute hémorragie survenant entre 20 et 28 SA", "Toute hémorragie d'origine endo-utérine survenant entre 28 et 41 SA", "Toute hémorragie survenant après 41 SA", "Toute hémorragie survenant au premier trimestre", "2", "Le document : 'toute hémorragie d'origine endo-utérine survenant au cours du troisième trimestre de la grossesse (28-41 SA)'", "Easy"
"Quel est le signe à ne pas rechercher lors du toucher vaginal devant une hémorragie du 3ème trimestre ?", "Ouverture du col", "Matelas placentaire (signe de placenta praevia)", "Volume utérin", "Douleur", "2", "Le document : 'Signe à ne pas rechercher : MATELAS PLACENTAIRE (signe de placenta praevia)'", "Easy"
"Dans l'hématome rétro-placentaire, comment est l'utérus à la palpation ?", "Utérus souple", "Utérus contracturé (utérus de bois)", "Utérus atonique", "Utérus normal", "2", "Le document : 'Utérus contracturé (utérus de bois)'", "Easy"
"Quelle est la couleur du sang dans l'hématome rétro-placentaire ?", "Rouge vif", "Noirâtre", "Rosée", "Jaunâtre", "2", "Le document : 'Saignement noirâtre de faible ou moyenne abondance'", "Easy"
"Quelle est la couleur du sang dans le placenta praevia ?", "Noirâtre", "Rouge vif", "Marron", "Jaunâtre", "2", "Le document : 'Saignement rouge vif de quantité variable, avec présence de caillots'", "Easy"
"Quelle est la consistance de l'utérus dans le placenta praevia ?", "Contracturé", "Souple", "Dur", "Irritable", "2", "Le document : 'Utérus souple (car pas d'irritation; pas de douleur)'", "Easy"
"Quel examen doit être réalisé en premier lieu lors de l'examen obstétrical devant une hémorragie du 3ème trimestre ?", "Toucher vaginal", "Palpation utérine", "Spéculum", "Échographie", "3", "Le document : 'Spéculum : (à faire en premier lieu car équivalent de l'inspection)'", "Easy"
"Quel examen paraclinique permet de visualiser la localisation placentaire ?", "IRM", "Scanner", "Échographie obstétricale", "Cardiotocographie", "3", "Le document : 'Echographie obstétricale : Placenta : Localisation (anomalie?)'", "Easy"
"Quelle est la définition du placenta praevia ?", "Insertion haute du placenta", "Insertion basse du placenta au niveau du segment inférieur pendant le 3ème trimestre", "Décollement placentaire", "Insertion vélamenteuse du cordon", "2", "Le document : 'insertion basse du placenta (au niveau du segment inférieur: partie basse de l'utérus) pendant le 3ème trimestre'", "Easy"
"Quelle est la définition de l'hématome rétro-placentaire ?", "Décollement prématuré du placenta normalement inséré avec constitution d'un hématome", "Insertion basse du placenta", "Insertion vélamenteuse", "Rupture utérine", "1", "Le document : 'Décollement Prématuré du Placenta Normalement Inséré avec constitution d'un hématome entre l'utérus et le placenta'", "Easy"
"À partir de quel volume de caillot survient une coagulopathie de consommation dans l'HRP ?", "200g", "500g", "1000g", "1500g", "2", "Le document : 'Coagulopathie de consommation (taille du caillot : consommation totale des plaquettes et facteurs de coagulation dès 500g de caillot)'", "Easy"
"Quel est le facteur étiologique principal de l'hématome rétro-placentaire ?", "Cicatrice utérine", "HTA gravidique, pré-éclampsie", "Âge maternel", "Multiparité", "2", "Le document : 'Facteurs étiologiques : HTA gravidique (poussée hypertensive au cours de la grossesse), pré-éclampsie'", "Easy"
"Quel est le facteur étiologique principal du placenta praevia ?", "HTA", "Altération de l'endomètre (âge, multiparité, cicatrice utérine, curetage)", "Traumatisme", "Troubles de la coagulation", "2", "Le document : 'Altération de l'endomètre (agé, multipare, porteuse de cicatrice utérine : césarienne ou myomectomie, notion de curetage multiple auparavant)'", "Easy"
"Quelle complication est spécifique de l'hématome rétro-placentaire ?", "Hémorragie rouge vif", "Coagulopathie de consommation/CIVD", "Utérus souple", "BDCF conservés", "2", "Le document : 'Coagulopathie de consommation' et 'CIVD'", "Medium"
"Quelle est la conséquence de l'hémorragie de Benkiser ?", "Hémorragie maternelle grave", "Souffrance fœtale extrême car c'est le fœtus qui saigne", "Coagulopathie", "Rupture utérine", "2", "Le document : 'hémorragie de Benkiser (...) souffrance fœtal extrême car c'est le fœtus qui saigne : rupture des 2 artères ombilicales'", "Medium"
"Quel groupe sanguin doit être impérativement connu avant toute prise en charge ?", "ABO seulement", "Groupe sanguin, Rhésus, RAI +++", "Rhésus seul", "Phénotype Kell", "2", "Le document : 'Groupe sanguin - Rhésus - RAI +++'", "Easy"
"Quelle est la définition de la rupture utérine ?", "Solution de continuité chirurgicale de l'utérus", "Solution de continuité non chirurgicale de l'utérus pendant la grossesse ou le travail", "Déchirure vaginale", "Décollement placentaire", "2", "Le document : 'Solution de continuité non chirurgicale de l'utérus pendant la grossesse ou le travail'", "Easy"
"Quel est le risque de l'insertion vélamenteuse du cordon lors de la rupture des membranes ?", "Hémorragie maternelle", "Hémorragie de Benkiser (rupture des vaisseaux du cordon)", "Anémie maternelle", "Infection", "2", "Le document : 'Insertion véllamenteuse du cordon ombilical : réalisant une hémorragie de Benkiser'", "Medium"
"Quel est le geste de prévention systématique après une hémorragie du 3ème trimestre chez une femme Rhésus négatif ?", "Transfusion sanguine", "Prévention de l'iso-immunisation fœto-maternelle", "Césarienne", "Aucun geste", "2", "Le document : 'Toujours faire la prévention de l'iso-immunisation fœto-maternelle'", "Easy"
"Quel signe clinique associe hématome rétro-placentaire et altération de l'état général ?", "Saignement abondant rouge vif", "État de choc (tachycardie, pouls filant, HTA)", "État de choc (tachycardie, pouls filant et rapide, hypotension artérielle)", "Fièvre", "3", "Le document : 'EG très altéré avec début d'état de choc (tachycardie, pouls filant et rapide, hypotension artérielle)'", "Medium"
"Quel est le traitement de référence du placenta praevia compliqué d'hémorragie ?", "Voie basse", "Césarienne en urgence +++", "Déclenchement", "Expectative", "2", "Le document : 'Hospitalisation en milieu obstétrical et césarienne en urgence +++'", "Easy"
"Quelle est la cause de souffrance fœtale dans la rupture utérine ?", "Anémie maternelle", "Extériorisation du fœtus dans la cavité abdominale", "Compression du cordon", "Infection", "2", "Le document : 'Souffrance foetale (par extériorisation du foetus dans la cavité abdominale)'", "Medium"
"Quel est le traitement de l'hématome rétro-placentaire ?", "Voie basse", "URGENCE OBSTETRICALE EXTREME (césarienne)", "Traitement médical", "Expectative", "2", "Le document : 'Prise en charge : URGENCE OBSTETRICALE EXTREME'", "Easy"
"Quelle est la conséquence sur les BDCF dans l'hématome rétro-placentaire ?", "Normaux", "BDCF inaudible", "Tachycardie fœtale", "Bradycardie fœtale", "2", "Le document : 'Perte des MAF avec BDCF inaudible'", "Medium"
"Quel est le risque de l'hématome rétro-placentaire sur le fœtus ?", "Macrosomie", "MFIU (Mort Fœtale In Utero)", "Prématurité", "Malformation", "2", "Le document : 'MFIU'", "Medium"
