question,answer,explanation,difficulty
"Le rocher fait partie de l’os temporal.",True,"Le document indique : Rocher : os qui fait partie de l’os temporal.","Easy"
"La partie supérieure du rocher est exocrânienne.",False,"Le document précise : Rocher : partie supérieure endocranienne, inférieure exocrânienne.","Easy"
"La fracture longitudinale du rocher représente 10-30% des cas.",False,"Le document indique que la fracture longitudinale représente 70-80% des cas.","Easy"
"La fracture longitudinale est due à un choc latéral temporo-pariétal.",True,"Le document précise : Fracture longitudinale isolée : secondaire à un choc latéral : point d’impact temporo-pariétal.","Easy"
"L’otorragie après traumatisme crânien est une fracture du rocher jusqu’à preuve du contraire.",True,"Le document indique : Otorragie (lors d’un traumatisme crânien, = fracture du rocher jusqu’à preuve du contraire).","Easy"
"Le signe de Battle est une ecchymose rétro-auriculaire au niveau de l’os mastoïde.",True,"Le document précise : Hématome ou ecchymose rétro-auriculaire (au niveau de l’os mastoïde) = signe de BATTLE.","Easy"
"La fracture transversale du rocher est extra-labyrinthique.",False,"Le document indique que la fracture transversale est translabyrinthique, contrairement à la longitudinale qui est extra-labyrinthique.","Easy"
"La cophose est une perte partielle de l’audition.",False,"Le document définit la cophose comme une perte totale de l’audition, vraie surdité.","Easy"
"La fracture de la pointe du rocher atteint typiquement le nerf VI.",True,"Le document précise : Fracture de la pointe du rocher : +++ atteinte du VI : paralysie oculo-motrice.","Easy"
"L’acoumétrie utilise un diapason.",True,"Le document indique : Acoumétrie (test au diapason pour déterminer si surdité de transmission ou de perception).","Easy"
"Le scanner du rocher est l’examen de référence pour le diagnostic.",True,"Le document mentionne : Scanner du rocher dans la paraclinique.","Easy"
"La fracture ouverte du rocher expose à un risque infectieux majeur.",True,"Le document précise : Fracture ouverte du rocher : Risque : +++ infectieux (méningite, abcès cérébral, encéphalite).","Easy"
"La fracture du rocher avec lésion cérébrale relève de l’urgence neurochirurgicale.",True,"Le document indique : Fracture du rocher avec lésion cérébrale : URGENCE NEURO-CHIRURGICALE.","Easy"
"Le vertige positionnel avec nystagmus peut être secondaire à une fistule périlymphatique.",True,"Le document mentionne : Vertige positionnel avec nystagmus spontané soit secondaire à une fistule périlymphatique.","Easy"
"L’hypoacousie de type transmission oriente vers une fracture transversale.",False,"Le document associe l’hypoacousie de transmission à la fracture longitudinale.","Easy"
"La fracture transversale est due à un choc latéral.",False,"Le document indique que la fracture transversale est due à un choc frontal ou occipital.","Easy"
