question,option1,option2,option3,option4,answer,explanation,difficulty
"Quelle est la définition de l’épistaxis ?","Hémorragie d’origine digestive extériorisée par la bouche","Hémorragie d’origine pulmonaire extériorisée par la bouche","Hémorragie d’origine nasale extériorisée par le nez ou la bouche","Hémorragie d’origine pharyngée","3","Selon le document, l’épistaxis est une hémorragie d’origine nasale extériorisée par le nez ou par la bouche.","Easy"
"Quel est le pourcentage de cas où le saignement provient de la tâche vasculaire au niveau de la cloison nasale ?","50%","65%","75%","85%","3","Le document indique : Dans 75% des cas : saignement de la tâche vasculaire, au niveau du cloison nasal (existe sur les 2 côtés).","Easy"
"Quelle artère est l’artère principale de la cavité nasale ?","Artère faciale","Artère ophtalmique","Artère sphénopalatine","Artère maxillaire interne","3","Le document précise : Artère principale de la cavité nasale : artère sphénopalatine.","Easy"
"Le premier geste à effectuer lors de la rhinoscopie antérieure après avoir installé le patient est :","L’application de xylocaïne naphazolinée","La prise de la tension artérielle","Le mouchage pour évacuer les caillots","L’examen endoscopique","3","Le document indique : Après mouchage : évacue les caillots (1er geste à effectuer).","Easy"
"Quel produit provoque une rétraction muqueuse, un effet anesthésique et hémostatique ?","Adrénaline","Xylocaïne naphazolinée 5%","Sérum physiologique","Eau oxygénée","2","Le document précise : Après rétraction muqueuse : xylocaïne naphazolinée 5% (xylo napha entraîne une rétraction muqueuse, pouvoir anesthésique et hémostatique).","Easy"
"L’épistaxis bénigne est caractérisée par :","Une abondance importante et bilatérale","Un écoulement postérieur abondant","Une abondance minime en goutte à goutte, unilatérale","Un retentissement sur l’état général","3","Le document indique : Epistaxis bénigne : Unilatérale, Abondance minime : en goutte à goutte, Aucun retentissement sur l’état général.","Easy"
"Dans l’épistaxis maligne par répétition, l’écoulement postérieur est décrit comme :","À bas bruit","À haut débit pulsatile","Unilatéral","Associé à une fièvre élevée","1","Le document précise : Persistante : écoulement postérieur à bas bruit.","Easy"
"Quel est le premier geste d’urgence pour arrêter l’hémorragie ?","Perfusion de macromolécules","Transfusion sanguine","Tamponnement immédiat","Prélèvement pour groupage","3","Le document indique : Arrêter l’hémorragie : tamponnement immédiat.","Easy"
"Le fibrome nasopharyngé touche surtout :","Les femmes de plus de 50 ans","Les adolescents de 12-13 ans à prédominance masculine","Les enfants de moins de 5 ans","Les sujets âgés des deux sexes","2","Le document précise : Fibrome nasopharyngé (surtout ado, 12 ans - 13 ans, prédominance masculine, très hémorragique).","Easy"
"Parmi les causes locales d’épistaxis, laquelle est classée comme traumatique chirurgicale ?","Fracture de la base du crâne","Intubation nasotrachéale","Rhinosinusite aiguë","Granulome malin de la face","2","Le document indique dans les épistaxis d’origine locale traumatiques chirurgicales : Intubation nasotrachéale, Chirurgie rhinosinusienne.","Easy"
"Quel traitement anticoagulant est cité comme cause fréquente d’épistaxis par surdosage chez le sujet âgé ?","Aucun anticoagulant n’est mentionné","Traitement anticoagulant de façon générale","Héparine uniquement","Antivitamines K uniquement","2","Le document indique : Traitement anticoagulant : cause fréquente d’épistaxis par surdosage (surtout le sujet âgé).","Easy"
"L’épistaxis essentielle est :","Une épistaxis d’origine générale","Une épistaxis d’origine locale","Un diagnostic d’élimination","Une urgence médico-chirurgicale","3","Le document précise : Epistaxis essentielle : Epistaxis maladie. Ne doit être qu’un diagnostic d’élimination.","Easy"
"La compression bidigitale pour arrêter une épistaxis doit durer :","1-2 minutes","5-10 minutes","15-20 minutes","30 minutes","2","Le document indique dans l’escalade thérapeutique : Compression bidigitale (5-10mn).","Easy"
"Quel est le seuil d’hémoglobine chez l’adulte nécessitant une transfusion sanguine selon le document ?","Hb < 6 g/dL","Hb < 8 g/dL","Hb < 10 g/dL","Hb < 12 g/dL","2","Le document précise : Transfusion sanguine (en fonction de la déperdition sanguine) (chez l’adulte : Hb < 8g/dl).","Easy"
"La rhinoscopie antérieure nécessite quel type d’éclairage ?","Un éclairage faible","Un éclairage moyen","Un bon éclairage","Un éclairage avec lampe de Wood","3","Le document indique : Rhinoscopie antérieure : Bon éclairage.","Easy"
"Le saignement de la tâche vasculaire siège au niveau :","Du cornet inférieur","Du cornet moyen","De la cloison nasale","Du cavum","3","Le document indique : Dans 75% des cas : saignement de la tâche vasculaire, au niveau du cloison nasal (existe sur les 2 côtés).","Easy"
"Quelle est la voie d’extériorisation possible d’une épistaxis ?","Par le nez uniquement","Par la bouche uniquement","Par le nez ou par la bouche","Par les yeux","3","Le document indique : Hémorragie d’origine nasale extériorisée par le nez ou par la bouche.","Easy"
"L’épistaxis est considérée comme :","L’urgence neurologique la plus fréquente","L’urgence ORL la plus fréquente","L’urgence cardiologique la plus fréquente","L’urgence pédiatrique la plus fréquente","2","Le document précise : Urgence ORL la plus fréquente.","Easy"
"Dans l’épistaxis bénigne, la rhinoscopie postérieure montre :","Un écoulement sanglant postérieur abondant","Une tumeur maligne","Pas d’écoulement sanglant postérieur","Une déviation de la cloison","3","Le document indique : Rhinoscopie postérieure : pas d’écoulement sanglant postérieur.","Easy"
"Le tamponnement antérieur (méchage antérieur) doit être maintenu au moins :","12 heures","24 heures","48 heures","72 heures","3","Le document précise : Rehefa misy ny mêche dia misy ny contre mêche : bilatéral, au moins 48h avec couverture antibiotique.","Easy"
"La maladie de Rendu-Osler est classée comme :","Une maladie hémorragique par perturbation du temps vasculaire","Une maladie hémorragique par perturbation plaquettaire","Une maladie hémorragique par perturbation de la coagulation","Une maladie métabolique","1","Le document indique dans les maladies hémorragiques par perturbation du temps vasculaire : Maladie de Rendu-OSLER ou angiomatose hémorragique familiale.","Easy"
"Parmi les causes générales d’épistaxis, laquelle est une maladie infectieuse ?","Diabète","HTA","Grippe","Cirrhose","3","Le document indique dans les maladies infectieuses : typhoïde, scarlatine, grippe.","Easy"
"Quel examen permet un bilan précis des fosses nasales selon le document ?","Radiographie du crâne","Scanner des sinus","Nasofibroscopie (examen endoscopique)","IRM cérébrale","3","Le document indique : Examen endoscopique (nasofibroscopie, non obligatoire) : bilan précis.","Easy"
"L’hémoptysie se distingue de l’épistaxis par :","La provenance de l’arbre respiratoire avec des efforts de toux","La provenance digestive avec des vomissements","La provenance nasale sans effort","La provenance ORL","1","Le document indique : Hémoptysie : Hémorragie qui provient de l’arbre respiratoire ; Au cours des efforts de toux.","Easy"
"Le purpura thrombopénique est une épistaxis d’origine générale par perturbation :","Du temps vasculaire","Du temps plaquettaire","Du temps de coagulation","Du temps fibrinolytique","2","Le document indique dans les épistaxis d’origine générale, par perturbation du temps plaquettaire : Purpura thrombopénique, Purpura thrombopathique.","Easy"
"Quel facteur endocrinien est cité comme facteur favorisant l’épistaxis essentielle ?","Ménopause","Puberté","Prémenstruelle","Andropause","3","Le document indique dans les facteurs favorisants de l’épistaxis essentielle : Facteurs endocriniens (prémenstruelle, grossesse).","Easy"
"L’angiofibrome de la cloison est classé comme :","Une tumeur maligne","Une tumeur bénigne","Une maladie hémorragique","Une maladie infectieuse","2","Le document indique dans les tumeurs bénignes : Angiofibrome de la cloison.","Easy"
"La ligature artérielle dans le traitement de l’épistaxis concerne :","L’artère sphénopalatine","L’artère faciale","La carotide externe (rare)","La carotide interne","3","Le document indique dans l’escalade thérapeutique : Ligature artérielle (carotide externe, rare).","Easy"
"L’épistaxis est qualifiée d’urgence :","Médicale uniquement","Chirurgicale uniquement","Médico-chirurgicale","Psychiatrique","3","Le document indique : Urgence médico-chirurgicale.","Easy"
"La recherche des étiologies de l’épistaxis doit se faire :","En urgence avant tout geste","En dehors de la grande urgence","Après la sortie du patient","Jamais car c’est toujours bénin","2","Le document précise : Rechercher les étiologies en dehors de la grande urgence.","Easy"
"Quelle est la première étape de l’escalade thérapeutique ?","Tamponnement postérieur","Embolisation sélective","Compression bidigitale","Coagulation de la sphénopalatine","3","Le document indique dans l’escalade thérapeutique : 1. Compression bidigitale (5-10mn), 2. Tamponnement antérieur.","Medium"
"Pourquoi l’épistaxis par répétition est-elle considérée comme grave ?","Parce qu’elle est toujours abondante","Parce que de petits saignements répétés équivalent à un grand saignement","Parce qu’elle provoque une douleur intense","Parce qu’elle est toujours postérieure","2","Le document indique : Répétition (petit saignement à répétition → équivalent d’un grand saignement !!).","Medium"
