"term","definition","contextual_explanation"
"état de choc","Défaillance du système circulatoire aboutissant à une inadéquation entre l’apport et les besoins tissulaires périphériques en oxygène.","Urgence diagnostique et thérapeutique. Quatre mécanismes : septique, cardiogénique, hypovolémique, anaphylactique."
"choc septique","Sepsis grave + défaillance cardiovasculaire (hypotension malgré remplissage, ou besoin de vaso-actifs, ou signes d’hypoperfusion).","Mécanisme complexe : invasion microbienne → activation des systèmes de défense → réponse inflammatoire excessive."
"choc cardiogénique","Défaillance de la pompe cardiaque entraînant une diminution du débit cardiaque et une élévation des pressions de remplissage.","Qc = FC x VES. Étiologies : cardiopathies malformatives, myocardites, troubles du rythme, cardiomyopathies, post-chirurgie, valvulopathies."
"choc hypovolémique","Diminution du volume intravasculaire → diminution du retour veineux et de la précharge cardiaque → baisse du débit cardiaque.","Mécanismes compensateurs : vasoconstriction artérielle périphérique (redistribution vers organes nobles) et vasoconstriction veineuse (augmentation précharge)."
"choc anaphylactique","Défaillance circulatoire aiguë après pénétration d’un allergène dans un organisme préalablement sensibilisé.","Hypovolémie relative par vasodilatation systémique majeure (anomalie de distribution du volume sanguin)."
"choc vasoplégique","Autre nom du choc anaphylactique (vasodilatation majeure).","Terme utilisé pour classer les types de choc."
"SRIS","Syndrome de Réponse Inflammatoire Systémique.","Défini par au moins 2 critères : température anormale, FC anormale, FR anormale, leucocytes anormaux."
"sepsis","SRIS + infection (prouvée ou suspectée).","Étape avant le sepsis grave et le choc septique."
"sepsis grave","Sepsis + défaillance cardiovasculaire OU SDRA OU au moins deux autres défaillances d’organes.","État plus sévère que le sepsis simple."
"SDRA","Syndrome de Détresse Respiratoire Aiguë.","Une des conditions définissant le sepsis grave."
"défaillance cardiovasculaire","Tachycardie, troubles vasomoteurs.","Critère du sepsis grave et du choc septique."
"signes d’hypoperfusion","Lactatémie > 2N / acidose avec DB >5 mmol/L, diurèse <0,5 ml/kg/h, TRC >5 sec, différence température centrale-périphérique >3°C.","Au moins 2 signes pour définir le choc septique."
"lactatémie","Taux de lactate dans le sang.","Élevée dans l’état de choc, permet d’évaluer le retentissement et d’aider au diagnostic étiologique."
"déficit de base (DB)","Paramètre biologique mesurant l’excès d’acides ou de bases.",">5 mmol/L dans l’acidose du choc septique."
"TRC","Temps de recoloration cutanée.","Normal < 3 secondes. >3 secondes signe d’hypoperfusion."
"tachycardie","Augmentation de la fréquence cardiaque.","Premier signe clinique du choc. Si bradycardie, c’est trop tard."
"hypotension artérielle","Pression artérielle systolique basse (<2DS pour l’âge).","Signe de choc, notamment dans le choc septique malgré le remplissage."
"teint gris","Coloration grisâtre de la peau.","Signe d’insuffisance circulatoire périphérique dans le choc."
"marbrure","Aspect marbré de la peau (zones violacées).","Signe d’hypoperfusion cutanée."
"oligurie","Diurèse < 0,5 ml/kg/h.","Signe de défaillance d’organe (rénale) dans le choc."
"choc chaud","Forme de choc où les extrémités sont chaudes et rouges, le pouls ample, la PA normale ou basse.","Observé dans le choc anaphylactique et le choc septique (phase hyperdynamique)."
"purpura fébrile","Éruption purpurique associée à de la fièvre.","Évoque une infection à méningocoque jusqu’à preuve du contraire (choc septique)."
"TVJ","Turgescence des veines jugulaires.","Signe de choc cardiogénique (augmentation des pressions de remplissage)."
"RHJ","Reflux hépato-jugulaire.","Signe de choc cardiogénique."
"hépatomégalie","Augmentation de la taille du foie.","Signe de choc cardiogénique (congestion hépatique)."
"remplissage vasculaire","Administration de soluté (SSI 0,9%) pour augmenter le volume intravasculaire.","20 ml/kg en bolus, répétable. Dans choc septique : 40 ml/kg en 1 heure comme test diagnostique."
