"front","back","cognitive_level"
"Qu’est-ce que l’hypotrophie néonatale (RCIU) ?","Retard de croissance intra-utérin (RCIU) : poids de naissance < 10ème percentile sur les courbes de référence pour l’âge gestationnel. En France : courbes de Leroy et Lefort.","Recall"
"Quels sont les seuils de RCIU sévère chez le prématuré et chez l’enfant à terme ?","Prématuré : poids de naissance < 3ème percentile (< -2DS sur courbes de Usher). À terme : poids de naissance < 5ème percentile.","Recall"
"Quelle est la différence entre RCIU harmonieux et disharmonieux ?","Harmonieux (20 %) : atteinte simultanée du poids, de la taille et du périmètre crânien (symétrique). Disharmonieux (80 %) : respect du périmètre crânien et de la taille (épargne céphalique, asymétrique).","Recall"
"Quelle est la place de l’hypotrophie néonatale parmi les causes de mortalité périnatale ?","3ème cause de mortalité périnatale.","Recall"
"Quels sont les signes cliniques d’un RCIU disharmonieux ?","Poids faible pour le terme, taille et PC normaux ; membres longs et grêles, tronc étroit ; tête paraît grosse, visage triangulaire ; peau plissée (absence de tissu adipeux) ; vigilance présente, tonus en quadri-flexion.","Recall"
"Quels sont les signes cliniques d’un RCIU harmonieux ?","Aspect harmonieux mais maigreur impressionnante ; aspect fripé des téguments (marastiques) ; vigilance parfaite, tonus paraît exagéré. Possible chez un prématuré (prématuré hypotrophe).","Recall"
"Quels sont les critères de gravité de l’hypotrophie néonatale ?","Caractère symétrique (pronostic plus mauvais) ; terme de survenue (plus sévère si précoce) ; biométrie < 3ème percentile ; vitalité fœtale ; malformations associées ; anomalies au doppler (utérin, ombilical, cérébral) ; anomalies du rythme cardiaque fœtal (souffrance fœtale) ; score de Manning.","Recall"
"Quel est le diagnostic différentiel de l’hypotrophie néonatale ?","Nouveau-né prématuré eutrophe.","Recall"
"Quelles sont les trois grandes catégories de causes d’hypotrophie néonatale selon le processus physiopathologique ?","1) Diminution des échanges fœto-maternels (placentaires) par diminution du débit utéro-placentaire (1/3 des cas) ; 2) Anomalies fœtales ; 3) Pathologie maternelle chronique.","Understanding"
"Quelles sont les causes maternelles d’hypotrophie (40 %) ?","Syndrome vasculo-rénal ; tabagisme, alcoolisme, toxicomanie ; facteurs favorisants : primiparité, malformation utérine, petite taille (<1,5m), âge <20 ans ou >40 ans, maladie cardiovasculaire, maladie chronique, thrombophilie.","Recall"
"Quelles sont les causes fœtales d’hypotrophie (25 %) ?","Infections (rubéole, toxoplasmose, syphilis, parvovirus, entérovirus, herpès, varicelle, EBV, CMV) ; malformations ; anomalies chromosomiques (syndrome de Down, trisomie 21) ; grossesse multiple.","Recall"
"Quelles sont les causes placentaires d’hypotrophie (5 %) ?","Insertions vélamenteuses ; anomalies placentaires (chorangiome, ischémie).","Recall"
"Quel pourcentage des causes d’hypotrophie sont idiopathiques ?","30 %.","Recall"
"Citez six complications de l’hypotrophie néonatale.","Hypothermie, hypoxie ; hypoglycémie, hypocalcémie ; hypoprotidémie ; infectieuses (septicémie +++) ; digestives (entérocolites ulcéro-nécrosantes) ; hépatiques (ictères ++++) ; troubles de l’hémostase ; cholestase prolongée ; hématologiques (polyglobulie, neutropénie, thrombopénie).","Recall"
"Quelles sont les complications hématologiques de l’hypotrophie ?","Polyglobulie, neutropénie, thrombopénie.","Recall"
"Quelle est la prise en charge de l’hypotrophie néonatale ?","Lutte contre l’hypothermie (incubateur, table chauffante, rampe) ; alimentation précoce en l’absence d’asphyxie périnatale (pour éviter l’entérocolite ulcéro-nécrosante) ; surveillance dextro régulière ; supplémentation vitaminique et martiale ; dépistage des complications ; hygiène et asepsie.","Recall"
"Quel est le gain pondéral attendu au 1er mois de vie chez l’hypotrophie ?","20 g/kg/j (contre 10 g/kg/j pour l’eutrophe à terme et 15 g/kg/j pour le prématuré).","Recall"
"Quel est le rattrapage pondéral à 12 mois pour l’hypotrophie ?","Le poids atteint 100 % du poids d’un nouveau-né à terme eutrophe à 12 mois. La taille atteint 75 % sur plusieurs années. Le périmètre crânien atteint 50 % sur plusieurs années.","Recall"
"Quel est le risque de décès en cas d’association prématurité et hypotrophie ?","Risque de décès 3 fois plus élevé.","Recall"
"Quelles sont les recommandations pour le pronostic et le suivi ?","Surveillance neurologique +++ ; séquelles neurologiques possibles ; suivi rigoureux et prolongé.","Recall"
