question,answer,explanation,difficulty
"L’OMCC est une otite moyenne chronique cholestéatomateuse.",True,"Le document indique : OTITE MOYENNE CHRONIQUE CHOLESTEATOMATEUSE (OMCC).","Easy"
"L’OMCC est une pathologie bénigne sans risque de complications.",False,"Le document précise : Dangereuse, complications sévères (endocrâniens).","Easy"
"Le cholestéatome est constitué d’épithélium malpighien kératinisé.",True,"Le document indique : épithélium malpighien kératinisé (peau).","Easy"
"L’OMCC représente la moitié des otites chroniques à tympan ouvert.",False,"Le document précise : Prévalence : 1/3 des otites chroniques à tympan ouvert.","Easy"
"L’otorrhée de l’OMCC est fétide et résistante aux traitements médicaux.",True,"Le document indique : otorrhée fétide, résistante aux traitements médicaux.","Easy"
"L’otoscopie de l’OMCC montre une perforation marginale avec des squames blanchâtres.",True,"Le document précise : perforation marginale + poche de rétraction, squames épidermiques blanchâtre.","Easy"
"L’hypoacousie de l’OMCC est de type perception.",False,"Le document indique : Hypoacousie : transmission.","Easy"
"L’acoumétrie montre une surdité de transmission dans l’OMCC.",True,"Le document précise : Acoumétrie : surdité de transmission.","Medium"
"Le scanner du rocher est inutile dans le bilan de l’OMCC.",False,"Le document indique : TDM du rocher : bilan lésionnel, guide la chirurgie.","Easy"
"L’IRM du rocher permet de rechercher des cholestéatomes résiduels.",True,"Le document précise : IRM du rocher : choléstéatomes résiduels ou récidivant.","Medium"
"Le cholestéatome épitympanique atticale siège en bas et en avant.",False,"Le document indique : Cholestéatome épitympanique atticale (en ht et post).","Medium"
"La trisomie 21 est un facteur de risque de cholestéatome à tympan fermé.",True,"Le document cite : Cholestéatome à tympan fermé : FDR : trisomie 21.","Medium"
"Le cholestéatome congénital s’accompagne d’une inflammation majeure.",False,"Le document précise : cholestéatome congénital : rare, pas d’inflammation, tympan intact.","Medium"
"Le cholestéatome peut être post-traumatique.",True,"Le document mentionne : Cholestéatome post-traumatique.","Easy"
"La paralysie faciale périphérique est une complication de l’OMCC.",True,"Le document cite : Paralysie faciale périphérique.","Easy"
"La labyrinthite est une complication de l’OMCC.",True,"Le document cite : Labyrinthite.","Easy"
"La méningite est une complication endocrânienne de l’OMCC.",True,"Le document cite : Méningite.","Easy"
"L’abcès cérébral est une complication possible de l’OMCC.",True,"Le document cite : Abcès cérébral.","Easy"
"La thrombophlébite du sinus latéral est une complication de l’OMCC.",True,"Le document cite : Thrombophlébite du sinus latéral.","Easy"
"Le traitement médical seul est suffisant pour guérir l’OMCC.",False,"Le document indique : Chirurgie : seul moyen efficace.","Easy"
"La technique chirurgicale ouverte donne moins de récidives.",True,"Le document précise : Technique ouverte : moins de récidive.","Medium"
"La technique chirurgicale fermée est plus esthétique mais plus récidivante.",True,"Le document indique : Technique fermée : plus esthétique mais risque de récidive importante.","Medium"
"L’OMCC peut guérir spontanément.",False,"Le document précise : Pas de guérison spontanée.","Easy"
"Le dysfonctionnement tubaire est une théorie étiopathogénique du cholestéatome.",True,"Le document cite : Dysfonctionnement tubaire -> dépression, invagination puis rétraction tympanique.","Medium"
"La métaplasie épithéliale est une théorie expliquant la formation du cholestéatome.",True,"Le document mentionne : Métaplasie épithéliale.","Medium"
"Le cholestéatome à tympan fermé peut être favorisé par une fente vélaire.",True,"Le document cite : FDR : fente vélaire.","Medium"
"L’OMCC est une pathologie de l’enfant uniquement.",False,"Le document mentionne cholestéatome bilatéral : adulte+++.","Medium"
"Le cholestéatome du méat acoustique externe est une forme clinique.",True,"Le document cite : Cholestéatome du méat acoustique externe.","Medium"
"L’otalgie par réchauffement est un signe d’OMCC.",True,"Le document indique : Otalgie : réchauffement.","Medium"
"La cophose est un stade évolutif possible à l’audiométrie.",True,"Le document précise : Audiométrie : cophose.","Medium"
"Le cholestéatome pseudo-tumoral est une forme clinique.",True,"Le document cite : Cholestéatome pseudo-tumorale.","Medium"
"Les squames épidermiques dans l’OMCC sont noirâtres.",False,"Le document indique : squames épidermiques blanchâtre.","Easy"
