"front","back","cognitive_level"
"Qu’est-ce qu’un glaucome ?","Les glaucomes regroupent toutes les maladies oculaires où la pression intra-oculaire (PIO) est supérieure à 21 mmHg associées à un retentissement sur le nerf optique.","Recall"
"Quelle est la place des glaucomes parmi les causes de cécité dans le monde selon l’OMS ?","Le glaucome chronique à angle ouvert (GCAO) constitue la 2e cause de cécité dans le monde selon l’OMS, après la cataracte.","Recall"
"Combien de types de glaucomes existe-t-il ?","Il existe 4 types de glaucomes.","Recall"
"À quoi est due la pression intra-oculaire (PIO) ?","La PIO est fonction du volume d’humeur aqueuse contenue dans la chambre antérieure.","Recall"
"Où est sécrétée l’humeur aqueuse ?","L’humeur aqueuse est sécrétée par les procès ciliaires du corps ciliaire.","Recall"
"Décrivez le trajet complet de l’humeur aqueuse depuis sa sécrétion jusqu’à la circulation générale.","Sécrétion par les procès ciliaires → passe à travers les fibres de la zonule dans la chambre postérieure → traverse la pupille → arrive dans la chambre antérieure → résorption dans l’angle irido-cornéen à travers le trabéculum → drainée dans le canal de Schlemm → se jette dans les veines conjonctivales et la circulation générale.","Recall"
"Quelle est la PIO normale chez l’adulte ?","La PIO normale chez l’adulte mesure 15 +/- 5 mmHg (soit environ 10 à 20 mmHg).","Recall"
"Quel est le terrain typique de l’hypermétrope pour le glaucome ?","Hypermétrope, femme de la cinquantaine, stressée.","Recall"
"Quelle est la cause rare d’hypertonie oculaire (HTO) par augmentation de la sécrétion ciliaire ?","Dans les uvéites antérieures aiguës compliquées d’HTO au cours d’une uvéite hypertensive.","Recall"
"Qu’est-ce que le blocage pupillaire et dans quel glaucome le retrouve-t-on principalement ?","Le blocage pupillaire survient au cours d’un glaucome aigu à angle fermé. Avec l’âge, le cristallin s’opacifie et augmente de volume, pouvant provoquer un blocage de l’orifice pupillaire en cas de semi-mydriase. Des synéchies irido-cristalliniennes compliquant une uvéite antérieure aiguë mal traitée peuvent aussi le causer.","Recall"
"Quel est le mécanisme du glaucome chronique à angle ouvert (GCAO) ?","La sclérose du trabéculum liée à l’âge : diminution de l’élimination de l’humeur aqueuse au niveau de l’angle irido-cornéen.","Recall"
"Pourquoi l’hypermétrope est-il prédisposé au GAFA (glaucome aigu par fermeture de l’angle) ?","Chez l’hypermétrope, l’œil est trop court en antéro-postérieur, la chambre antérieure est trop plate, et l’angle irido-cornéen est constitutionnellement étroit. L’iris est poussée vers l’avant, fermant l’angle.","Recall"
"Quelle est la conséquence de l’hypertonie oculaire (HTO) sur le nerf optique ?","Compression des artères de la tête du nerf optique. La gravité est d’autant plus grande que la PIO est élevée.","Recall"
"Quel est le seuil critique de PIO et de durée entraînant une perte fonctionnelle totale et irréversible du nerf optique ?","Une pression oculaire > 60 mmHg pendant 12 heures entraîne une perte fonctionnelle totale et irréversible.","Recall"
"Comment l’HTO chronique agit-elle sur le nerf optique ?","L’HTO chronique agit sur la qualité de la microcirculation du nerf optique.","Recall"
"Quels sont les facteurs de risque vasculaire associés au glaucome chronique à angle ouvert ?","Les facteurs de risque vasculaire d’artériosclérose : HTA, diabète, tabac, hypercholestérolémie.","Recall"
"Expliquez le lien entre l’âge, le cristallin et le blocage pupillaire.","Avec l’âge, le cristallin s’opacifie et augmente de volume. En cas de semi-mydriase associée, ce cristallin volumineux peut bloquer l’orifice pupillaire, empêchant l’humeur aqueuse de passer de la chambre postérieure à la chambre antérieure, provoquant une hypertonie.","Understanding"
"Pourquoi une uvéite antérieure aiguë mal traitée peut-elle conduire à un glaucome ?","Parce qu’elle peut former des synéchies irido-cristalliniennes (adhérences entre l’iris et le cristallin), ce qui réalise un blocage pupillaire mécanique et diminue l’élimination de l’humeur aqueuse.","Understanding"
"Comparez les mécanismes de diminution de l’élimination de l’humeur aqueuse dans le glaucome congénital, le GCAO et le GAFA.","Glaucome congénital : obstruction de l’angle par une membrane embryonnaire de Barkan. GCAO : sclérose du trabéculum liée à l’âge. GAFA : fermeture de l’angle par poussée de l’iris en avant chez l’hypermétrope (œil trop court, chambre plate, angle étroit).","Analysis"
"Quelle est la différence entre le retentissement d’une PIO très élevée sur courte durée versus une HTO chronique ?","PIO très élevée (>60 mmHg sur 12h) → perte fonctionnelle totale et irréversible rapide. HTO chronique → altération progressive de la microcirculation du nerf optique, aggravée par les facteurs de risque vasculaire (HTA, diabète, tabac, hypercholestérolémie).","Analysis"
