"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition de la fièvre aiguë selon le document ?","Élévation de la température rectale à 37°9 depuis moins de 5 jours","Température axillaire > 38°C pendant plus de 7 jours","Hyperthermie majeure à 40°5","Température rectale > 39°C depuis 24 heures","1","Le document : 'Définition : Élévation de la température rectale, 37°9 depuis moins de 5 jours'.","Easy"
"Quelle est la différence entre hyperthermie et fièvre ?","L'hyperthermie est une élévation de la thermogenèse, la fièvre est un déréglage du centre thermorégulateur","L'hyperthermie est due à une infection, la fièvre à une intoxication","Il n'y a pas de différence","L'hyperthermie est une fièvre élevée","1","Le document donne ces définitions.","Easy"
"Quel est le seuil de fièvre élevée selon le document ?","38°5","39°C","40°C","37°9","1","Le document : 'Fièvre élevée : 38°5'.","Easy"
"Quel est un signe de mauvaise tolérance de la fièvre ?","Faciès vultueux","Somnolence","Cris vigoureux","TRC immédiat","2","Le document : tableau 'Mauvaise tolérance : Conscience : Somnolence'.","Easy"
"Quel est un signe de bonne tolérance de la fièvre ?","Pâleur","Marbrure","Cris plaintifs","Cris vigoureux","4","Le document : 'Bonne tolérance : Cris : Vigoureux'.","Easy"
"Quelle complication de la fièvre est citée ?","Insuffisance rénale","Convulsions","Anémie","Ictère","2","Le document : 'LES COMPLICATIONS : 1. Convulsions'.","Easy"
"Quel est le seuil d'hyperthermie majeure ?","39°C","39°5","40°5","41°C","3","Le document : 'Hyperthermie majeure si 40°5'.","Easy"
"Quel examen complémentaire est recommandé devant une fièvre à 39°C ?","Radiographie thoracique","Hémoculture","Ponction lombaire","Échographie abdominale","2","Le document : 'Hémoculture (si T°39°C)'.","Easy"
"Quel examen de laboratoire fait partie du bilan de première intention ?","NFS, VS, CRP","Ionogramme sanguin","Bilan hépatique","Créatinine","1","Le document : 'Examens complémentaires : NFS, VS, CRP'.","Easy"
"Quelle est la cause la plus fréquente de fièvre aiguë chez l'enfant ?","Bactérienne","Virale","Parasitaire","Exogène","2","Le document : 'LES PRINCIPALES CAUSES : Virale +++'.","Easy"
"Quelle est la particularité des nourrissons de moins de 3 mois fébriles ?","Risque d'infection bactérienne sévère","Fièvre toujours bénigne","Pas d'hospitalisation nécessaire","Traitement exclusif par antipyrétiques","1","Le document : 'PARTICULARITÉS DES 3 MOIS : Risque d'infection bactérienne SÉVÈRE +++'.","Easy"
"Quelle est la dose de paracétamol par voie orale chez l'enfant ?","30 mg/kg/24h","60 mg/kg/24h ou 15 mg/kg/6h","90 mg/kg/24h","120 mg/kg/24h","2","Le document : 'Paracétamol : 60mg/kg/24h ou 15mg/kg/6h en 4 prises PO'.","Easy"
