"question","answer","explanation","difficulty"
"La prématurité est définie entre 20 et 37 SA.","False","Entre 22 et 37 SA.","Easy"
"La grande prématurité représente 1 à 1,5% des naissances.","True","Document.","Easy"
"Les prématurés extrêmes (<28 SA) ont tous une réanimation intensive.","False","22-24 SA : soins palliatifs sans réanimation.","Easy"
"Le score de Ballard évalue l’âge gestationnel neurologique.","True","Document.","Easy"
"La peau du prématuré est épaisse et rugueuse.","False","Fine, transparente, gélatineuse, érythrosique.","Easy"
"Le lanugo du prématuré est abondant et épais.","True","Document.","Easy"
"Une prématurité inexpliquée doit faire rechercher une infection.","True","Document.","Easy"
"L’âge maternel >35 ans est un facteur favorisant de prématurité.","True","Document.","Easy"
"La béance cervico-isthmique est une cause ovulaire.","False","Maternelle.","Easy"
"La grossesse multiple est une cause ovulaire.","True","Document.","Easy"
"La maladie des membranes hyalines est due à un excès de surfactant.","False","Défaut de surfactant.","Easy"
"La dysplasie broncho-pulmonaire survient après 28 jours d’oxygénodépendance.","True","Document.","Easy"
"L’hypoglycémie du prématuré est définie par une glycémie <0,3 g/l.","True","Document.","Easy"
"L’hypocalcémie du prématuré est définie par une calcémie <80 mg/l.","True","Document.","Easy"
"La rétinopathie du prématuré est favorisée par l’hypothermie.","False","Par l’oxygénodépendance prolongée.","Easy"
"La méthode Kangourou est une alternative à la couveuse.","True","Document.","Easy"
"La prévention de la prématurité comporte 2 niveaux.","False","3 niveaux.","Easy"
"Les prématurés sont moins sujets aux infections.","False","Très sujets (septicémie +++).","Easy"
"La caféine est utilisée pour prévenir les apnées du prématuré.","True","Document.","Easy"
"Le score de Finnstrom est un score neurologique.","False","Morphologique.","Medium"
"Un RCIU harmonieux touche toutes les mensurations.","True","Document.","Medium"
"La tubulopathie du grand prématuré se manifeste par une perte de potassium.","False","Perte de sodium urinaire.","Medium"
"L’entérocolite ulcéro-nécrosante est une complication respiratoire.","False","Digestive.","Medium"
"La persistance du canal artériel peut entraîner une HTAP.","True","Document.","Medium"
"La leucomalacie périventriculaire est une complication neurologique.","True","Document.","Medium"
"L’hyperbilirubinémie expose le prématuré à l’ictère nucléaire.","True","Document.","Medium"
"La vitaminothérapie du prématuré comporte les vitamines A, D, E, K.","True","Document.","Medium"
"Le pronostic est meilleur si prématurité associée à hypotrophie.","False","Plus mauvais.","Medium"
"Le diagnostic différentiel de la prématurité est le nouveau-né à terme hypotrophe.","True","Document.","Medium"
"L’âge échographique de datation est 12-14 SA.","True","Document.","Medium"
"La chorioamniotite est une cause maternelle.","False","Ovulaire.","Medium"
"L’hydramnios est une cause ovulaire.","True","Document.","Medium"
"Le score d’Apgar <5 à M5 est un critère de gravité.","True","Document : ''mauvaise adaptation à la naissance''.","Medium"
"La toxicité médicamenteuse chez le prématuré est due à une immaturité rénale et hépatique.","True","Document.","Medium"
"La méthode Kangourou est impossible dans les centres sans incubateur.","False","Possible quel que soit le niveau de soin.","Medium"
"Les hémorragies intra-ventriculaires sont une complication ophtalmologique.","False","Neurologique.","Medium"
"La prévention de la prématurité inclut la tocolyse en cas de MAP.","True","Document (2e niveau).","Medium"
"Le premier niveau de prévention comprend au moins 8 CPN.","True","Document.","Medium"
"Les prématurés de 22-24 SA bénéficient de soins palliatifs sans réanimation.","True","Document.","Difficult"
"La courbe de Leroy et Lefort définit l’hypotrophie à <5ème percentile.","False","<10ème percentile.","Difficult"
"L’âge gestationnel de la grande prématurité est 28-31 SA 6j.","True","Document.","Difficult"
"La prématurité légère est 34-36 SA 6j.","True","Document.","Difficult"
"La maladie des membranes hyalines touche surtout les grands prématurés.","True","Document : ''surtout chez les grands prématurés''.","Difficult"
"Le réflexe vagal hyperréflectivité est une complication cardiovasculaire.","True","Document.","Difficult"
"Les complications infectieuses sont favorisées par les prothèses (sondes, cathéters).","True","Document.","Difficult"
"Le pronostic dépend uniquement de l’âge gestationnel.","False","Aussi hypotrophie, détresse respiratoire, infections, lésions cérébrales.","Difficult"
"La prise en charge en salle de travail inclut un lange stérile chauffé.","True","Document.","Difficult"
"L’alimentation du prématuré peut se faire avec du lait thérapeutique.","True","Document.","Difficult"
"Le suivi du prématuré doit être rigoureux jusqu’à l’âge adulte.","True","Conclusion.","Difficult"
"La prématurité est la première cause de mortalité néonatale.","True","Conclusion.","Difficult"
