"question","answer","explanation","difficulty"
"Les ulcères duodénaux sont plus fréquents que les ulcères gastriques.","True","Le document : '2% pour les ulcères gastriques ; 7% pour les ulcères duodénaux'","Easy"
"L’infection par Helicobacter pylori est un facteur de risque d’UGD.","True","Le document : 'Infection par Hélicobacter Pylori'","Easy"
"La perforation complique 5% des UGD.","False","Le document : '10% des UGD'","Easy"
"La douleur de perforation est progressive.","False","Le document : 'Douleur de début brutal en coup de poignard'","Easy"
"La contracture abdominale est un signe de péritonite.","True","Le document : 'CONTRACTURE de l’épigastre rapidement généralisé'","Easy"
"L’ASP montre un pneumopéritoine dans 80% des cas de perforation.","True","Le document : 'PNEUMOPERITOINE (80%)'","Easy"
"La méthode de Taylor est un traitement chirurgical.","False","Le document : 'traitement médical seul : METHODE DE TAYLOR'","Easy"
"La sténose pylorique se manifeste par des vomissements bilieux.","False","Le document : 'ils ne contiennent pas de bile'","Easy"
"Le signe du clapotis à jeûn est évocateur de sténose gastrique.","True","Le document : 'Signe du clapotis à jeûn'","Easy"
"L’hémorragie ulcéreuse représente 50% des hémorragies digestives hautes.","True","Le document : '50% des HDH'","Easy"
"La mortalité de l’hémorragie ulcéreuse est de 20%.","False","Le document : '3 à 15%'","Easy"
"L’artère gastro-duodénale est souvent responsable de l’hémorragie.","True","Le document : 'la gastro-duodénale (en arrière du bulbe duodénal)'","Easy"
"Le traitement endoscopique peut utiliser un clip hémostatique.","True","Le document : 'pose d’un clip hémostatique'","Easy"
"La vagotomie tronculaire est un traitement de la maladie ulcéreuse.","True","Le document : 'vagotomie tronculaire'","Medium"
"La méthode de Taylor est indiquée en cas de choc.","False","Le document : 'Absence de choc'","Medium"
"L’éradication de HP dure 14 jours.","False","Le document : '7j'","Medium"
"L’oméprazole est un IPP.","True","Le document : 'IPP type Oméprazole'","Medium"
"La sténose est plus fréquente dans l’ulcère gastrique.","False","Le document : 'Plus fréquente dans UD que UG'","Medium"
"L’ASP dans la sténose montre des niveaux hydro-aériques.","False","Le document : 'absence de niveaux hydro-aériques'","Medium"
"La fibroscopie est contre-indiquée dans la sténose.","False","Le document : 'Fibroscopie oeso-gastro-duodénale'","Medium"
"Le traitement médical de la sténose est efficace dans 30% des cas récents.","True","Le document : 'Efficacité dans 30% des cas si la maladie ulcéreuse est récente'","Medium"
"La dilatation au ballonnet est un traitement endoscopique de la sténose.","True","Le document : 'Dilatation au ballonet'","Medium"
"La récidive hémorragique est de 20%.","True","Le document : 'Récidive hémorragique : 20%'","Medium"
"L’injection d’adrénaline est un geste d’hémostase endoscopique.","True","Le document : 'Injection d’un agent vasoconstricteur (adrénaline*)'","Medium"
"La chirurgie pour hémorragie est indiquée en première intention.","False","Le document : 'En cas d’échec de l’endoscopie'","Medium"
"L’exérèse de l’ulcère gastrique hémorragique nécessite une anapath.","True","Le document : 'exérèse de l’ulcère puis suture + anapath'","Medium"
"La pyloroplastie consiste à agrandir le pylore.","True","Le document : 'pyloroplastie(on aggrandit le diamètre transversal du pylore)'","Medium"
"L’hyperparathyroïdie diminue la sécrétion acide.","False","Le document : 'l’hypercalcémie augmente la sécrétion acide'","Difficult"
"La méthode de Taylor nécessite une aspiration par SNG.","True","Le document : 'SNG en aspiration'","Difficult"
"L’abcès sous-phrénique est une complication de la méthode de Taylor.","True","Le document : 'Abcès sous-phrénique'","Difficult"
"Dans la sténose, l’alcalose métabolique est due aux vomissements.","True","Le document : 'Alcalose métabolique' (perte d’acide chlorhydrique)","Difficult"
"La TOGD montre une hyperkinésie antrale puis atonie.","True","Le document : 'Hyperkinésie antrale puis atonie gastrique'","Difficult"
"Le traitement chirurgical de la sténose peut être une vagotomie tronculaire + antrectomie.","True","Le document : 'Vagotomie tronculaire + antrectomie'","Difficult"
"L’hémorragie cataclysmique nécessite une chirurgie d’urgence.","True","Le document : 'hémorragie cataclysmique non corrigée par le remplissage vasculaire'","Difficult"
