"term","definition","contextual_explanation"
"hématurie","Présence de sang dans les urines.","Un des motifs de consultation néphrologique les plus fréquents chez l’enfant, pouvant révéler presque toutes les pathologies néphrologiques et urologiques."
"BU","Bandelette urinaire – test rapide de dépistage.","Pour confirmer l’hématurie, la BU est positive à partir de ++ (hémoglobine)."
"ECBU","Examen cytobactériologique des urines.","Confirme l’hématurie si > 5 GR/mm3."
"compte d’Addis","Méthode de quantification des éléments figurés dans les urines recueillies sur 24h ou sur un temps donné.","Seuils : > 5 000 GR/mn pour une microhématurie, > 500 000 GR/mn pour une macrohématurie."
"microhématurie","Hématurie invisible à l’œil nu, détectée uniquement au microscope ou à la BU.","Correspond à > 5 000 GR/mn au compte d’Addis."
"macrohématurie","Hématurie visible à l’œil nu, urines rouges ou colorées.","Correspond à > 500 000 GR/mn au compte d’Addis."
"ASP","Abdomen sans préparation – radiographie de l’abdomen.","Bilan systématique avec échographie abdominale +/- ASP."
"protéinurie","Présence de protéines dans les urines.","Bilan à prescrire avec la microalbuminurie."
"microalbuminurie","Excrétion urinaire d’albumine à des taux inférieurs à la protéinurie détectable par bandelette.","Fait partie du bilan initial."
"complément C3","Fraction C3 du complément sérique, marqueur inflammatoire et de certaines glomérulopathies.","Dosage systématique dans le bilan d’une hématurie (protidémie, dosage du complément C3)."
"étude morphologique des GR","Analyse de la forme des globules rouges dans les urines au microscope.","Peut aider à différencier une origine glomérulaire (dysmorphie) d’une origine non glomérulaire (formes normales)."
"hématuries glomérulaires","Hématurie d’origine rénale, liée à une atteinte du glomérule.","Causes : glomérulonéphrite aiguë, purpura rhumatoïde, syndrome d’Alport, maladie de Berger."
"hématuries non glomérulaires","Hématurie d’origine extra-glomérulaire (voies excrétrices, vessie, urètre, causes vasculaires ou coagulopathies).","Causes : infections (cystite, urétrite, PNA, bilharziose), lithiase, tumeurs (néphroblastome, rhabdomyosarcome vésical), polykystose rénale, traumatisme, thrombose vasculaire, drépanocytose, troubles coagulation, corps étranger, polype, angiome, fistule."
"glomérulonéphrite aiguë","Inflammation aiguë des glomérules rénaux, souvent post-infectieuse.","Cause d’hématurie glomérulaire."
"purpura rhumatoïde","Vascularite à IgA (maladie de Schönlein-Henoch) touchant la peau, les articulations, le tube digestif et les reins.","Cause d’hématurie glomérulaire."
"syndrome d’Alport","Maladie génétique du collagène de type IV, associant néphropathie glomérulaire, surdité et atteintes oculaires.","Cause d’hématurie glomérulaire."
"maladie de Berger","Néphropathie à IgA, glomérulonéphrite chronique par dépôts d’IgA dans le mésangium.","Cause d’hématurie glomérulaire."
"cystite","Infection de la vessie.","Cause non glomérulaire d’hématurie."
"urétrite","Inflammation de l’urètre.","Cause non glomérulaire."
"PNA","Pyélonéphrite aiguë – infection du rein et du bassinet.","Peut donner une microhématurie (non glomérulaire)."
"bilharziose","Parasitose due à Schistosoma, pouvant entraîner une hématurie terminale.","Cause infectieuse non glomérulaire."
"lithiase","Présence de calculs (vésicaux, urétéraux).","Cause non glomérulaire d’hématurie."
"néphroblastome","Tumeur rénale maligne de l’enfant (tumeur de Wilms).","Cause tumorale non glomérulaire."
"rhabdomyosarcome vésical","Sarcome des muscles striés de la vessie, tumeur maligne rare chez l’enfant.","Cause tumorale non glomérulaire."
"polykystose rénale","Maladie génétique caractérisée par de multiples kystes dans les reins.","Cause non glomérulaire d’hématurie."
"thrombose vasculaire","Formation d’un caillot sanguin dans un vaisseau rénal.","Survient surtout au cours d’asphyxie périnatale, déshydratation, syndrome néphrotique."
"drépanocytose","Maladie génétique de l’hémoglobine, entraînant une congestion et nécrose papillaire rénale.","Cause non glomérulaire d’hématurie."
"hémophilie A","Déficit en facteur VIII de la coagulation, maladie hémorragique héréditaire.","Trouble de la coagulation responsable d’hématurie."
"maladie de Willebrand","Déficit en facteur von Willebrand, trouble de la coagulation.","Cause d’hématurie."
"angiome","Tumeur vasculaire bénigne.","Cause rare d’hématurie."
"fistule artérioveineuse","Communication anormale entre une artère et une veine.","Cause rare d’hématurie."
