question, option1, option2, option3, option4, answer, explanation, difficulty
"Quelle est la fréquence des saignements du premier trimestre de la grossesse ?", "15% des complications", "20% des complications", "25% des complications", "30% des complications", "3", "Le document : 'Fréquente : 25% des complications de la grossesse'", "Easy"
"À partir de quel âge gestationnel le sac ovulaire est-il visible en échographie endovaginale ?", "4 SA", "5 SA", "6 SA", "7 SA", "2", "Le document : 'le sac ovulaire est visible dès 5 SA'", "Easy"
"À partir de quel âge gestationnel l'embryon et son activité cardiaque deviennent-ils visibles ?", "4-5 SA", "5-5,5 SA", "5,5-6 SA ou LCC ≥ 7mm", "6-7 SA", "3", "Le document : 'L'embryon et son activité cardiaque deviennent visibles entre 5,5 et 6 SA ou longueur cranio-caudale (LCC) ≥ 7mm'", "Easy"
"Quel est l'aspect des douleurs dans l'avortement spontané ?", "Douleurs latéralisées intenses", "Douleurs pelviennes médianes, intermittentes, à type de contractions", "Douleurs sourdes continues", "Douleurs sans caractère particulier", "2", "Le document : 'Douleurs pelviennes médianes, intermittentes, à type de contractions, comme des règles'", "Easy"
"Quel est l'aspect des douleurs dans la grossesse extra-utérine (GEU) ?", "Douleurs médianes", "Douleurs pelviennes latéralisées, sourdes avec accès plus intenses", "Absence de douleur", "Douleurs généralisées", "2", "Le document : 'Douleurs pelviennes latéralisées, sourdes, avec des accès plus intenses'", "Easy"
"Quel est l'aspect des hémorragies dans la GEU ?", "Abondantes, rouge vif", "Peu abondantes, noirâtres ou couleur sépia", "Avec caillots abondants", "Hémorragie extériorisée uniquement", "2", "Le document : 'Hémorragies peu abondantes, noirâtres (ou couleur sépia)'", "Easy"
"Quel est l'aspect des hémorragies dans l'avortement spontané ?", "Peu abondantes, noirâtres", "Franches, sang rouge, avec caillots et débris", "Spotting isolé", "Métrorragies cycliques", "2", "Le document : 'Hémorragies franches, de sang rouge, avec caillots et débris'", "Easy"
"Quel est le signe échographique de la grossesse molaire ?", "Sac ovulaire intra-utérin normal", "Masse hétérogène floconneuse en nid d'abeille", "Utérus vide", "Masse latéro-utérine", "2", "Le document : 'l'utérus est occupé par une masse hétérogène, floconneuse, contenant de multiples petites vésicules (en nid d'abeille)'", "Easy"
"Quelle est la particularité des signes sympathiques de grossesse dans la grossesse molaire ?", "Absents", "Très intenses", "Normaux", "Disparus", "2", "Le document : 'Signes sympathiques de grossesse très intenses'", "Easy"
"Quelle est la taille de l'utérus dans la grossesse molaire par rapport à l'âge de la grossesse ?", "Plus petit", "Plus gros", "Normal", "Variable", "2", "Le document : 'Utérus plus gros que ne le voudrait l'âge de la grossesse'", "Easy"
