"front","back","cognitive_level"
"Quelle est la définition de la diarrhée aiguë selon l''OMS ?","Émission d''au moins 3 selles molles ou liquides par jour, ou > 300 g/jour, de durée < 14 jours.","Recall"
"Quels sont les deux mécanismes physiopathologiques de la diarrhée aiguë ?","1) Mécanisme sécrétoire : diarrhée liquidienne due à des toxines bactériennes provoquant une fuite d''eau et d''électrolytes. 2) Mécanisme invasif : diarrhée invasive par inflammation et lésion de la muqueuse.","Understanding"
"Quelles sont les trois situations justifiant la prescription d''examens paracliniques devant une diarrhée aiguë ?","1) Diarrhée avec signes de gravité (déshydratation ou choc hypovolémique). 2) Mauvaise tolérance. 3) Diarrhée durant plusieurs jours (>72 heures sous traitement). 4) Notion d''épidémie (pour identifier le germe).","Recall"
"Quels examens biologiques composent le bilan de retentissement d''une diarrhée aiguë ?","Ionogramme sanguin (recherche d''hypokaliémie, hyponatrémie, hypernatrémie), bilan rénal (créatininémie, urée pour insuffisance rénale fonctionnelle), bilan inflammatoire (hémogramme, CRP).","Recall"
"Quels examens composent le bilan étiologique d''une diarrhée aiguë ?","Coproculture (selles fraîches), examen parasitologique des selles (KAOP), sérologie (Vidal-Felix, yersiniose), rectoscopie (notamment chez les patients VIH+).","Recall"
"Quels sont les trois critères de gravité d''une diarrhée aiguë ?","1) Déshydratation (extracellulaire : signe du pli ; intracellulaire : soif, fièvre, sécheresse des muqueuses). 2) État de choc (hypovolémique ou septique). 3) Terrain à risque (personnes âgées, tares viscérales comme cirrhose, diarrhée > 1 semaine).","Recall"
"Quel est le germe le plus fréquemment responsable de la « turista » (diarrhée du voyageur) et quelles sont ses caractéristiques ?","Escherichia coli entérotoxinogène. Incubation de 24 à 48 heures après contamination, le plus souvent apyrétique. Survient chez des personnes de pays développés se rendant en zone tropicale après ingestion d''eau souillée.","Recall"
"Quelles sont les caractéristiques cliniques du choléra ?","Incubation de 2 à 7 jours. Diarrhée abondante en « eau de riz ». Décès possible par déshydratation massive avec état de choc.","Recall"
"Quelle est l''incubation et la présentation de la diarrhée à Staphylocoque ?","Incubation très courte : symptômes en 1 heure. Apyrétique. Contamination par aliments souillés par une personne ayant une infection à Staphylocoque (ex : furoncle sur les mains préparant les aliments).","Recall"
"Quelles sont les caractéristiques de la diarrhée à Salmonelles mineures ?","Incubation de 8 à 48 heures. Diarrhée dysentériforme. Contamination par viandes préparées ou laitages.","Recall"
"Quels sont les signes d''une diarrhée à Clostridium perfringens ?","Incubation de 8 à 12 heures. Toxi-infection alimentaire collective. Fièvre possible. Contamination par viandes en sauces chauffées (cuites la veille).","Recall"
"Quels virus sont responsables de diarrhée aiguë chez l''adulte ?","Rotavirus (+++), Entérovirus, Adénovirus. Ils associent un syndrome pseudo-grippal et une diarrhée, avec un aspect épidémique.","Recall"
"Quelle étiologie parasitaire est mentionnée pour la diarrhée aiguë chez l''immunodéprimé ?","Cryptococcose.","Recall"
"Citez trois classes de médicaments pouvant induire une diarrhée aiguë d''origine iatrogène.","Colchicine, laxatifs, biguanides (metformine).","Recall"
"Un patient de 70 ans, diabétique, présente depuis 12 heures une diarrhée aqueuse abondante, des vomissements, et un pli cutané persistant. Quel est le diagnostic de gravité à poser et quel bilan de retentissement devez-vous prescrire ?","Diagnostic de gravité : déshydratation extracellulaire (signe du pli) avec terrain à risque (âge >65 ans, diabète). Bilan de retentissement : ionogramme sanguin (recherche d''hypokaliémie, hyponatrémie, hypernatrémie), bilan rénal (créatininémie, urée), bilan inflammatoire (NFS, CRP).","Application"
"Un patient revient d''un voyage en zone tropicale et présente une diarrhée aqueuse sans fièvre, 30 heures après son retour. Quel est le germe le plus probable ?","Escherichia coli entérotoxinogène (turista, incubation 24-48h, apyrétique).","Application"
"Lors d''une toxi-infection alimentaire collective survenue après un repas contenant une sauce à la viande préparée la veille, l''incubation est de 10 heures et plusieurs patients ont de la fièvre. Quel germe suspectez-vous ?","Clostridium perfringens (incubation 8-12h, fièvre possible, viandes sauces chauffées cuites la veille).","Analysis"
"Un patient VIH+ présente une diarrhée chronique. Quel examen complémentaire spécifique est mentionné dans le document ?","Rectoscopie.","Recall"
"Selon le document, quels sont les deux types de déshydratation à distinguer dans la diarrhée aiguë ?","Déshydratation extracellulaire (signe du pli) et déshydratation intracellulaire (soif, fièvre, sécheresse des muqueuses).","Recall"
"Pourquoi un patient cirrhotique est-il particulièrement à risque de complication grave lors d''une diarrhée aiguë ?","Parce que sans correction des troubles hydro-électrolytiques, il risque de développer un syndrome hépato-rénal et d''en mourir.","Understanding"
