"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition de la détresse respiratoire du nouveau-né selon le document ?","Toute difficulté respiratoire à la naissance ou dans les heures/jours suivants","Apnée néonatale","Cyanose isolée","Polypnée transitoire","1","Le document : 'DR du NN : Toutes difficultés respiratoires, À la naissance ou dans les heures ou jours qui suivent la naissance'.","Easy"
"Quels sont les trois symptômes principaux à rechercher pour le diagnostic positif de détresse respiratoire ?","Tachypnée, bradycardie, hypotonie","Polypnée, cyanose, signes de lutte","Fièvre, toux, vomissements","Geignement, rétraction, apnée","2","Le document : 'CLINIQUE : 3 SYMPTÔMES à rechercher : Polypnée, Cyanose, Signes de lutte'.","Easy"
"Quelle est la valeur normale de la fréquence respiratoire chez le nouveau-né ?","30-40 cpm","40-60 cpm","50-70 cpm","60-80 cpm","2","Le document : 'N : 40-60' (cpm = cycles par minute).","Easy"
"À partir de quelle fréquence respiratoire parle-t-on de polypnée chez le nouveau-né ?","> 50 cpm","> 60 cpm","> 70 cpm","> 80 cpm","2","Le document : 'Polypnée : FR> 60 cpm, à plusieurs reprises'.","Easy"
"Quel est le risque de la survenue d'apnée chez un nouveau-né en détresse respiratoire ?","Guérison spontanée","Assistance respiratoire immédiate","Aggravation de la cyanose","Bradycardie","2","Le document : 'Survenue d’apnée chez NN en DR -> assistance respiratoire immédiate'.","Easy"
"Quelle est la suspicion devant une cyanose isolée non améliorée par l'apport d'oxygène ?","Maladie des membranes hyalines","Cardiopathie congénitale cyanogène","Pneumothorax","Inhalation méconiale","2","Le document : 'Si isolée et non améliorée par apport d’O2 -> suspicion de Cardiopathie congénitale cyanogène'.","Easy"
"Quel est le score utilisé pour quantifier les signes de lutte respiratoire ?","Apgar","Silverman","Downes","PRAM","2","Le document : 'Signes de lutte : SILVERMAN'.","Easy"
"Quel est un signe de gravité respiratoire ?","Polypnée modérée","Épuisement respiratoire : irrégularité, gasping, apnée","Geignement expiratoire","Tirage intercostal","2","Le document liste l'épuisement respiratoire comme signe de gravité.","Easy"
"Quelle est la bradycardie définie comme anomalie cardiaque de gravité ?","< 80 bpm","< 100 bpm","< 120 bpm","< 140 bpm","2","Le document : 'bradycardie (<100bpm)'.","Easy"
"Quel est le traitement de première intention de la maladie des membranes hyalines ?","Corticothérapie anténatale","Surfactant exogène par voie intratrachéale","Ventilation au masque","Oxygénothérapie seule","2","Le document : 'Traitement : surfactant exogène par voie intratrachéale'.","Easy"
"Quelle est la prévention de la maladie des membranes hyalines chez le prématuré ?","Vitamine K","Corticothérapie anténatale (MAP < 34 SA)","Surfactant postnatal","Antibiotiques","2","Le document : 'Prévention : corticothérapie anténatale (MAP<34SA)'.","Easy"
"Quelle est la particularité radiologique de l'inhalation méconiale ?","Opacités en verre dépoli","Opacités bilatérales diffuses dites 'en mottes'","Bronchogramme aérien","Cœur en sabot","2","Le document : 'Radiographie : Opacités bilatérales et diffuses, dites “en mottes”'.","Easy"
"Quel examen radiologique est essentiel pour le diagnostic étiologique ?","IRM","Scanner","Radiographie thorax face en inspiration","Échographie","3","Le document : 'Radiographie thorax, face, en inspiration' dans les examens paracliniques.","Easy"
"Quel est le risque d'une SpO2 > 98% chez le prématuré ?","Hypoxie","Rétinopathie du prématuré et cécité","Hypercapnie","Acidose","2","Le document : 'Si SpO2 > 98% : diminuer impérativement les apports en 02, car risque d’hyperoxie = rétinopathie du prématuré et cécité'.","Easy"
"Quel est un signe clinique de pneumothorax chez le nouveau-né ?","Abdomen plat","Bombement de l'hémithorax + auscultation asymétrique","Râles humides","Déviation des bruits du cœur","2","Le document le donne.","Easy"
"Quelle est la contre-indication absolue de la ventilation au masque chez le nouveau-né ?","Maladie des membranes hyalines","Hernie diaphragmatique congénitale","Retard de résorption","Cardiopathie","2","Le document : 'Contre-indications de la ventilation au masque : Hernie diaphragmatique congénitale' (avec inhalation méconiale et pneumothorax).","Easy"
"Quelle est la fréquence de la maladie des membranes hyalines chez le prématuré de moins de 32 SA ?","5-10%","10-20%","30-50%","50-70%","3","Le document : '< 32 SA dans 30 à 50 %'.","Easy"
"Quel est le traitement d'un pneumothorax compressif ?","Oxygénothérapie simple","Exsufflation à l'aiguille en urgence et drain thoracique","Surfactant","Ventilation non invasive","2","Le document le mentionne.","Easy"
"Quel est un signe radiologique de la maladie des membranes hyalines ?","Opacités en mottes","Bronchogramme aérien","Hyperclarté","Distension thoracique","2","Le document : 'Bronchogramme aérien' parmi les 3 signes de collapsus alvéolaire.","Easy"
"Quelle étiologie de détresse respiratoire est fréquemment associée à la césarienne ?","Inhalation méconiale","Retard de résorption (DR transitoire)","Maladie des membranes hyalines","Hernie diaphragmatique","2","Le document : 'Césarienne +++' pour le retard de résorption.","Easy"
"Quelle est la valeur de la fréquence cardiaque normale chez le nouveau-né ?","100-160 bpm","120-180 bpm","80-120 bpm","140-200 bpm","Non précisé","Le document donne bradycardie <100 et tachycardie >180 comme anomalies.","Medium"
"Quels sont les trois signes de collapsus alvéolaire dans la maladie des membranes hyalines ?","Opacités diffuses bilatérales, bronchogramme aérien, diminution de l'expansion thoracique","Opacités en mottes, distension, atélectasies","Hyperclarté, emphysème, pneumothorax","Cœur en sabot, hypervascularisation, cardiomégalie","1","Le document les liste.","Medium"
"Quels sont les éléments évocateurs d'une infection materno-fœtale (IMF) ?","Prématurité inexpliquée, rupture prématurée des membranes, portage maternel de germes, hyperthermie maternelle","Césarienne, liquide clair, absence de fièvre","Âge gestationnel >40 SA, travail rapide","Polyhydramnios, macrosomie","1","Le document les cite.","Medium"
"Quelles sont les contre-indications de la ventilation au masque ?","Suspicion d'inhalation méconiale, pneumothorax, hernie diaphragmatique congénitale","Prématurité, hypotrophie, asphyxie","Cardiopathie cyanogène, hypertension pulmonaire","Œdème pulmonaire, atrésie des choanes","1","Le document les donne.","Medium"
"Quelles sont les indications de l'intubation en salle de naissance ?","DR sévère persistant à M3-M4 : IS > 5, épuisement, désaturation, bradycardie","Polypnée modérée, cyanose des extrémités","Apgar >7","Toute détresse respiratoire","1","Le document : 'Si DR sévère persistant à M3 - M4 : IS > 5, épuisement, désaturation, bradycardie -> Intubation'.","Medium"
