"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition de l’occlusion de l’artère centrale de la rétine (OACR) selon le document ?","Arrêt brutal d’une partie ou de la totalité de la circulation rétinienne interne","Arrêt brutal de la circulation choroïdienne","Inflammation de l’artère centrale de la rétine","Thrombose veineuse rétinienne","1","Le document définit : « Arrêt brutal d’une partie ou de la totalité de la circulation rétinienne interne ».","Easy"
"Quel est le délai d’apparition des lésions ischémiques définitives de la rétine interne après arrêt circulatoire ?","30 minutes","60 minutes","90 minutes","120 minutes","3","Le document précise : « Arrêt circulatoire : lésions ischémiques définitives de la rétine interne en 90 minutes ».","Easy"
"Quel est le signe fonctionnel cardinal de l’OACR ?","Douleur oculaire brutale","Baisse d’acuité brutale, indolore","Photophobie","Diplopie","2","Le document indique : « Baisse d’acuité brutale, indolore ».","Easy"
"Quel est l’aspect pupillaire dans l’OACR tronculaire ?","Myosis","Pupille en mydriase aréactive","Anisocorie","Pupille normale","2","Le document précise : « Pupille en mydriase aréactive ».","Easy"
"Quel est l’aspect pathognomonique du fond d’œil dans les heures suivant une OACR ?","Œdème blanc rétinien ischémique avec macula rouge cerise","Hémorragies rétiniennes diffuses","Drusens papillaires","Décollement de rétine","1","Le document décrit : « œdème blanc rétinien ischémique, Coloration normale de la macula “tâche rouge cerise” ».","Easy"
"Quel examen ne doit pas retarder le traitement de l’OACR selon le document ?","IRM cérébrale","Angiographie à la fluorescéine","Échographie oculaire","OCT maculaire","2","Le document précise : « Angiographie à la fluorescéine : Ne doit pas retarder le traitement ++ ».","Easy"
"Quel est le délai de régression de l’œdème rétinien dans l’OACR ?","1 à 2 semaines","2 à 3 semaines","4 à 6 semaines","8 à 10 semaines","3","Le document indique : « Régression de l’œdème en 4 à 6 semaines ».","Easy"
"Quelle est la principale complication de l’OACR à moyen terme ?","Cataracte","Glaucome néovasculaire dans 15 à 20% des cas","Décollement de rétine","Uvéite","2","Le document précise : « Complications : glaucome néovasculaire dans 15 à 20% des cas ».","Easy"
"Qu’est-ce que l’artère ciliorétinienne ?","Une branche de l’artère centrale de la rétine","Une artère passant du nerf optique vers la macula, issue de l’artère ciliaire courte postérieure","Une branche de l’artère ophtalmique","Une artère temporale","2","Le document définit : « Artère qui passe du nerf optique vers la macula ; n’est pas une branche de l’ACR mais de l’artère ciléaire courte postérieure ».","Easy"
"Quel bilan biologique est demandé en urgence chez un patient de plus de 50 ans avec OACR ?","NFS, glycémie, bilan lipidique","VS et CRP en urgence +++","TP, TCA","Protéine C et S","2","Le document précise : « Biologie : VS et CRP en urgence +++ (> 50 ans) ».","Easy"
"Quelle est l’étiologie la plus fréquente d’OACR chez le sujet âgé ?","Maladie de Horton","Athérome carotidien +++ (risque majeur d’AVC)","Trouble de la coagulation","Endocardite infectieuse","2","Le document indique : « Athérome carotidien +++ (constitue un risque majeur d’AVC) ».","Easy"
"Quelle étiologie doit être systématiquement recherchée devant une OACR chez un sujet de plus de 50 ans avec VS élevée ?","Drépanocytose","Maladie de Horton +++","Lupus","Myxome de l’oreillette gauche","2","Le document cite : « Maladie de Horton +++, sujet > 50 ans » avec VS élevée.","Easy"
"Quel est le traitement étiologique urgent de la maladie de Horton compliquée d’OACR ?","Antiagrégants plaquettaires","Corticothérapie à forte dose en urgence","Anticoagulants","Chirurgie carotidienne","2","Le document indique : « Horton : corticothérapie à forte dose en urgence ».","Easy"
"Quel traitement est indiqué en cas de sténose carotidienne significative responsable d’OACR ?","Corticothérapie","Antiagrégants seuls","Chirurgie de désobstruction carotidienne (endartériectomie)","Fibrinolyse","3","Le document précise : « Sténose carotidienne significative : chirurgie ».","Easy"
"Quels sont les deux systèmes artériels irriguant la rétine selon le document ?","Circulation rétinienne interne et circulation choroïdienne","Circulation hyaloïdienne et circulation papillaire","Circulation ciliaire et circulation centrale","Circulation artérielle et circulation veineuse","1","Le document précise : « Circulation choroïdienne : irrigue la rétine externe » et « Circulation rétinienne proprement dite : irrigue la rétine interne ».","Medium"
"Quelle est la particularité de la vascularisation rétinienne de l’ACR ?","Vascularisation de type terminal avec division dichotomique","Présence de nombreux anastomoses","Vascularisation croisée","Double réseau de suppléance","1","Le document indique : « Vascularisation de type terminal » et « division dichotomique ».","Medium"
"Quel est l’aspect du fond d’œil dans l’occlusion de l’artère ophtalmique ?","Macula rouge cerise","Rétine uniformément blanchâtre, absence de macula rouge cerise, douleur oculaire","Œdème blanc rétinien ischémique","Tâche rouge cerise avec emboles","2","Le document décrit : « rétine uniformément blanchâtre, absence de macula rouge cerise » et « Douleur oculaire ».","Medium"
"Quelle est la particularité de l’OACR avec artère ciliorétinienne à destinée maculaire ?","Acuité visuelle centrale conservée","BAV massive","Douleur oculaire intense","Pupille en myosis","1","Le document indique : « Acuité visuelle centrale conservée ».","Medium"
"Quels sont les trois types d’emboles rétiniens cités dans le document ?","Cholestéroliques (carotidiennes), calcaires (cardiaques), septiques (endocardite)","Graisseux, gazeux, talc","Métalliques, plastiques, fibrineux","Bactériens, fongiques, parasitaires","1","Le document distingue : emboles cholestéroliques, calcaires, septiques.","Medium"
"Quelles sont les trois étiologies d’embolies rares citées dans le document ?","Myxome de l’oreillette gauche, embol graisseux (fracture os longs), embol de talc (toxicomanie IV)","Endocardite, lupus, maladie de Wegener","Drépanocytose, homocystéinurie, contraceptifs","HTA, diabète, tabac","1","Le document liste ces trois causes rares.","Medium"
