"term","definition","contextual_explanation"
"Atrésie","Interruption de la continuité d’un organe creux","Dans le document, désigne l'interruption des voies biliaires chez le nouveau-né."
"Cholangiopathie oblitérante","Maladie caractérisée par l’obstruction progressive des voies biliaires","AVB cause principale de cholestase néonatale."
"Cholestase néonatale","Retard ou absence d’écoulement biliaire chez le nouveau-né","Se manifeste par ictère persistant et selles décolorées."
"AVB isolé","Atrésie des voies biliaires sans malformations associées","90 % des AVB, pas de malformations syndromiques."
"AVB syndromique","Atrésie des voies biliaires associée à d’autres anomalies","10 % des AVB, souvent polysplénie, anomalies cardiaques ou vasculaires."
"Hépato-porto-entérostomie","Anastomose entre le hile hépatique et une anse jéjunale","Intervention de Kasai pour rétablir le flux biliaire."
"Hyperbilirubinémie conjuguée","Augmentation de la bilirubine liée","Signe biologique de cholestase néonatale."
"Hypovitaminose K","Déficit en vitamine K liposoluble","Due à l’absence de bile empêchant l’absorption, risque hémorragique."
"Polysplénie","Présence de plusieurs petites rates","Associée à l’AVB syndromique."
"Cholangiographie","Examen radiologique pour visualiser l’arbre biliaire","Permet de confirmer ou éliminer le diagnostic d’AVB."
"Cirrhose biliaire","Fibrose progressive du foie due à une obstruction biliaire chronique","Complication possible si traitement retardé ou absence de traitement."
"Hypertension portale","Augmentation de la pression dans le système portal","Conséquence possible de la cirrhose biliaire."
"term","definition","contextual_explanation"
"atrésie des voies biliaires (AVB)","Cholangiopathie oblitérante de cause inconnue, avec obstruction des voies biliaires en période périnatale","Première cause de cholestase néonatale, évoluant vers la cirrhose et le décès avant 3 ans. Urgence diagnostique et thérapeutique."
"cholangiopathie oblitérante","Maladie des voies biliaires caractérisée par une oblitération (fermeture) de leur lumière","Terme utilisé pour décrire l'AVB dans le document."
"cholestase néonatale","Rétention biliaire survenant chez le nouveau-né","L'AVB est la première cause de cholestase néonatale."
"cirrhose","Lésion hépatique chronique irréversible","L'évolution spontanée de l'AVB conduit à une cirrhose irréversible, avec décès avant 3 ans."
"périnatale","Période autour de la naissance","L'obstruction des voies biliaires survient en période périnatale, le foie étant déjà formé (pas de malformation)."
"AVB isolé","Forme d'atrésie des voies biliaires sans anomalies associées","Représente 90% des cas selon le document."
"AVB syndromique","Forme d'atrésie des voies biliaires avec anomalies associées","Représente 10% des cas, d'origine génétique à évoquer, avec anomalies intra-abdominales."
"syndrome de polysplénie","Présence de rates multiples","Associé à l'AVB syndromique, avec prédominance féminine. Peut inclure absence de VCI rétro-hépatique et veine porte pré-duodénale."
"polysplénie","Rate multiple (plusieurs petits rates)","Terme utilisé dans le syndrome de polysplénie, mentionné avec rates kely be dia be (notes en malgache)."
"hétérotaxie","Anomalie de positionnement des organes thoraco-abdominaux","Peut inclure foie médian, situs inversus avec malrotation intestinale, associée à l'AVB syndromique."
"cholédoque","Voie biliaire principale (canal cholédoque)","Le type 1 d'AVB correspond à une atrésie limitée au cholédoque."
