"question","answer","explanation","difficulty"
"Quelle est la définition de la diarrhée aiguë selon l'OMS ?","Émission d'au moins 3 selles molles ou liquides par jour, ou >300g/j, de durée inférieure à 14 jours.","Document.","Easy"
"Quels sont les deux mécanismes physiopathologiques de la diarrhée aiguë ?","Sécrétoire (toxines → fuite d'eau et électrolytes) et invasif (inflammation et lésion muqueuse).","Document.","Easy"
"Quels sont les trois signes de gravité d'une diarrhée aiguë ?","Déshydratation, état de choc (hypovolémique ou septique), terrains fragiles (âgés, cirrhotiques, diarrhée >1 semaine).","Document.","Easy"
"Citez trois agents bactériens responsables de diarrhée aiguë avec leur incubation.","E. coli entérotoxinogène (24-48h), Choléra (2-7j), Staphylocoque (1h), Salmonella (8-48h), Clostridium perfringens (8-12h).","Document.","Easy"
"Quel est l'aspect des selles dans le choléra ?","Selles abondantes en eau de riz.","Document.","Easy"
"Quels sont les deux types de déshydratation et leurs signes ?","Extracellulaire : signe du pli. Intracellulaire : soif, fièvre, sécheresse des muqueuses.","Document.","Easy"
"Quels sont les examens du bilan de retentissement d'une diarrhée aiguë ?","Ionogramme sanguin (hypokaliémie, hyponatrémie, hypernatrémie), bilan rénal (créatininémie, urée), bilan inflammatoire (NFS, CRP).","Document.","Easy"
"Quels sont les examens du bilan étiologique ?","Coproculture, examen parasitologique des selles (KAOP), sérologies (Vidal-Felix, yersiniose), rectoscopie (PVVIH).","Document.","Easy"
"Quelle est l'incubation et la particularité de la diarrhée à Staphylocoque ?","Incubation très courte (1h), le plus souvent apyrétique, liée à des aliments souillés par une personne portant un furoncle.","Document.","Medium"
"Quelle est l'incubation et la particularité de la diarrhée à Clostridium perfringens ?","Incubation 8-12h, toxi-infection alimentaire collective, liée à des viandes en sauce réchauffées, fièvre possible.","Document.","Medium"
"Quels sont les agents viraux de diarrhée aiguë cités ?","Rotavirus (+++), Entérovirus, Adénovirus, SARS-CoV-2 (syndrome pseudo-grippal).","Document.","Medium"
"Quel est l'agent parasitaire chez l'immunodéprimé ?","Cryptococcose.","Document.","Medium"
"Quels sont les médicaments iatrogènes responsables de diarrhée ?","Colchicine, laxatifs, biguanides (metformine).","Document.","Medium"
"Quelles sont les indications des examens paracliniques dans la diarrhée aiguë ?","Signes de gravité (déshydratation, choc), mauvaise tolérance, diarrhée >72h sous traitement, notion d'épidémie.","Document.","Medium"
"Expliquez le mécanisme de la diarrhée sécrétoire.","Des toxines bactériennes (ex : E. coli, choléra) stimulent la sécrétion d'eau et d'électrolytes par l'épithélium intestinal sans détruire la muqueuse, d'où une diarrhée aqueuse abondante.","Document.","Medium"
"Expliquez le mécanisme de la diarrhée invasive.","Des agents infectieux (bactéries, virus, parasites) envahissent la muqueuse intestinale, provoquent une inflammation, des ulcérations, d'où une diarrhée avec glaires, sang, et douleurs.","Document.","Medium"
"Quelle est la particularité de la diarrhée du voyageur (turista) ?","Due à E. coli entérotoxinogène, incubation 24-48h, apyrétique, liée à l'ingestion d'eau souillée dans les pays tropicaux.","Document.","Medium"
"Quelle est la conséquence redoutable du choléra ?","Décès par déshydratation massive avec état de choc.","Document.","Medium"
"Quels sont les trois terrains à risque de complication grave ?","Personnes âgées, cirrhotiques (risque de syndrome hépato-rénal), diarrhée durant plus d'une semaine.","Document.","Medium"
"Quelle anomalie électrolytique peut-on observer en cas de déshydratation intracellulaire ?","Hypernatrémie.","Document.","Medium"
"Un patient de 30 ans, sans antécédent, présente une diarrhée aqueuse depuis 12 heures, sans fièvre, après avoir mangé dans un restaurant. Aucun signe de déshydratation. Quelle attitude selon le document ?","Pas d'examen complémentaire immédiat (non systématique), surveillance, réhydratation orale.","Document : examens non systématiques, réservés aux signes de gravité.","Difficult"
"Un patient cirrhotique présente une diarrhée aiguë avec signes de déshydratation. Quel risque spécifique est mentionné ?","Risque de développer un syndrome hépato-rénal et d'en mourir.","Document.","Difficult"
"Une épidémie de diarrhée survient dans un village avec des selles en eau de riz. Quel germe suspectez-vous et quel examen demandez-vous en priorité ?","Choléra ; coproculture sur selles fraîches pour identification du germe et antibiogramme.","Document.","Difficult"
"Un patient sous metformine pour diabète présente une diarrhée depuis 2 jours. Quel diagnostic iatrogène évoquer ?","Diarrhée due aux biguanides (metformine).","Document.","Difficult"
"Un patient immunodéprimé (PVVIH) a une diarrhée chronique. Quel examen local est recommandé ?","Rectoscopie.","Document.","Difficult"
"Quels sont les deux types d'état de choc pouvant compliquer une diarrhée aiguë sévère ?","Choc hypovolémique (par déshydratation) et choc septique (par infection invasive).","Document.","Difficult"
"Pourquoi la diarrhée aiguée est-elle particulièrement grave chez le cirrhotique ?","Car la déshydratation et les troubles hydro-électrolytiques non corrigés peuvent déclencher un syndrome hépato-rénal, souvent mortel.","Document.","Difficult"
"Un patient revient d'un pays tropical avec une diarrhée aqueuse fébrile depuis 3 jours. Quels examens étiologiques demandez-vous ?","Coproculture, examen parasitologique des selles, hémocultures si fièvre élevée.","Document.","Difficult"
"Quelle est la durée à partir de laquelle une diarrhée aiguë nécessite des examens malgré une bonne tolérance ?",">72 heures (sous traitement).","Document.","Difficult"
"Quelle est la principale cause de diarrhée aiguë chez l'adulte selon la conclusion ?","Infectieuse, surtout bactérienne.","Conclusion.","Difficult"
