"front","back","cognitive_level"
"Quelle est la définition d’une métrorragie ?","Hémorragie anormale d’origine utérine, extériorisée par le col utérin entre les règles.","Recall"
"Quelle est la définition d’une ménorragie ?","Augmentation du volume des règles.","Recall"
"Qu’est-ce que le terme « ménométrorragies » signifie ?","Association de métrorragies et de ménorragies.","Recall"
"Qu’est-ce que la polyménorrhée ?","Augmentation de la fréquence des règles (cycle inférieur à 25 jours).","Recall"
"Qu’est-ce que l’hyperménorrhée ?","Règles anormalement abondantes et prolongées.","Recall"
"Quels sont les trois âges clés à préciser lors de l’interrogatoire devant des métrorragies ?","1) Puberté. 2) Activité génitale. 3) Pré-ménopause.","Recall"
"Quels antécédents gynéco-obstétricaux sont à rechercher ?","Ménarche, gestité-parité, infections génitales, pathologies gynécologiques en cours (leucorrhées, douleurs pelviennes, kystes, fibromes).","Recall"
"Quels antécédents médicaux orientent vers une cause de métrorragie ?","HTA, troubles de la coagulation, traitement médicamenteux en cours (ex : AVK).","Recall"
"Quelles sont les caractéristiques de l’hémorragie à préciser à l’interrogatoire ?","Survenue par rapport au cycle, abondance, aspect (caillots), signes accompagnateurs (douleurs, état de choc, leucorrhée, signes de grossesse).","Recall"
"Quel score permet une évaluation objective des pertes sanguines menstruelles ?","PCBACS (Pictorial Blood Loss Assessment Chart Score) ou Score de Higham.","Recall"
"Quels sont les trois examens biologiques systématiques devant des métrorragies ?","1) Dosage de β-hCG (ou TDG urinaire). 2) NFS, plaquettes, taux d’Hb, CRP. 3) Bilan de coagulation (TP, TCA, fibrine).","Recall"
"Quels sont les deux examens d’imagerie de première intention devant des métrorragies ?","Échographie pelvienne ou abdomino-pelvienne. TDM ou IRM en seconde intention.","Recall"
"Citez cinq diagnostics différentiels des métrorragies (hémorragies non utérines).","1) Hémorragies vulvo-vaginales (plaies, vaginites, tumeurs). 2) Tumeurs du col utérin. 3) Cervicites. 4) Saignement urinaire (urètre, vessie). 5) Saignement digestif (rectorragie).","Recall"
"Quelles sont les six étiologies de métrorragie chez la petite fille/période pubertaire ?","1) Prise d’œstrogènes accidentelle. 2) Traumatisme. 3) Troubles du cycle fonctionnels (immaturité axe hypothalamo-hypophysaire). 4) Tumeur œstrogéno-sécrétante. 5) Puberté précoce. 6) Trouble de la coagulation (maladie de Willebrand, rare).","Recall"
"Quelles sont les quatre causes de métrorragie avec β-hCG positif en période d’activité génitale ?","1) Grossesse extra-utérine (GEU). 2) Menace de fausse couche précoce (FCP). 3) Fausse couche en cours. 4) Rétention trophoblastique. 5) Maladies gestationnelles trophoblastiques.","Recall"
"Citez cinq causes de métrorragie avec β-hCG négatif d’origine cervicale.","1) Cervicite. 2) Cancer du col. 3) Tumeur ulcérante ou bourgeonnante. 4) Polype accouché par le col. Diagnostic : clinique, colposcopie, biopsie.","Recall"
"Citez cinq causes de métrorragie avec β-hCG négatif d’origine utérine (corps utérin).","1) Hyperplasie de l’endomètre (>7 cm). 2) Fibrome utérin. 3) Cancer de l’endomètre. 4) Polype utérin. Diagnostic : clinique, échographie, hystéroscopie.","Recall"
"Qu’est-ce que l’hyperplasie de l’endomètre et par quel mécanisme survient-elle ?","Hyperplasie de l’endomètre : épaississement anormal de l’endomètre par hyperimprégnation hormonale (œstrogènes). Se manifeste par des ménorragies ou métrorragies. Utérus de volume normal, échographie montre un endomètre épaissi.","Recall"
"Quel est le terrain du cancer de l’endomètre ?","Hyperœstrogénie. Terrain : HTA, diabète, obésité.","Recall"
"Quel est le signe clinique principal du cancer de l’endomètre ?","Métrorragie le plus souvent. Utérus de volume normal à l’examen.","Recall"
"Quel examen confirme le diagnostic de cancer de l’endomètre ?","Diagnostic histologique par curetage biopsique.","Recall"
"Qu’est-ce qu’un polype utérin ?","Excroissance pédiculée muqueuse et/ou fibreuse de l’endomètre. Peut parfois être accouché par le col. Diagnostic : spéculum (vision directe), échographie pelvienne, hystéroscopie.","Recall"
"Quelles pathologies annexielles peuvent causer des métrorragies ?","Salpingites +++, kystes de l’ovaire, cancer de l’ovaire. Diagnostic : clinique, échographie, coelioscopie.","Recall"
"Qu’est-ce qu’une métrorragie fonctionnelle ?","Métrorragie sans lésion organique décelable, due à un dysfonctionnement hormonal (insuffisance en progestérone). Diagnostic d’élimination.","Recall"
"Quelles sont les causes iatrogènes de métrorragies par contraception ?","Peu abondantes (spotting) : contraceptifs progestatifs (injectables : Confiance, Depo Provera, Implanon, Mirena). Abondantes : DIU au cuivre.","Recall"
"Quelles sont les deux principales causes de métrorragies en période ménopausique ?","1) Lésions de l’endomètre : hyperplasie de l’endomètre, cancer de l’endomètre. Diagnostic obligatoire : curetage biopsique, hystéroscopie. 2) Iatrogènes : prise d’œstrogènes (THS, produits de beauté). 3) Hyperœstrogénémie : obésité, tumeur sécrétante de l’ovaire.","Recall"
"Quel examen diagnostique est obligatoire devant des métrorragies en période ménopausique ?","Curetage biopsique et/ou hystéroscopie (OBLIGATOIRE).","Recall"
"Quel est le danger principal dans la prise en charge des métrorragies ?","Passer à côté d’une pathologie néoplasique devant un diagnostic trop évident.","Recall"
"Quel médicament peut être responsable de métrorragies abondantes ?","DIU (dispositif intra-utérin au cuivre).","Recall"
"Quel type de contraception progestative est responsable de spotting (métrorragies peu abondantes) ?","Injectables (Confiance, Depo Provera), Implanon, Mirena (stérilet au lévonorgestrel).","Recall"
