"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quel est l’objectif numéro 1 du document concernant les hémorragies néonatales ?","Reconnaître une hémorragie néonatale","Prévenir la maladie hémorragique du nouveau-né (MHNN)","Rechercher les causes des hémorragies néonatales","Traiter un MHNN","2","Le document liste en objectif 1 : ''Prévenir la maladie hémorragique de nouveau-né (MHNN)''.","Easy"
"La bosse séro-sanguine fait partie des manifestations :","Majeures","Mineures","Viscérales","Cutanéo-muqueuses","2","Le document classe ''Bosse séro-sanguine'' parmi les manifestations mineures liées aux circonstances de l’accouchement.","Easy"
"Quel est le signe clinique majeur cutanéo-muqueux cité en premier ?","Hématémèse","Purpura généralisé","Hémorragie ombilicale","Epistaxis","2","Dans ''Hémorragie cutanéo-muqueuse'', le document liste : ''1. Purpura généralisé''.","Easy"
"La maladie hémorragique du nouveau-né est due à :","Un déficit en vitamine K","Une thrombopénie","Un déficit congénital en facteur VIII","Une infection","1","Le document : ''Dûe à une immaturité hépatocytaire (déficit en vitamine K1)''.","Easy"
"Quelle est la valeur du TP dans le diagnostic de la MHNN ?","TP < 10%","TP < 20%","TP < 30%","TP < 50%","2","Le document : ''Diagnostic : TP < 20%''.","Easy"
"Le traitement prophylactique de la MHNN utilise la vitamine K1 à la naissance à la dose de :","1 mg IM ou 2 mg orale","2 mg IM ou 1 mg orale","1 mg IV","2 mg IV","1","Le document : ''Vitamine K1 : 1mg (IM) ou 2mg (orale) à la naissance''.","Easy"
"Quel facteur de coagulation est normal dans la MHNN ?","Facteur II","Facteur VII","Facteur V","Facteur X","3","Le document : ''Facteur V : normal''.","Easy"
"Le traitement curatif immédiat de la MHNN est :","Vitamine K1 IV","PPSB","Plasma frais congelé","Transfusion plaquettaire","2","Le document : ''Traitement curatif immédiat : PPSB''.","Easy"
"Dans les thrombopénies néonatales, le seuil plaquettaire est :","Plaquettes < 50.000/mm3","Plaquettes < 100.000/mm3","Plaquettes < 150.000/mm3","Plaquettes < 200.000/mm3","2","Le document : ''Plaquettes < 100.000/mm3''.","Medium"
"Quel est le risque spécifique d’une thrombopénie profonde chez le nouveau-né ?","Hémorragie digestive","Hémorragie cérébro-méningée secondaire","Hémorragie ombilicale","Hémoptysie","2","Le document : ''Risque : Hémorragie cérébro-méningée secondaire (si thrombopénie profonde)''.","Medium"
"Le traitement symptomatique des thrombopénies néonatales comprend :","Transfusion de PFC","Transfusion de plaquettes 0,3 unités/kg","Vitamine K1","PPSB","2","Le document : ''Transufsion de plaquettes 0,3 unités/kg (surtout PRP)''.","Medium"
"Un déficit congénital en facteur XIII se manifeste par :","Saignement prolongé à la chute du cordon","Purpura généralisé","Hématémèse","Thrombopénie","1","Le document : ''Signes : saignement prolongé à la chute du cordon ou lors d’une circoncision'' pour les déficits congénitaux.","Medium"
"Le traitement d’urgence d’un déficit congénital en facteur de coagulation est :","PPSB","Vitamine K1","Plasma frais congelé à 20 ml/kg","Transfusion de plaquettes","3","Le document : ''Traitement d’urgence : plasma frais congelé à 20 ml/kg''.","Medium"
"Parmi les agressions périnatales sévères, laquelle n’est pas citée ?","Anoxie","Infections","Hypothermie profonde","Traumatisme obstétrical","4","Le document cite : anoxie, infections, insuffisances circulatoires aiguës, hémolyses aiguës, hypothermies profondes. Traumatisme obstétrical n’est pas listé.","Medium"
"Dans les troubles secondaires de l’hémostase, le traitement symptomatique inclut la transfusion de PFC à la dose de :","5 ml/kg","10-15 ml/kg","20 ml/kg","1-2 unités/kg","2","Le document : ''Transfusion de PFC : 10-15 ml/kg''.","Medium"
"La transfusion de plaquettes compatibles dans les troubles secondaires se fait à la fréquence de :","1-2 unités toutes les 12 heures","1-2 unités toutes les 24-36 heures","0,3 unités/kg/jour","2 unités/kg/jour","2","Le document : ''Transfusion de plaquettes compatibles : 1-2 unités toutes les 24 - 36 heures''.","Medium"
"Quelle est la conduite systématique pour prévenir la MHNN selon la conclusion ?","Vitamine K1 en 3 prises","Vitamine K1 en 1 prise à J0","Vitamine K1 en 2 prises","Vitamine K1 en injection unique","1","Le document : ''TOUJOURS PREVENIR la ''maladie hémorragique du nouveau-né'' ; vitamine K1 en 3 prises {J0, J3-J7(J4), J28}''.","Difficult"
"Un nouveau-né présente un saignement prolongé au niveau du cordon ombilical après section, sans autre anomalie. Quel diagnostic doit être évoqué en priorité ?","Thrombopénie néonatale","Maladie hémorragique du nouveau-né","Déficit congénital en facteur XIII","Trouble secondaire de l’hémostase","3","Le document associe ''saignement prolongé à la chute du cordon'' aux déficits congénitaux des facteurs de coagulation (rares). La MHNN donne plutôt des hémorragies digestives et cutanées à J2-J3.","Difficult"
"Un nouveau-né a un purpura généralisé, des hémorragies digestives à J2 de vie, un TP à 15% et un facteur V normal. Quel traitement curatif immédiat doit être administré ?","Vitamine K1 IM","PPSB","Plasma frais congelé","Transfusion plaquettaire","2","Le diagnostic est MHNN (TP <20%, facteur V normal, hémorragies J2-J3). Le traitement curatif immédiat est PPSB.","Difficult"
"Dans les troubles secondaires de l’hémostase, quel est l’élément essentiel du traitement ?","Transfusion de PFC","Traitement étiologique","Transfusion de plaquettes","Vitamine K1","2","Le document : ''Traitement étiologique : essentiel''.","Difficult"
"Un nouveau-né présente une hémorragie cérébro-méningée. Parmi les causes possibles, laquelle est directement liée à une thrombopénie profonde ?","MHNN","Déficit en facteur VIII","Thrombopénie néonatale","Trouble secondaire de l’hémostase","3","Le document précise que le risque d’hémorragie cérébro-méningée secondaire survient ''si thrombopénie profonde'' dans le cadre des thrombopénies néonatales.","Difficult"
