question,option1,option2,option3,option4,answer,explanation,difficulty
"Quelle est la définition de l’otite externe ?","Inflammation de l’oreille moyenne","Inflammation localisée ou diffuse de la peau du méat acoustique externe","Infection du tympan","Inflammation de la trompe d’Eustache","2","Le document indique : Otite externe : inflammation localisée ou diffuse de la peau du méat acoustique externe.","Easy"
"L’otite externe est secondaire à :","Une infection hématogène","Une perturbation du rôle protecteur du cérumen","Un traumatisme direct du tympan","Une anomalie congénitale","2","Le document précise : d’origine bactérienne, mycosique ou virale secondaire à une perturbation du rôle protecteur du cérumen.","Easy"
"Quel est le pourcentage de consultations d’urgence représenté par l’otite externe ?","5 à 10%","10 à 15%","20 à 35%","40 à 50%","3","Le document indique : Pathologie fréquente : 20 à 35% des consultations d’urgence.","Easy"
"L’otite externe diffuse représente quel pourcentage des otites externes ?","50%","70%","90%","99%","3","Le document précise : 90% des otites externes, toute la peau du MEA est atteinte.","Easy"
"Quel est le symptôme principal de l’otite externe diffuse, présent dans 93% des cas ?","Hypoacousie","Otorrhée","Otalgie","Prurit","3","Le document indique : Otalgie (93%) : intense, paroxystique, Insomniante.","Easy"
"L’otalgie de l’otite externe est exacerbée par :","La déglutition","La mastication, la pression du tragus et la traction de l’auricule vers l’arrière","La position allongée","La toux","2","Le document précise : Exacerbée : par de la mastication, par la pression du tragus et la traction de l’auricule vers l’arrière.","Easy"
"Quel est l’agent causal du furoncle du méat acoustique externe ?","Pseudomonas aeruginosa","Staphylococcus aureus","Aspergillus","Candida albicans","2","Le document indique : Furoncle du MAE (otite externe localisée) : Folliculite aiguë due à Staphylococcus aureus.","Easy"
"L’otite externe maligne (nécrosante) est due à :","Staphylococcus aureus","Aspergillus fumigatus","Pseudomonas aeruginosa","Candida albicans","3","Le document précise : OE maligne (OE nécrosante) : Infection grave du MAE : Pseudomonas aeruginosa.","Easy"
"Quel est le terrain de prédilection de l’otite externe maligne ?","Enfant de moins de 5 ans","Sujet âgé diabétique mal équilibré (90%)","Femme enceinte","Adolescent sportif","2","Le document indique : 90% : sujet âgé diabétique mal équilibré.","Easy"
"L’otite externe mycosique (otomycose) est évocatrice de :","Otalgie intense","Fièvre élevée","Prurit +++++","Paralysie faciale","3","Le document précise : OE mycosique (Otomycose) : Idem d’une OED en moins intense, prurit : évocateur +++++","Easy"
"Dans l’otomycose, l’otoscopie montre un aspect :","De tympan perforé","De MAE sec et normal","Humide de papier buvard avec filaments blanchâtres cotonneux","De furoncle","3","Le document indique : Otoscopie : MAE inflammatoire ; un aspect humide de papier buvard. Encombrement de filaments blanchâtres cotonneux.","Easy"
"Quel est le germe fongique le plus fréquent dans les otomycoses ?","Candida glabrata","Aspergillus","Trichophyton","Microsporum","2","Le document cite : Champignons : Aspergillus, Candida.","Easy"
"L’otite externe chronique se caractérise par :","Otalgie intense fébrile","Prurit auriculaire, Hypoacousie, Otorrhée","Paralysie faciale","Vertiges","2","Le document indique : OE chronique : Prurit auriculaire, Hypoacousie, Otorrhée.","Easy"
"Quel est l’aspect otoscopique de l’eczéma du méat acoustique externe ?","MAE sténosé avec zone nécrotique","Érythème, vésicule, croûtes","Filaments blanchâtres","Tuméfaction érythémateuse limitée","2","Le document précise : À l’otoscopie : érythème, vésicule, croûtes.","Easy"
"Quel est le principal facteur favorisant de l’otite externe ?","Bain en piscine","Lésion cutanée préexistante du MAE","Corps étranger","Tous les facteurs cités","4","Le document liste : Lésion cutanée préexistante du MAE, Corps étranger, Bain en piscine, Manipulations intempestives.","Easy"
"Quel antalgique est cité en première intention dans le traitement de l’otite externe ?","Morphine","Tramadol","Paracétamol","Nefopam","3","Le document mentionne : Antalgiques : paracétamol, codéine, tramadol, nefopam, morphine (paracétamol en première intention implicite).","Easy"
"Quel traitement local est utilisé dans l’otomycose ?","Antibiotiques locaux","Antifongiques locaux pendant 15-30 jours","Corticoïdes seuls","Pansement expansible seul","2","Le document indique : Otomycose : antifongique local 15-30 jours.","Easy"
"Quelle est la durée d’hospitalisation et d’antibiothérapie IV pour une otite externe maligne ?","3 jours","8 semaines","15 jours","4 semaines","2","Le document précise : OE maligne : hospitalisation, ATB en IV (8 semaines).","Easy"
"L’évolution favorable d’une otite externe bien traitée est obtenue en :","2-3 jours","7 à 10 jours","15 jours","1 mois","2","Le document indique : Bien traitée : favorable en 7 à 10 jours, sans séquelles.","Easy"
"L’otite externe est qualifiée de :","Maladie congénitale","Maladie auto-infligée, EVITABLE","Maladie héréditaire","Maladie iatrogène","2","Le document conclut : OE : maladie auto-infligée, EVITABLE.","Easy"
"Quel est le signe otoscopique typique du furoncle du MAE au début ?","Zone nécrotique","Tuméfaction érythémateuse limitée centrée par un point blanc","Filaments blanchâtres","Débris boueux noirâtre","2","Le document indique : Otoscopie : Tuméfaction érythémateuse limitée, centrée par un point blanc (début).","Medium"
"Quelle est la complication redoutable de l’otite externe maligne lorsqu’elle atteint les paires crâniennes ?","Paralysie faciale périphérique (mauvais pronostic)","Cécité","Dysphagie","Diplopie","1","Le document précise : Fièvre, paralysie des paires crâniennes : mauvais pronostic (paralysie faciale périphérique).","Medium"
"Dans l’otite externe maligne, l’infection peut éroder les cartilages selon quelle séquence évolutive ?","Ostéite d’emblée","Cellulite du MAE → Chondrite → Ostéite du tympanal → Ostéite de la base du crâne","Chondrite isolée","Ostéite puis cellulite","2","Le document indique : Effraction cutanée → Cellulite du MAE → Chondrite du MAE → Ostéite du tympanal → Ostéite de la base du crane.","Medium"
"Quel examen d’imagerie est recommandé pour l’otite externe maligne ?","Radiographie standard","Scanner du rocher en coupe inframillimétrique / IRM / Scintigraphie","Échographie doppler","Angiographie","2","Le document mentionne : TDM (scanner du rocher en coupe inframillimétrique) /IRM/Scintigraphie.","Medium"
"L’otorrhée de l’otite externe maligne est décrite comme :","Claire et abondante","Fétide et verdâtre","Purulente jaune","Sérosanglante","2","Le document précise : Otorrhée : fétide et verdâtre.","Medium"
"Le pansement expansible (calibrage : pope) est indiqué dans :","L’otite externe mycosique","L’otite externe diffuse","L’eczéma du MAE","La paralysie faciale","2","Le document cite les soins locaux : détersion du MAE, pansement expansible (calibrage : pope).","Medium"
"Quel antibiotique antistaphylococcique est cité dans le traitement de l’otite externe ?","Amoxicilline","Cloxacilline, Oxacilline","Ceftriaxone","Gentamicine","2","Le document mentionne : Antibiotiques par voie générale (antistaphylococciques : Cloxacilline, Oxacilline).","Medium"
"Les fluoroquinolones citées dans le traitement sont :","Ciprofloxacine, ofloxacine","Levofloxacine, moxifloxacine","Norfloxacine, loméfloxacine","Ofloxacine seule","1","Le document indique : fluoroquinolones : Ciprofloxacine, ofloxacine.","Medium"
"Quels sont les corticoïdes locaux cités dans le traitement ?","Hydrocortisone","Polydexa, Antibiosynalar, Panotile","Dexaméthasone","Bétaméthasone","2","Le document mentionne : Traitements locaux : Corticoïdes (Polydexa*, Antibiosynalar*, Panotile*).","Medium"
