ICTERES
Objectifs :
1.	Définir un ictère
2.	Expliquer la physiopathologie
3.	Poser le diagnostic
4.	Mener la démarche diagnostique 
5.	Enumérer les étiologies
INTRODUCTION
Définition :
1.	Coloration jaune de la peau et de la muqueuse
2.	Associé à une augmentation de la bilirubinémie : il n’y a pas d’ictère sans augmentation de la bilirubinémie
3.	Augmentation pouvant porter sur :
1.	La bilirubinémie libre
2.	Ou la bilirubinémie conjuguée
4.	Bilirubinémie totale normale : 18µmol/l
1.	Essentiellement constitué de bilirubine libre dans le sang. Normalement : pas de bilirubine conjuguée dans le sang
5.	Ictère (visible) = Bilirubinémie totale > 50 µmol/l
6.	Subictère : bilirubinémie : 25-50µmol/l 

Intérêts :
1.	Démarche diagnostique doit être rigoureuse à cause des étiologies multiples
RAPPELS : métabolisme de la bilirubine
1.	Le métabolisme de la bilirubine passe par plusieurs étapes :
1.	Formation de la bilirubine
1.	Bilirubine : produit de dégradation de l’hème
2.	Origine de l’hème :
1.	80-85% : catabolisme des globules rouges (hémoglobine dans le sang : transformé par les macrophages en bilirubine) (dégradation au niveau de la rate)
2.	10-15% des cas : 
1.	Catabolisme de l’hème hépatique
2.	Catabolisme des précurseurs des hématies
2.	Circulation de la bilirubine (dans le sang)
1.	Dans le sang, la bilirubine est transportée vers les hépatocytes toujours attachée(associée) à l’albumine (couple bilirubine-albumine) = bilirubine libre, non conjuguée
3.	Captation et conjugaison de la bilirubine dans le foie
1.	Dissociation de la bilirubine avec l’albumine 
2.	Captation hépatocytaire : la bilirubine va entrer dans les hépatocytes par simple diffusion
3.	Dans les hépatocytes : nouveau couple : bilirubine + ligandine
4.	Le couple B+L subit l’action de la glucuronyl-transférase = phase de conjugaison : glucuro-conjugaison
5.	D’où, la bilirubine devient conjuguée : = hydrosoluble
6.	Le couple B. conjuguée + L est transportée vers le pôle canaliculaire des hépatocytes, et on passe à la 4ème phase

4.	Excrétion dans les canalicules biliaires
1.	La bilirubine conjuguée se sépare de la ligandine (cette séparation se déroule encore dans l’hépatocyte)
2.	Elle sera transportée à travers la membrane hépatocytaire sous l’action d’un transporteur : ABCC2 (=MRP2)
1.	Ce transporteur est un transporteur commun d’un colorant appelé BSP
3.	La bilirubine conjuguée pourrait être :
1.	Secrétée dans les sinusoïdes (dans le sang) sous l’action du transporteur ABCC3, mais cette partie sera captée à nouveau dans les hépatocytes sous l’action d’un autre transporteur : OATP1
2.	Excrétée dans les canalicules biliaires puis 5ème étape : élimination intestinale 

5.	Elimination intestinale
1.	La bilirubine conjuguée se trouvant dans l’intestin se transforme en stercobiline(urobilinogène) (responsable de la couleur jaune des selles)
2.	Une fraction de cet urobilinogène est absorbée au niveau de l’intestin et se transforme en urobiline (responsable de la couleur un peu jaune des urines)

DIAGNOSTIC
1.	DIAGNOSTIC POSITIF
TYPE DE DESCRIPTION : ICTERE CHOLESTATIQUE
1.	SIGNES CLINIQUES :
1.	Coloration jaune de la peau et des muqueuses (des yeux, mais aussi sous la langue)
1.	Début : brutal ou progressif
2.	Phase pré-ictérique (quelques jours avant) : rechercher un syndrome pseudo-grippal
2.	Urines foncées (augmentation excessive de l’urobilinogène) : brûnes, noirâtres, mousseuses (comme de la bière)
3.	Selles décolorées : en mastic ou graisseuse, selon l’étiologie
4.	Prurit inconstant

5.	Examen physique :
1.	Hépatomégalie :
1.	Ferme 
2.	Surface régulière
3.	Bord inférieure mousse
2.	Grosse vésicule palpable :
1.	Masse piriforme au niveau de l’hypochondre droit, sous le foie
2.	Sa présence traduit un obstacle au niveau du trajet du cholédoque

2.	SIGNES BIOLOGIQUES :
1.	Syndrome de cholestase
1.	Augmentation de la bilirubine totale : augmentation de la forme conjuguée (75% de la bilirubinémie totale)
2.	Augmentation des phosphatases alcalines, de Gamma-GT
3.	Augmentation de la cholestérolémie

2.	Complément du bilan biologique hépatique :
1.	Bilan de cytolyse : transaminases
2.	Bilan d’insuffisance hépato-cellulaire : TP, facteur V
3.	Inflammatoire : EPP : augmentation des gammaglobulines

3.	EXAMENS COMPLEMENTAIRES :
1.	“Bonne” échographie abdominale : (opérateur dépendant et machine dépendant : s’adresser à une personne bien qualifiée)
1.	Examen clé : systématique devant un ictère cholestatique
2.	Examen des voies biliaires intra- et extra-hépatiques
1.	Dilatation des VBIH/VBEH :
1.	= obstacle : cholestase extra-hépatique (dilatation en amont de l’obstacle)
2.	Pas de dilatation des voies biliaires : cholestase intra-hépatique (prise en charge par le gastro-entérologue)
3.	Au niveau hépatique :
1.	Images nodulaires hépatiques (métastases, carcinome hépatocellulaire)
2.	Dysmorphie hépatique (cirrhose): foie irrégulier
4.	Pancréas :
1.	Masse solide (Cancer)
2.	Masse liquidienne (pseudo-kyste : complication de la pancréatite aiguë)
5.	Splénomégalie ou voies de dérivations (anastomoses) : hypertension portale

2.	Scanner abdominal :
1.	Si cholestase extra-hépatique (dilatation des voies biliaires)
2.	L’échographie ne permet pas une exploration optimale du pancréas (car organe rétro-péritonéal, surtout si ballonement abdominal)

Au terme de cette démarche, on arrive à identifier :
1.	Le siège intra- ou extra-hépatique
2.	Dans 95% des cas, l’étiologie de la cholestase est retrouvée
3.	5% des cas : étiologie imprécise -> examens de deuxième intention qui sont
1.	Les techniques d’exploration des voies biliaires
1.	Cholangio-pancréatographie rétrograde par voie endoscopique (CPRE) :
1.	Permet une opacification par voie rétrograde de la voie biliaire principale et du canal de Wirsung
2.	Permet également de faire une biopsie de l’ampoule de Vater

2.	Cholangiographie trans-paréto-hépatique (CPTH) :
1.	Opacification des voies biliaires par ponction hépatique transcutanée avec injection de produit de contraste
 

3.	Echo-endoscopie pancréatique :
1.	Fibroscope avec une sonde à l’extrémité de l’endoscope
2.	Exploration des voies biliaires, du pancréas (très sensible)

4.	Bili-IRM : IRM des voies biliaires
1.	Permet l’analyse de la vésicule, des voies biliaires
2.	Exploration des voies biliaires par excellence

2.	La Ponction Biopsie hépatique
1.	Suspicion de cholestase intra-hépatique

4.	DIAGNOSTIC DIFFERENTIEL 
1.	FAUX ICTERES :
1.	Colorations cutanéo-muqueuses trompeuses :
1.	Jaune cireux (hypothyroïdie)
2.	Orangée : carotène (utilisation excessive d’auto-bronzant)
3.	Mélanodermie
4.	Anémie
5.	Patient anxieux
6.	Teint natif de la peau (chinois...)
2.	Le dosage de la bilirubinémie rectifie le diagnostic

2.	ICTERES NON CHOLESTATIQUES :
1.	Ictères à bilirubine libre (hémolyse)
1.	Hyperhémolyse constitutionnelle (drépanocytose) ou acquise (paludisme grave)

2.	Ictères à bilirubine libre héréditaire :
1.	Maladie de Gilbert :
1.	Etiologie : diminution de l’activité de l’enzyme bilirubine-glucuronyl-transférase hépatique -> élévation du taux de bilirubine libre
2.	Clinique :
1.	Âge : 15-20 ans
2.	Ictère modéré (apparaît à la fatigue ou lors d’infections intercurrentes)
3.	Augmentation de la bilirubinémie non conjuguée
4.	Examen clinique : Normal
5.	Biologie hépatique : Normal (sauf BL)
3.	Evolution bénigne 

2.	Syndrome de Crigler Najjar :
1.	Maladie congénitale rarissime : autosomale récessive
2.	Etiologie : mutation du gène GT (glucuronyl-transférase) hépatique entraînant une inactivation totale ou partielle de la GT (parfois incompatible à la vie : MFIU ou à la naissance)
3.	DIAGNOSTIC ETIOLOGIQUE
1.	ICTERES PAR CHOLESTASE EXTRA-HEPATIQUE
1.	Obstruction des voies biliaires extra-hépatiques
2.	A l’échographie : dilatation des voies biliaires en amont
3.	Etiologies :
1.	Obstacles extra-pariétaux du cholédoque
1.	Cancer de la tête du pancréas
2.	Pancréatite chronique
3.	Adénopathies au niveau du hile pancréatique
4.	Ampullome vatérien :
1.	Tumeur se développant à partir du canal de Wirsung, du canal commun bilio-pancréatique et de la papille

2.	Obstacles pariétaux du cholédoque :
1.	Sténose post-opératoire (ex : post-cholécystéctomie -> cicatrisation mal faite)
2.	Cancer de la convergence des canaux hépatiques (Tumeur de Klatskin)
3.	Cancer de la voie biliaire principale : Cholangiocarcinome
4.	Cholangite sclérosante
1.	Atteinte inflammatoire et fibrosante des VBIH et des VBEH : -> rétrécissement des voies biliaires -> obstruction à l’écoulement de la bile

3.	Obstacles intraluminaux : obstacles dans la lumière du cholédoque
