"question","answer","explanation","difficulty"
"Citez trois types de défense cutanée contre les infections.","Mécanique (intégrité couche cornée), biochimique (pH 5.5, peptides), immunologique (IgA, cellules de Langerhans), microbienne (compétition).","Document 1.1.1","Easy"
"Quels sont les deux principaux germes responsables de l'impétigo ?","Staphylococcus aureus (2/3 des cas) et Streptococcus pyogenes (strepto bêta-hémolytique du groupe A), parfois les deux associés.","'staph doré 2/3 ou strepo beta hémolytique du groupe A ou les deux associés'","Easy"
"Quelle est la différence entre l'impétigo simple et l'ecthyma ?","L'ecthyma est une forme plus creusante, atteint les membres inférieurs, avec des croûtes suintantes, due à l'action de toxines bactériennes.","Document formes cliniques.","Easy"
"À quel délai survient la glomérulonéphrite post-streptococcique et comment la dépister ?","21 jours (3 semaines) après l'impétigo. Dépistage par protéinurie de 24h ou bandelette urinaire.","'3 semaines après l’impétigo (21 jours)' et 'Détection par Protéinurie de 24 h, bandelette urinaire'","Easy"
"Qu'est-ce que le SSSS ?","Staphylococcal Scalded Skin Syndrome, une épidermolyse staphylococcique du nourrisson et de l'enfant, due aux toxines exfoliantines A et B, avec AEG, fièvre, choc toxinique, bulles et desquamation étendue, nécessitant une prise en charge en réanimation.","Document formes compliquées.","Easy"
"Quels sont les antibiotiques topiques utilisés dans l'impétigo ?","Acide fucidique crème, mupirocine crème.","'Antibiotique (acides fucidique crème, mupirocine crème)'","Easy"
"Quelle est la conduite à tenir devant un furoncle centro-facial ?","Antibiothérapie par voie générale 8-10 jours et antibiothérapie topique 7 jours, pas d'incision, car risque de thrombophlébite du sinus caverneux.","'Localisation à risque (centro-facial) ... ATB par voie général 8 – 10 jours et ATB topique 7 jours'","Easy"
"Quels sont les diagnostics différentiels du furoncle ?","Hidrosadénite (infection des glandes sudorales axillaires ou génito-pubiennes) et acné (polymorphisme lésionnel).","Document.","Easy"
"Quels sont les signes cliniques de l'anthrax ?","Placard inflammatoire hyperalgique parsemé de pustules, fusées purulentes sous-jacentes, fièvre et adénopathies régionales, siégeant au cou ou au dos.","Document.","Easy"
"Quels sont les signes cliniques de l'érysipèle typique de la jambe ?","Grosse jambe rouge aiguë fébrile unilatérale, début brutal avec fièvre 39-40°C, frissons, AEG, puis placard inflammatoire érythémateux œdémateux bien circonscrit, douloureux, bourrelet périphérique, adénopathie inflammatoire.","Document clinique.","Easy"
"Quel est le germe de l'érysipèle et sa fréquence ?","Streptocoque bêta-hémolytique du groupe A dans 85% des cas, parfois groupes B, C, G.","'A strépo beta hémolytique groupe A (85%) (groupes B, C, G)'","Easy"
"Quels sont les diagnostics différentiels de l'érysipèle du membre inférieur chez l'adulte ?","Phlébite (signe de Homans positif, facteurs vasculaires).","'phlébite (signe de Homans positif et autre facteur de risque vasculaire)'","Easy"
"Quels sont les diagnostics différentiels de l'érysipèle du visage ?","Eczéma aigu du visage, rosacée (Demodex folliculorum), staphylococcie maligne de la face.","Document.","Easy"
"Quels sont les facteurs favorisants de l'érysipèle ?","Portes d'entrée (plaies, intertrigo), diabète, immunodépression, insuffisance veineuse, lymphœdème (filariose), irradiation antérieure, hygiène insuffisante.","Document diagnostic étiologique.","Easy"
"Quel est le traitement de l'érysipèle non compliqué ?","Antibiothérapie par voie orale (pénicilline G, amoxicilline, macrolides, synergistine) pendant 10 jours en ambulatoire.","'Formes typique non compliquée : ATB voie orale 10 jours en ambulatoire'","Easy"
"Quel est le traitement de l'érysipèle sur terrain immunodéprimé ?","Hospitalisation, repos au lit strict, ATB par voie IV puis relais per os pendant 15 jours.","Document.","Easy"
"Expliquez le rôle de la flore commensale dans la protection contre les infections.","Elle entre en compétition pour les nutriments, sécrète des bactériocines, induit l'expression d'IL-17 par les lymphocytes T et de peptides antimicrobiens par les kératinocytes, assurant une immunité protectrice.","Document 1.1","Medium"
"Quels sont les facteurs de déséquilibre de la flore cutanée normale ?","Chaleur, humidité, macération, plaies, érosions, dermatoses suintantes, antibiothérapie locale ou générale, déficit immunitaire.","Document.","Medium"
"Qu'est-ce que l'impétiginisation ? Donnez des exemples.","Surinfection secondaire d'une dermatose préexistante (gale, pédiculose, varicelle, prurigo strophulus, dermatite atopique), se manifestant par des pustules ou croûtes méllicériques.","Document.","Medium"
"Quelle est la prévention de la glomérulonéphrite post-impétigo ?","Examen de l'entourage, bandelette urinaire à J21, désinfection des foyers ORL en cas de portage asymptomatique, traitement d'une dermatose sous-jacente.","Document prévention.","Medium"
"Quels sont les traitements de la furonculose chronique ?","ATB per os, hygiène rigoureuse (douche quotidienne à la chlorhexidine), lavage du linge à 90°, traitement local des gîtes par ATB ou antiseptiques, limitation de la contamination, prélèvement et traitement des gîtes pour toute la famille.","Document traitement furonculose.","Medium"
"Quelle est la particularité de l'érysipèle récidivant ?","Il nécessite une antibiothérapie systémique de 15 jours, un traitement de la porte d'entrée, une hygiène soigneuse, et une amélioration des troubles circulatoires (bas de contention, drainage lymphatique).","Document.","Medium"
"Quels sont les diagnostics différentiels de l'érysipèle chez l'enfant ?","Hypodermite infectieuse à Haemophilus influenzae.","Document.","Medium"
"Quel est le pronostic de la gangrène streptococcique ?","Très grave, due à des souches hypervirulentes de strepto A (sérotypes M1 et M3), survenant sur terrains débilités et diabétiques, avec évolution nécrotique extensive.","Document.","Difficult"
"Expliquez le mécanisme de la thrombophlébite du sinus caverneux compliquant un furoncle centro-facial.","Le furoncle centro-facial (zone du triangle naso-labial) est drainé par des veines qui communiquent avec le sinus caverneux. La manipulation ou l'incision permet la dissémination du staphylocoque vers le sinus caverneux via les veines faciales et ophtalmiques, entraînant une thrombophlébite septique.","Document 'Staph maligne de la face avec thrombophlébite du sinus caverneux'","Difficult"
"Pourquoi la glomérulonéphrite post-streptococcique ne donne-t-elle jamais de rhumatisme articulaire aigu ?","Parce que les souches néphritogènes (type M) sont différentes des souches rhumatogènes. Le document précise 'Jamais de rhumatisme articulaire aigue (RAA)'.","Document.","Difficult"
"Quels sont les critères diagnostiques de l'érysipèle ?","Clinique : début brutal fébrile, placard érythémateux œdémateux douloureux bien circonscrit, bourrelet périphérique, adénopathie, porte d'entrée. Biologie : hyperleucocytose, polynucléose, CRP élevée.","Document.","Medium"
"Quels sont les peptides antimicrobiens produits par les kératinocytes ?","Cathélicidines, défensines, dermcidines, psoriasine.","Document.","Medium"
