"question","answer","explanation","difficulty"
"Quels sont les cinq virus des hépatites virales ?","VHA, VHB, VHC, VHD, VHE.","Document.","Easy"
"Quel est le mode de transmission du VHA ?","Voie orale (péril fécal) : directe (mains souillées) ou indirecte (eau/aliments souillés).","Document.","Easy"
"Quel est le seul virus des hépatites à ADN ?","VHB (Hepadnaviridae).","Document.","Easy"
"Quelle est la particule complète du VHB ?","Particule de DANE.","Document.","Easy"
"Quels sont les trois antigènes du VHB ?","Ag HBs (surface), Ag HBc (core), Ag HBe.","Document.","Easy"
"Quelle est la signification de l'Ag HBs ?","Infection non guérie (en cours).","Document.","Easy"
"Quelle est la signification des Ac anti-HBs ?","Immunité protectrice (guérison ou vaccination).","Document.","Easy"
"Quelle est la signification de l'Ag HBe ?","Marqueur de réplication virale et d'infectiosité.","Document.","Easy"
"Quelle est la signification des Ac anti-HBe ?","Promesse de guérison (sauf virus mutant).","Document.","Easy"
"Quelle est la signification des Ac anti-HBc ?","Marqueur constant de contact avec le VHB.","Document.","Easy"
"Quelle est la différence entre IgM anti-HBc et IgG anti-HBc ?","IgM : hépatite B actuelle ; IgG : hépatite B ancienne.","Document.","Easy"
"Quel est le virus mutant du VHB et sa particularité ?","Virus mutant pré-C : ne produit pas d'Ag HBe, donc Ac anti-HBe présent malgré réplication.","Document.","Medium"
"Quels sont les trois modes de transmission du VHB ?","Sang, sexe, mère-enfant (périnatal).","Document.","Easy"
"Quels sont les modes de transmission du VHC ?","Sang (transfusion, toxicomanie IV, matériels souillés), sexe (rare), mère-enfant (si immunodépression).","Document.","Medium"
"Pourquoi le VHD est-il dit 'virus défectif' ?","Car il nécessite l'enveloppe du VHB (Ag HBs) pour se répliquer.","Document.","Medium"
"Quelle est la différence entre co-infection et surinfection par le VHD ?","Co-infection : infection simultanée VHB+VHD ; surinfection : VHD chez un porteur chronique de VHB.","Document.","Medium"
"Quel est le risque de la co-infection VHB-VHD ?","Hépatite fulminante.","Document.","Easy"
"Quel est le risque de la surinfection par VHD sur VHB chronique ?","Chronicité à 90%, aggravation de l'hépatopathie.","Document.","Easy"
"Quel est le mode de transmission du VHE ?","Orale (eau, aliments, viande de porc insuffisamment cuite) et possiblement transfusion sanguine.","Document.","Medium"
"Quels sont les génotypes du VHE retrouvés en Afrique ?","Génotypes 1 et 2.","Document.","Easy"
"Quels sont les génotypes du VHE retrouvés chez le porc ?","Génotypes 3 et 4.","Document.","Easy"
"Quels sont les génotypes du VHE retrouvés chez le chameau ?","Génotypes 7 et 8.","Document.","Easy"
"Quelles sont les manifestations neurologiques possibles de l'hépatite E ?","Mononeuropathie multiple, méningoradiculite, syndrome de Guillain-Barré, syndrome de Personnage Turner.","Document.","Medium"
"Quel est le diagnostic de l'hépatite E chez l'immunocompétent ?","IgM anti-VHE.","Document.","Easy"
"Quel est le diagnostic de l'hépatite E chez l'immunodéprimé ?","PCR VHE (sang et selles).","Document.","Medium"
"L'hépatite E peut-elle devenir chronique ?","Oui, chez les immunodéprimés, avec évolution vers la cirrhose.","Document.","Easy"
